subset,model,decoding_group,share_flagged
genuine_only,2B,Greedy,0.23076923076923078
genuine_only,2B,Stochastic,0.1388888888888889
genuine_only,31B,Greedy,0.8125
genuine_only,31B,Stochastic,0.75
genuine_only,4B,Greedy,0.42857142857142855
genuine_only,4B,Stochastic,0.45098039215686275
confounded_all,2B,Greedy,0.1724137931034483
confounded_all,2B,Stochastic,0.1511627906976744
confounded_all,31B,Greedy,0.7575757575757576
confounded_all,31B,Stochastic,0.68
confounded_all,4B,Greedy,0.5
confounded_all,4B,Stochastic,0.5042016806722689
