model,family,method,scaling,n_outer_folds,share
2B,C_combined,gbm,within_game,4,0.27
2B,B_directed,logreg,within_game,3,0.2
2B,C_combined,gbm,raw,2,0.13
2B,B_directed,lasso,raw,1,0.07
2B,B_directed,gbm,within_game,1,0.07
2B,C_combined,logreg,raw,1,0.07
2B,C_combined,lasso,raw,1,0.07
2B,C_combined,logreg,within_game,1,0.07
2B,B_directed,gbm,raw,1,0.07
31B,B_directed,logreg,within_game,3,0.2
31B,C_combined,logreg,within_game,2,0.13
31B,B_directed,logreg,raw,2,0.13
31B,C_combined,logreg,raw,1,0.07
31B,S_social,logreg,within_game,1,0.07
31B,B_directed,gbm,within_game,1,0.07
31B,B_directed,lasso,within_game,1,0.07
31B,C_combined,gbm,raw,1,0.07
31B,C_combined,lasso,raw,1,0.07
31B,B_directed,gbm,raw,1,0.07
31B,C_combined,lasso,within_game,1,0.07
4B,B_directed,logreg,within_game,7,0.47
4B,B_directed,gbm,within_game,4,0.27
4B,C_combined,logreg,within_game,3,0.2
4B,B_directed,logreg,raw,1,0.07
