model,label_source,family,method,scaling,top1_mean,top1_std
2B,stochastic,A_pt,logreg,raw,0.314,0.062
2B,stochastic,A_pt,gbm,raw,0.293,0.038
2B,stochastic,A_pt,lasso,raw,0.313,0.062
2B,stochastic,A_pt,l1_select,raw,0.314,0.062
2B,stochastic,B_directed,logreg,raw,0.48,0.036
2B,stochastic,B_directed,gbm,raw,0.47,0.041
2B,stochastic,B_directed,lasso,raw,0.477,0.038
2B,stochastic,B_directed,l1_select,raw,0.48,0.036
2B,stochastic,C_combined,logreg,raw,0.47,0.042
2B,stochastic,C_combined,gbm,raw,0.467,0.05
2B,stochastic,C_combined,lasso,raw,0.471,0.042
2B,stochastic,C_combined,l1_select,raw,0.47,0.042
2B,stochastic,S_social,logreg,raw,0.411,0.051
2B,stochastic,S_social,gbm,raw,0.4,0.059
2B,stochastic,S_social,lasso,raw,0.411,0.054
2B,stochastic,S_social,l1_select,raw,0.411,0.051
2B,stochastic,D_deductive,logreg,raw,0.393,0.057
2B,stochastic,D_deductive,gbm,raw,0.387,0.048
2B,stochastic,D_deductive,lasso,raw,0.395,0.053
2B,stochastic,D_deductive,l1_select,raw,0.393,0.057
2B,stochastic,A_pt,logreg,within_game,0.294,0.045
2B,stochastic,A_pt,gbm,within_game,0.248,0.053
2B,stochastic,A_pt,lasso,within_game,0.296,0.041
2B,stochastic,A_pt,l1_select,within_game,0.294,0.045
2B,stochastic,B_directed,logreg,within_game,0.469,0.06
2B,stochastic,B_directed,gbm,within_game,0.445,0.055
2B,stochastic,B_directed,lasso,within_game,0.467,0.06
2B,stochastic,B_directed,l1_select,within_game,0.469,0.06
2B,stochastic,C_combined,logreg,within_game,0.478,0.057
2B,stochastic,C_combined,gbm,within_game,0.443,0.059
2B,stochastic,C_combined,lasso,within_game,0.478,0.057
2B,stochastic,C_combined,l1_select,within_game,0.478,0.057
2B,stochastic,S_social,logreg,within_game,0.388,0.057
2B,stochastic,S_social,gbm,within_game,0.371,0.065
2B,stochastic,S_social,lasso,within_game,0.39,0.053
2B,stochastic,S_social,l1_select,within_game,0.388,0.057
