model,block,learner,mean_ll,ll_std,mcfadden_r2,hit_rate,hit_std
2B,A_techniques,clogit_l2,-1.685,0.054,0.009,0.246,0.061
2B,B_resolved,clogit_l2,-1.373,0.121,0.193,0.512,0.077
2B,C_both,clogit_l2,-1.381,0.117,0.188,0.494,0.06
2B,A_temporal,clogit_l2,-1.677,0.049,0.013,0.274,0.046
2B,B_temporal,clogit_l2,-1.419,0.12,0.165,0.475,0.067
2B,C_temporal,clogit_l2,-1.442,0.106,0.152,0.463,0.051
31B,A_techniques,clogit_l2,-1.69,0.044,0.006,0.232,0.061
31B,B_resolved,clogit_l2,-1.562,0.101,0.081,0.363,0.064
31B,C_both,clogit_l2,-1.581,0.074,0.07,0.349,0.076
31B,A_temporal,clogit_l2,-1.673,0.061,0.016,0.251,0.065
31B,B_temporal,clogit_l2,-1.567,0.085,0.078,0.366,0.05
31B,C_temporal,clogit_l2,-1.572,0.077,0.075,0.363,0.071
4B,A_techniques,clogit_l2,-1.608,0.063,0.053,0.323,0.061
4B,B_resolved,clogit_l2,-1.323,0.099,0.222,0.499,0.051
4B,C_both,clogit_l2,-1.331,0.107,0.217,0.476,0.046
4B,A_temporal,clogit_l2,-1.602,0.06,0.057,0.371,0.071
4B,B_temporal,clogit_l2,-1.336,0.096,0.214,0.494,0.061
4B,C_temporal,clogit_l2,-1.368,0.092,0.195,0.47,0.05
