model,feature,mean_entry_rank,share_enters_first5,mean_l1_coef,gbm_gain_share,share_folds_selected
2B,werewolf_count,1.2,1.0,0.7626604389535072,0.41207706769157965,1.0
2B,claims_werewolf,1.4666666666666666,1.0,0.6417800274060284,0.24285855649340646,1.0
2B,is_circle_option,3.0,1.0,0.923466702764452,0.02391042471961264,1.0
2B,circ_any_claims_werewolf,4.933333333333334,0.7333333333333333,-0.20478836817557827,0.00927262007997635,1.0
2B,deception_count,5.0,0.8,0.18325375624233117,0.038434807891697946,1.0
2B,claims_info_role,5.466666666666667,0.4666666666666667,-0.15602218000418497,0.018325953458071868,1.0
2B,circ_max_werewolf_count,5.866666666666666,0.4,-0.6848041673836301,0.017613642222425,1.0
2B,circ_share_players_accused,9.2,0.0,-0.5747409459468783,0.009903199735443579,1.0
2B,is_self_contradiction,9.333333333333334,0.0,-0.15800545865369123,0.0026123371110009347,1.0
2B,pt_interrogation,10.666666666666666,0.06666666666666667,-0.004071586343086521,0.03019997528293458,1.0
2B,n_utterances,10.733333333333333,0.0,-0.19093526766866115,0.028145208599552576,1.0
2B,pt_accusation,11.2,0.0,0.1869499967956968,0.02653129879624222,1.0
2B,pt_call_for_action,11.266666666666667,0.06666666666666667,-0.04292196767290126,0.010457920795488863,1.0
2B,pt_defense,11.6,0.06666666666666667,0.11570229389005157,0.024508562336280126,1.0
2B,circ_mean_werewolf_count,12.866666666666667,0.26666666666666666,0.5140168863764882,0.03754064337746935,1.0
2B,pt_evidence,15.333333333333334,0.0,0.025398665861207557,0.023848949297592938,1.0
2B,is_in_role_conflict,15.466666666666667,0.0,-0.04139046945431182,0.006366929479205331,1.0
2B,pt_identity_declaration,15.866666666666667,0.0,-0.0659828653231861,0.026648689235096033,1.0
2B,n_distinct_roles_claimed_self,16.733333333333334,0.0,0.11096448111316916,0.001963208621763492,1.0
2B,circ_any_role_conflict,17.266666666666666,0.0,0.07539727589409437,0.0,1.0
2B,made_any_claim,18.933333333333334,0.0,-0.019897809193567692,0.008780004775159998,1.0
31B,werewolf_count,1.0,1.0,0.6837204532724727,0.4425511866956528,1.0
31B,claims_werewolf,2.0,1.0,0.3497809103523519,0.12769178533148834,1.0
31B,deception_count,3.066666666666667,1.0,0.2368218967037019,0.06760629650894927,1.0
31B,circ_mean_werewolf_count,3.8666666666666667,0.9333333333333333,-0.6764348522724364,0.03020219381818392,1.0
31B,circ_any_claims_werewolf,4.533333333333333,0.8666666666666667,-0.2322467424527458,0.010538072727091775,1.0
31B,claims_info_role,6.4,0.06666666666666667,-0.23708032538708543,0.02471171063751804,1.0
31B,n_distinct_roles_claimed_self,9.133333333333333,0.13333333333333333,0.5754808482784989,0.01597616601849384,1.0
31B,pt_accusation,9.266666666666667,0.06666666666666667,0.13946745980434955,0.016774856924521818,1.0
31B,pt_interrogation,9.666666666666666,0.0,-0.05059504945570834,0.04458052424656323,1.0
31B,pt_defense,10.8,0.06666666666666667,0.0556954929335227,0.04255942241322776,1.0
31B,pt_evidence,11.4,0.0,0.09057377034460727,0.03705329169218621,1.0
31B,is_circle_option,11.666666666666666,0.0,0.276360091834624,0.0,1.0
31B,circ_share_players_accused,11.8,0.4,-0.05095345198774437,0.01327703573828673,1.0
31B,made_any_claim,12.266666666666667,0.0,-0.4065818239290299,0.005411384537167144,1.0
31B,is_in_role_conflict,13.0,0.0,0.0508626906370357,0.013859842048492813,1.0
31B,is_self_contradiction,13.933333333333334,0.0,-0.26706955988394515,0.007427821628306427,1.0
31B,pt_call_for_action,14.066666666666666,0.0,-0.008230029524946414,0.019849329915826018,1.0
31B,n_utterances,15.666666666666666,0.0,-0.08294101567464505,0.02911222524257415,1.0
31B,circ_any_role_conflict,16.6,0.0,-0.02293382833526387,4.1038254076050125e-05,1.0
31B,pt_identity_declaration,16.866666666666667,0.0,0.03147912166872389,0.01501711371944139,1.0
31B,circ_max_werewolf_count,17.733333333333334,0.13333333333333333,0.23946919912044498,0.03575870190195227,1.0
4B,claims_werewolf,1.0,1.0,0.8093179816304008,0.352466511308348,1.0
4B,werewolf_count,1.6,1.0,0.6449616998752995,0.3469141991647179,1.0
4B,circ_share_players_accused,3.1333333333333333,1.0,-0.2707882257342954,0.011779434825913865,1.0
4B,circ_any_claims_werewolf,4.0,0.9333333333333333,-0.6752656792617492,0.018389606553972208,1.0
4B,deception_count,4.666666666666667,0.8,0.19065215825093032,0.05158581562701392,1.0
4B,circ_max_werewolf_count,5.333333333333333,0.6,-0.8394648298608937,0.004894730437931623,1.0
4B,is_in_role_conflict,8.066666666666666,0.0,-0.1552786910157789,0.01628870313535815,1.0
4B,made_any_claim,8.333333333333334,0.06666666666666667,-0.29293897778444816,0.005041602526498099,1.0
4B,n_utterances,9.133333333333333,0.0,0.14121863217913422,0.019601420643778605,1.0
4B,claims_info_role,10.866666666666667,0.06666666666666667,-0.06554423355255116,0.01401810890885241,1.0
4B,circ_any_role_conflict,12.466666666666667,0.06666666666666667,-0.0175260287220115,0.00015489243520955907,0.9333333333333333
4B,is_circle_option,13.466666666666667,0.26666666666666666,0.1346820451660056,0.0,1.0
4B,pt_defense,13.933333333333334,0.0,0.001799735239561112,0.017043463703602605,1.0
4B,is_self_contradiction,13.933333333333334,0.0,-0.06255718628152872,0.0049705173743764585,1.0
4B,pt_call_for_action,14.066666666666666,0.0,-0.039863585100534074,0.006422238119620943,1.0
