model,family,method,scaling,n_outer_folds,share
2B,C_combined,logreg,raw,7,0.47
2B,B_directed,gbm,within_game,2,0.13
2B,C_combined,logreg,within_game,2,0.13
2B,C_combined,lasso,within_game,1,0.07
2B,B_directed,logreg,raw,1,0.07
2B,B_directed,lasso,within_game,1,0.07
2B,C_combined,gbm,raw,1,0.07
31B,C_combined,logreg,raw,4,0.27
31B,B_directed,logreg,within_game,4,0.27
31B,B_directed,lasso,within_game,2,0.13
31B,B_directed,gbm,raw,2,0.13
31B,B_directed,gbm,within_game,1,0.07
31B,C_combined,lasso,within_game,1,0.07
31B,B_directed,logreg,raw,1,0.07
4B,B_directed,gbm,within_game,6,0.4
4B,B_directed,logreg,within_game,3,0.2
4B,C_combined,lasso,within_game,3,0.2
4B,B_directed,lasso,within_game,2,0.13
4B,C_combined,gbm,within_game,1,0.07
