model,feature,ll_drop,share_folds_positive
human_village,pt_accusation,0.0,0.4
human_village,pt_defense,0.0013,0.53
human_village,pt_interrogation,0.0005,0.53
human_village,pt_identity_declaration,0.0011,0.6
human_village,pt_evidence,0.0387,0.87
human_village,pt_call_for_action,0.0121,0.73
human_village,n_utterances,-0.0002,0.6
human_village,werewolf_count,0.1395,1.0
human_village,deception_count,-0.0002,0.53
human_village,claims_werewolf,0.0048,0.8
human_village,claims_info_role,0.0242,0.87
human_village,n_distinct_roles_claimed_self,0.0036,0.67
