model,block,learner,mean_ll,ll_std,mcfadden_r2,hit_rate,hit_std
human_village,A_techniques,clogit,-1.52,0.046,0.009,0.245,0.048
human_village,A_techniques,clogit_l2,-1.514,0.032,0.013,0.24,0.048
human_village,A_techniques,clogit_l1,-1.516,0.032,0.011,0.247,0.043
human_village,A_techniques,gbm,,,,0.238,0.04
human_village,B_resolved,clogit,-1.43,0.054,0.068,0.381,0.057
human_village,B_resolved,clogit_l2,-1.431,0.048,0.067,0.381,0.061
human_village,B_resolved,clogit_l1,-1.43,0.051,0.068,0.391,0.074
human_village,B_resolved,gbm,,,,0.399,0.045
human_village,C_both,clogit,-1.433,0.047,0.066,0.361,0.072
human_village,C_both,clogit_l2,-1.425,0.038,0.071,0.361,0.068
human_village,C_both,clogit_l1,-1.42,0.04,0.074,0.384,0.073
human_village,C_both,gbm,,,,0.392,0.063
human_village,A_temporal,clogit,-1.548,0.052,-0.009,0.227,0.058
human_village,A_temporal,clogit_l2,-1.526,0.035,0.005,0.237,0.052
human_village,A_temporal,clogit_l1,-1.527,0.037,0.004,0.213,0.057
human_village,A_temporal,gbm,,,,0.218,0.043
human_village,B_temporal,clogit,-1.443,0.063,0.059,0.39,0.065
human_village,B_temporal,clogit_l2,-1.44,0.05,0.062,0.392,0.064
human_village,B_temporal,clogit_l1,-1.442,0.057,0.06,0.392,0.056
human_village,B_temporal,gbm,,,,0.345,0.055
human_village,C_temporal,clogit,-1.479,0.072,0.036,0.366,0.056
human_village,C_temporal,clogit_l2,-1.438,0.046,0.062,0.374,0.068
human_village,C_temporal,clogit_l1,-1.435,0.049,0.064,0.381,0.057
human_village,C_temporal,gbm,,,,0.349,0.063
