model,feature,selection_freq,lambda
human_village,pt_accusation,0.0,27.053
human_village,pt_defense,0.0,27.053
human_village,pt_interrogation,0.05,27.053
human_village,pt_identity_declaration,0.035,27.053
human_village,pt_evidence,0.78,27.053
human_village,pt_call_for_action,0.185,27.053
human_village,n_utterances,0.005,27.053
human_village,werewolf_count,1.0,27.053
human_village,deception_count,0.005,27.053
human_village,claims_werewolf,0.555,27.053
human_village,claims_info_role,0.63,27.053
human_village,n_distinct_roles_claimed_self,0.07,27.053
