feature,coef
candidate_late_Call for Action,0.15896818523786543
candidate_early_No Strategy,0.08416537083375863
candidate_early_Interrogation,0.06687334577921525
voter_late_Interrogation,0.06265704328745478
candidate_early_Defense,0.062027546514738456
candidate_late_Defense,0.058427771571874315
voter_late_No Strategy,0.05588651349712466
voter_late_Evidence,0.05292305964120884
voter_early_No Strategy,0.044440677226936696
candidate_late_Identity Declaration,0.0424106302821423
voter_early_Accusation,0.0418907419336493
candidate_early_Identity Declaration,0.037862525180763995
voter_late_Accusation,0.03734033630556393
voter_early_Interrogation,0.03629987506647612
voter_early_Call for Action,0.01907604402504856
voter_early_Evidence,0.0109904516250435
candidate_late_No Strategy,0.007546835351394134
voter_early_Defense,0.007329670347627096
voter_late_Defense,0.0012406553868739476
candidate_late_Interrogation,-0.004001263785204369
voter_late_Call for Action,-0.008836610795884025
voter_late_Identity Declaration,-0.017618104016890762
candidate_early_Accusation,-0.018828473457108166
voter_early_Identity Declaration,-0.019671713497081446
candidate_late_Accusation,-0.032813296904496254
candidate_late_Evidence,-0.04132067880155999
candidate_early_Call for Action,-0.04381351255525517
candidate_early_Evidence,-0.09420961847934849
