C,class_weight,val_best_threshold,val_f1,val_auc_prob
0.1,"{0: 1, 1: 4}",0.49,0.35294117647058826,0.5440802135717391
0.1,"{0: 1, 1: 3}",0.42000000000000004,0.3521739130434783,0.5436766623207302
0.6,"{0: 1, 1: 2}",0.33,0.35207823960880197,0.5387719625007761
0.1,balanced,0.48000000000000004,0.34934497816593885,0.5457254609796983
0.4,"{0: 1, 1: 1.5}",0.27,0.3492822966507177,0.5392065561557087
0.4,"{0: 1, 1: 5}",0.54,0.3492063492063492,0.5410070155832868
0.4,"{0: 1, 1: 4}",0.49,0.3490566037735849,0.5400447010616503
0.2,"{0: 1, 1: 5}",0.54,0.3487858719646799,0.5420003725088471
0.01,"{0: 1, 1: 2}",0.35000000000000003,0.34841628959276016,0.5076364313652449
1.0,"{0: 1, 1: 5}",0.54,0.3480278422273782,0.5414726516421431
0.6,balanced,0.48000000000000004,0.34782608695652173,0.539827404234184
0.2,"{0: 1, 1: 2}",0.32,0.34763948497854075,0.5407897187558204
0.6,"{0: 1, 1: 4}",0.48000000000000004,0.34743875278396436,0.5405724219283541
0.8,"{0: 1, 1: 5}",0.54,0.3472222222222222,0.5411311851989818
0.6,"{0: 1, 1: 5}",0.55,0.3471882640586797,0.540975973179363
1.0,balanced,0.48000000000000004,0.3471882640586797,0.5406345067362016
2.0,"{0: 1, 1: 4}",0.49,0.3469879518072289,0.5406655491401253
1.4,"{0: 1, 1: 3}",0.42000000000000004,0.3469879518072289,0.5401067858694977
0.4,"{0: 1, 1: 2}",0.33,0.3469879518072289,0.539175513751785
0.2,balanced,0.47000000000000003,0.3468950749464668,0.54293164462656
0.4,balanced,0.47000000000000003,0.3466666666666667,0.5411622276029056
0.6,"{0: 1, 1: 3}",0.41000000000000003,0.3466666666666667,0.539827404234184
0.2,None,0.2,0.34660421545667447,0.5405724219283542
0.2,"{0: 1, 1: 4}",0.5,0.3465346534653465,0.5417209908735332
0.8,balanced,0.48000000000000004,0.3463414634146341,0.540199913081269
0.1,"{0: 1, 1: 2}",0.34,0.3462532299741602,0.5431489414540261
0.05,"{0: 1, 1: 2}",0.34,0.34615384615384615,0.5440181287638914
3.0,"{0: 1, 1: 2}",0.27,0.34615384615384615,0.5392996833674799
0.8,"{0: 1, 1: 4}",0.48000000000000004,0.34606741573033706,0.5410380579872105
1.0,"{0: 1, 1: 4}",0.48000000000000004,0.34606741573033706,0.5407586763518967
0.8,"{0: 1, 1: 3}",0.41000000000000003,0.34606741573033706,0.5399826162538027
0.1,"{0: 1, 1: 5}",0.56,0.3460559796437659,0.5446079344384429
0.2,"{0: 1, 1: 3}",0.43,0.3458646616541353,0.5412553548146769
1.4,"{0: 1, 1: 5}",0.54,0.34579439252336447,0.5410691003911343
0.8,"{0: 1, 1: 2}",0.33,0.345679012345679,0.5383373688458435
0.01,None,0.22,0.3456221198156682,0.4932948407524679
2.0,"{0: 1, 1: 2}",0.27,0.345489443378119,0.5388340473086236
1.0,"{0: 1, 1: 3}",0.42000000000000004,0.34532374100719426,0.5396411498106414
0.05,"{0: 1, 1: 4}",0.5,0.3452914798206278,0.5469981995405724
0.4,"{0: 1, 1: 3}",0.42000000000000004,0.34515366430260047,0.5393928105792511
1.4,"{0: 1, 1: 2}",0.32,0.34498834498834496,0.538523623269386
0.1,"{0: 1, 1: 1.5}",0.27,0.3448275862068966,0.5427143477990934
2.0,"{0: 1, 1: 3}",0.41000000000000003,0.3448275862068966,0.5397342770224126
1.4,"{0: 1, 1: 1.5}",0.22,0.3448275862068966,0.5378096479791394
0.05,"{0: 1, 1: 5}",0.55,0.3446808510638298,0.5473396659837337
1.4,"{0: 1, 1: 4}",0.48000000000000004,0.34467120181405897,0.5407897187558205
3.0,"{0: 1, 1: 4}",0.49,0.3446601941747573,0.5411622276029056
3.0,None,0.19,0.34418604651162793,0.5371887999006643
1.4,None,0.16,0.3441682600382409,0.536971503073198
0.4,None,0.19,0.34408602150537637,0.5389582169243186
0.01,"{0: 1, 1: 1.5}",0.29000000000000004,0.3438914027149321,0.4984168373998882
0.05,"{0: 1, 1: 3}",0.43,0.34375,0.5464704786738686
2.0,balanced,0.41000000000000003,0.3435114503816794,0.5407897187558204
0.2,"{0: 1, 1: 1.5}",0.24000000000000002,0.3435114503816794,0.540727633947973
3.0,"{0: 1, 1: 3}",0.35000000000000003,0.3435114503816794,0.53929968336748
1.0,"{0: 1, 1: 1.5}",0.22,0.3435114503816794,0.5377165207673682
1.0,None,0.16,0.3435114503816794,0.5370646302849693
1.4,balanced,0.47000000000000003,0.3433874709976798,0.5406655491401253
2.0,"{0: 1, 1: 1.5}",0.26,0.3433874709976798,0.5381511144223008
2.0,None,0.16,0.34296724470134876,0.5370335878810455
3.0,balanced,0.46,0.34285714285714286,0.5403551251008878
0.8,None,0.16,0.34285714285714286,0.5375923511516731
3.0,"{0: 1, 1: 5}",0.54,0.3427230046948357,0.5418451604892283
0.8,"{0: 1, 1: 1.5}",0.26,0.34234234234234234,0.5378717327869871
2.0,"{0: 1, 1: 5}",0.47000000000000003,0.34220532319391633,0.5416899484696095
1.0,"{0: 1, 1: 2}",0.27,0.34220532319391633,0.5383684112497672
0.6,"{0: 1, 1: 1.5}",0.22,0.3415559772296015,0.5383994536536909
0.05,"{0: 1, 1: 1.5}",0.28,0.34134615384615385,0.5380579872105296
0.01,balanced,0.49,0.3409090909090909,0.5460048426150121
3.0,"{0: 1, 1: 1.5}",0.21000000000000002,0.3409090909090909,0.5388030049046998
0.6,None,0.16,0.3409090909090909,0.5381821568262246
0.01,"{0: 1, 1: 4}",0.5,0.3403441682600382,0.5469671571366487
0.01,"{0: 1, 1: 5}",0.56,0.3403361344537815,0.5415036940460669
0.1,None,0.2,0.33970276008492567,0.537747563171292
0.05,balanced,0.01,0.33955223880597013,0.5478984292543614
0.01,"{0: 1, 1: 3}",0.01,0.33955223880597013,0.543304153473645
0.05,None,0.01,0.33955223880597013,0.5248649655429316
