feature,total,early,late,conserved
accusation,3474.0,1408.0,2066.0,True
defense,3260.0,1552.0,1708.0,True
interrogation,4084.0,2209.0,1875.0,True
evidence,2221.0,1211.0,1010.0,True
identity_declaration,1343.0,746.0,597.0,True
call_for_action,1390.0,312.0,1078.0,True
werewolf_accusations_made,1198.0,409.0,789.0,True
deception_accusations_made,629.0,290.0,339.0,True
werewolf_accusations_received,1189.0,404.0,785.0,True
deception_accusations_received,629.0,288.0,341.0,True
claims_werewolf,160.0,51.0,109.0,True
claims_tanner,73.0,22.0,51.0,True
claims_night_action_role,842.0,524.0,318.0,True
turns,23925.0,11922.0,12003.0,True
