key,source,session,game,voter,raw_vote,start_role,reason
"('Youtube', 'way way back one night ultimate werewolf retro 10', 'game4')",Youtube,way way back one night ultimate werewolf retro 10,game4,Mitchell,4,Troublemaker,self_vote
"('Youtube', 'one night ultimate werewolf retro 4', 'game5')",Youtube,one night ultimate werewolf retro 4,game5,James,N/A,Robber,no_vote_recorded
"('Youtube', 'one night ultimate werewolf retro 4', 'game10')",Youtube,one night ultimate werewolf retro 4,game10,Mitchell,4,Drunk,self_vote
"('Youtube', 'one night ultimate werewolf 6 november 6th 2016', 'game2')",Youtube,one night ultimate werewolf 6 november 6th 2016,game2,Caitlynn,0,Seer,self_vote
"('Youtube', 'one night ultimate werewolf retro 4', 'game3')",Youtube,one night ultimate werewolf retro 4,game3,Mitchell,4,Werewolf,self_vote
"('Youtube', 'one night ultimate werewolf retro 4', 'game7')",Youtube,one night ultimate werewolf retro 4,game7,Caitlynn,1,Drunk,self_vote
"('Youtube', 'one night ultimate werewolf retro 4', 'game9')",Youtube,one night ultimate werewolf retro 4,game9,Justin,N/A,Minion,no_vote_recorded
"('Youtube', 'one night ultimate werewolf 30 february 17th 2018', 'game4')",Youtube,one night ultimate werewolf 30 february 17th 2018,game4,Alysha,3,Tanner,self_vote
"('Youtube', 'one night ultimate werewolf game night!!', 'game2')",Youtube,one night ultimate werewolf game night!!,game2,Shane,1,Robber,self_vote
"('Youtube', 'one night ultimate werewolf retro 1', 'game1')",Youtube,one night ultimate werewolf retro 1,game1,Mitchell,N/A,Werewolf,no_vote_recorded
"('Youtube', 'one night ultimate werewolf retro 4', 'game6')",Youtube,one night ultimate werewolf retro 4,game6,Mitchell,4,Drunk,self_vote
"('Youtube', 'one night ultimate werewolf 7 november 6th 2016', 'game1')",Youtube,one night ultimate werewolf 7 november 6th 2016,game1,Alana,N/A,Robber,no_vote_recorded
"('Youtube', 'one night ultimate werewolf 1 july 5th 2016', 'game2')",Youtube,one night ultimate werewolf 1 july 5th 2016,game2,Mike,N/A,Tanner,no_vote_recorded
"('Youtube', 'one night ultimate werewolf 9 november 6th 2016', 'game2')",Youtube,one night ultimate werewolf 9 november 6th 2016,game2,Alana,2,Werewolf,self_vote
"('Ego4D', '3ba069be-60fa-47fc-bd7b-f85bf649a5bd', 'game4')",Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,game4,Kevin,NA,Troublemaker,no_vote_recorded
