feature,half,key,player,numerator_col,denominator_col
accusation,overall,"('Youtube', 'one night ultimate werewolf retro 4', 'game3')",Caitlynn,accusation,turns
accusation,overall,"('Youtube', 'one night ultimate werewolf retro 4', 'game6')",Caitlynn,accusation,turns
accusation,overall,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan1,accusation,turns
accusation,overall,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan2,accusation,turns
accusation,overall,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan1,accusation,turns
accusation,overall,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan2,accusation,turns
accusation,early,"('Ego4D', '0c2659db-7bd4-4b37-9b08-4e247befe382', 'game8')",Sian,accusation_early,turns_early
accusation,early,"('Ego4D', '1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce', 'game7')",Zack,accusation_early,turns_early
accusation,early,"('Youtube', 'one night ultimate werewolf retro 2', 'game3')",Dan,accusation_early,turns_early
accusation,early,"('Youtube', 'one night ultimate werewolf retro 4', 'game3')",Caitlynn,accusation_early,turns_early
accusation,early,"('Youtube', 'one night ultimate werewolf retro 4', 'game6')",Caitlynn,accusation_early,turns_early
accusation,early,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan1,accusation_early,turns_early
accusation,early,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan2,accusation_early,turns_early
accusation,early,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan1,accusation_early,turns_early
accusation,early,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan2,accusation_early,turns_early
accusation,late,"('Ego4D', '698f6bbe-4347-4a06-bd5d-3482f5e4fbbe', 'game3')",Sian,accusation_late,turns_late
accusation,late,"('Youtube', 'flashback one night ultimate werewolf retro 9', 'game3')",James,accusation_late,turns_late
accusation,late,"('Youtube', 'one night ultimate werewolf retro 4', 'game3')",Caitlynn,accusation_late,turns_late
accusation,late,"('Youtube', 'one night ultimate werewolf retro 4', 'game3')",James,accusation_late,turns_late
accusation,late,"('Youtube', 'one night ultimate werewolf retro 4', 'game6')",Caitlynn,accusation_late,turns_late
accusation,late,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan1,accusation_late,turns_late
accusation,late,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan2,accusation_late,turns_late
accusation,late,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan1,accusation_late,turns_late
accusation,late,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan2,accusation_late,turns_late
accusation,late,"('Youtube', 'one night ultimate werewolf 44 october 13th 2018', 'game4')",Mike,accusation_late,turns_late
defense,overall,"('Youtube', 'one night ultimate werewolf retro 4', 'game3')",Caitlynn,defense,turns
defense,overall,"('Youtube', 'one night ultimate werewolf retro 4', 'game6')",Caitlynn,defense,turns
defense,overall,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan1,defense,turns
defense,overall,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan2,defense,turns
defense,overall,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan1,defense,turns
defense,overall,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan2,defense,turns
defense,early,"('Ego4D', '0c2659db-7bd4-4b37-9b08-4e247befe382', 'game8')",Sian,defense_early,turns_early
defense,early,"('Ego4D', '1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce', 'game7')",Zack,defense_early,turns_early
defense,early,"('Youtube', 'one night ultimate werewolf retro 2', 'game3')",Dan,defense_early,turns_early
defense,early,"('Youtube', 'one night ultimate werewolf retro 4', 'game3')",Caitlynn,defense_early,turns_early
defense,early,"('Youtube', 'one night ultimate werewolf retro 4', 'game6')",Caitlynn,defense_early,turns_early
defense,early,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan1,defense_early,turns_early
defense,early,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan2,defense_early,turns_early
defense,early,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan1,defense_early,turns_early
defense,early,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan2,defense_early,turns_early
defense,late,"('Ego4D', '698f6bbe-4347-4a06-bd5d-3482f5e4fbbe', 'game3')",Sian,defense_late,turns_late
defense,late,"('Youtube', 'flashback one night ultimate werewolf retro 9', 'game3')",James,defense_late,turns_late
defense,late,"('Youtube', 'one night ultimate werewolf retro 4', 'game3')",Caitlynn,defense_late,turns_late
defense,late,"('Youtube', 'one night ultimate werewolf retro 4', 'game3')",James,defense_late,turns_late
defense,late,"('Youtube', 'one night ultimate werewolf retro 4', 'game6')",Caitlynn,defense_late,turns_late
defense,late,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan1,defense_late,turns_late
defense,late,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan2,defense_late,turns_late
defense,late,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan1,defense_late,turns_late
defense,late,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan2,defense_late,turns_late
defense,late,"('Youtube', 'one night ultimate werewolf 44 october 13th 2018', 'game4')",Mike,defense_late,turns_late
interrogation,overall,"('Youtube', 'one night ultimate werewolf retro 4', 'game3')",Caitlynn,interrogation,turns
interrogation,overall,"('Youtube', 'one night ultimate werewolf retro 4', 'game6')",Caitlynn,interrogation,turns
interrogation,overall,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan1,interrogation,turns
interrogation,overall,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan2,interrogation,turns
interrogation,overall,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan1,interrogation,turns
interrogation,overall,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan2,interrogation,turns
interrogation,early,"('Ego4D', '0c2659db-7bd4-4b37-9b08-4e247befe382', 'game8')",Sian,interrogation_early,turns_early
interrogation,early,"('Ego4D', '1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce', 'game7')",Zack,interrogation_early,turns_early
interrogation,early,"('Youtube', 'one night ultimate werewolf retro 2', 'game3')",Dan,interrogation_early,turns_early
interrogation,early,"('Youtube', 'one night ultimate werewolf retro 4', 'game3')",Caitlynn,interrogation_early,turns_early
interrogation,early,"('Youtube', 'one night ultimate werewolf retro 4', 'game6')",Caitlynn,interrogation_early,turns_early
interrogation,early,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan1,interrogation_early,turns_early
interrogation,early,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan2,interrogation_early,turns_early
interrogation,early,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan1,interrogation_early,turns_early
interrogation,early,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan2,interrogation_early,turns_early
interrogation,late,"('Ego4D', '698f6bbe-4347-4a06-bd5d-3482f5e4fbbe', 'game3')",Sian,interrogation_late,turns_late
interrogation,late,"('Youtube', 'flashback one night ultimate werewolf retro 9', 'game3')",James,interrogation_late,turns_late
interrogation,late,"('Youtube', 'one night ultimate werewolf retro 4', 'game3')",Caitlynn,interrogation_late,turns_late
interrogation,late,"('Youtube', 'one night ultimate werewolf retro 4', 'game3')",James,interrogation_late,turns_late
interrogation,late,"('Youtube', 'one night ultimate werewolf retro 4', 'game6')",Caitlynn,interrogation_late,turns_late
interrogation,late,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan1,interrogation_late,turns_late
interrogation,late,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan2,interrogation_late,turns_late
interrogation,late,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan1,interrogation_late,turns_late
interrogation,late,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan2,interrogation_late,turns_late
interrogation,late,"('Youtube', 'one night ultimate werewolf 44 october 13th 2018', 'game4')",Mike,interrogation_late,turns_late
evidence,overall,"('Youtube', 'one night ultimate werewolf retro 4', 'game3')",Caitlynn,evidence,turns
evidence,overall,"('Youtube', 'one night ultimate werewolf retro 4', 'game6')",Caitlynn,evidence,turns
evidence,overall,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan1,evidence,turns
evidence,overall,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan2,evidence,turns
evidence,overall,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan1,evidence,turns
evidence,overall,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan2,evidence,turns
evidence,early,"('Ego4D', '0c2659db-7bd4-4b37-9b08-4e247befe382', 'game8')",Sian,evidence_early,turns_early
evidence,early,"('Ego4D', '1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce', 'game7')",Zack,evidence_early,turns_early
evidence,early,"('Youtube', 'one night ultimate werewolf retro 2', 'game3')",Dan,evidence_early,turns_early
evidence,early,"('Youtube', 'one night ultimate werewolf retro 4', 'game3')",Caitlynn,evidence_early,turns_early
evidence,early,"('Youtube', 'one night ultimate werewolf retro 4', 'game6')",Caitlynn,evidence_early,turns_early
evidence,early,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan1,evidence_early,turns_early
evidence,early,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan2,evidence_early,turns_early
evidence,early,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan1,evidence_early,turns_early
evidence,early,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan2,evidence_early,turns_early
evidence,late,"('Ego4D', '698f6bbe-4347-4a06-bd5d-3482f5e4fbbe', 'game3')",Sian,evidence_late,turns_late
evidence,late,"('Youtube', 'flashback one night ultimate werewolf retro 9', 'game3')",James,evidence_late,turns_late
evidence,late,"('Youtube', 'one night ultimate werewolf retro 4', 'game3')",Caitlynn,evidence_late,turns_late
evidence,late,"('Youtube', 'one night ultimate werewolf retro 4', 'game3')",James,evidence_late,turns_late
evidence,late,"('Youtube', 'one night ultimate werewolf retro 4', 'game6')",Caitlynn,evidence_late,turns_late
evidence,late,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan1,evidence_late,turns_late
evidence,late,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan2,evidence_late,turns_late
evidence,late,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan1,evidence_late,turns_late
evidence,late,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan2,evidence_late,turns_late
evidence,late,"('Youtube', 'one night ultimate werewolf 44 october 13th 2018', 'game4')",Mike,evidence_late,turns_late
identity_declaration,overall,"('Youtube', 'one night ultimate werewolf retro 4', 'game3')",Caitlynn,identity_declaration,turns
identity_declaration,overall,"('Youtube', 'one night ultimate werewolf retro 4', 'game6')",Caitlynn,identity_declaration,turns
identity_declaration,overall,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan1,identity_declaration,turns
identity_declaration,overall,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan2,identity_declaration,turns
identity_declaration,overall,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan1,identity_declaration,turns
identity_declaration,overall,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan2,identity_declaration,turns
identity_declaration,early,"('Ego4D', '0c2659db-7bd4-4b37-9b08-4e247befe382', 'game8')",Sian,identity_declaration_early,turns_early
identity_declaration,early,"('Ego4D', '1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce', 'game7')",Zack,identity_declaration_early,turns_early
identity_declaration,early,"('Youtube', 'one night ultimate werewolf retro 2', 'game3')",Dan,identity_declaration_early,turns_early
identity_declaration,early,"('Youtube', 'one night ultimate werewolf retro 4', 'game3')",Caitlynn,identity_declaration_early,turns_early
identity_declaration,early,"('Youtube', 'one night ultimate werewolf retro 4', 'game6')",Caitlynn,identity_declaration_early,turns_early
identity_declaration,early,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan1,identity_declaration_early,turns_early
identity_declaration,early,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan2,identity_declaration_early,turns_early
identity_declaration,early,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan1,identity_declaration_early,turns_early
identity_declaration,early,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan2,identity_declaration_early,turns_early
identity_declaration,late,"('Ego4D', '698f6bbe-4347-4a06-bd5d-3482f5e4fbbe', 'game3')",Sian,identity_declaration_late,turns_late
identity_declaration,late,"('Youtube', 'flashback one night ultimate werewolf retro 9', 'game3')",James,identity_declaration_late,turns_late
identity_declaration,late,"('Youtube', 'one night ultimate werewolf retro 4', 'game3')",Caitlynn,identity_declaration_late,turns_late
identity_declaration,late,"('Youtube', 'one night ultimate werewolf retro 4', 'game3')",James,identity_declaration_late,turns_late
identity_declaration,late,"('Youtube', 'one night ultimate werewolf retro 4', 'game6')",Caitlynn,identity_declaration_late,turns_late
identity_declaration,late,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan1,identity_declaration_late,turns_late
identity_declaration,late,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan2,identity_declaration_late,turns_late
identity_declaration,late,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan1,identity_declaration_late,turns_late
identity_declaration,late,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan2,identity_declaration_late,turns_late
identity_declaration,late,"('Youtube', 'one night ultimate werewolf 44 october 13th 2018', 'game4')",Mike,identity_declaration_late,turns_late
call_for_action,overall,"('Youtube', 'one night ultimate werewolf retro 4', 'game3')",Caitlynn,call_for_action,turns
call_for_action,overall,"('Youtube', 'one night ultimate werewolf retro 4', 'game6')",Caitlynn,call_for_action,turns
call_for_action,overall,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan1,call_for_action,turns
call_for_action,overall,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan2,call_for_action,turns
call_for_action,overall,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan1,call_for_action,turns
call_for_action,overall,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan2,call_for_action,turns
call_for_action,early,"('Ego4D', '0c2659db-7bd4-4b37-9b08-4e247befe382', 'game8')",Sian,call_for_action_early,turns_early
call_for_action,early,"('Ego4D', '1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce', 'game7')",Zack,call_for_action_early,turns_early
call_for_action,early,"('Youtube', 'one night ultimate werewolf retro 2', 'game3')",Dan,call_for_action_early,turns_early
call_for_action,early,"('Youtube', 'one night ultimate werewolf retro 4', 'game3')",Caitlynn,call_for_action_early,turns_early
call_for_action,early,"('Youtube', 'one night ultimate werewolf retro 4', 'game6')",Caitlynn,call_for_action_early,turns_early
call_for_action,early,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan1,call_for_action_early,turns_early
call_for_action,early,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game1')",Jordan2,call_for_action_early,turns_early
call_for_action,early,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan1,call_for_action_early,turns_early
call_for_action,early,"('Youtube', 'one night ultimate werewolf - drinking play through', 'game2')",Jordan2,call_for_action_early,turns_early
call_for_action,late,"('Ego4D', '698f6bbe-4347-4a06-bd5d-3482f5e4fbbe', 'game3')",Sian,call_for_action_late,turns_late
call_for_action,late,"('Youtube', 'flashback one night ultimate werewolf retro 9', 'game3')",James,call_for_action_late,turns_late
call_for_action,late,"('Youtube', 'one night ultimate werewolf retro 4', 'game3')",Caitlynn,call_for_action_late,turns_late
