side,side_key,block,feature,column,beta,odds_ratio,beta_ci_lo,beta_ci_hi,odds_ratio_ci_lo,odds_ratio_ci_hi,selected_C,n_boot_used,n_boot_failed
Voter,voter,strategy,accusation,accusation_rate,-0.03525018903227271,0.9653638625912148,-0.06093059136129804,-0.01089886006224002,0.9408885433026299,0.9891603173292662,0.01,1000,0
Voter,voter,strategy,defense,defense_rate,0.017621232677993783,1.0177774025518553,-0.038769404712093336,0.06563109248127068,0.9619725099001583,1.0678327129783454,0.01,1000,0
Voter,voter,strategy,interrogation,interrogation_rate,-0.004330813497050188,0.9956785509522843,-0.04656639658517916,0.03004810611915091,0.9545011828468709,1.0305041063144642,0.01,1000,0
Voter,voter,strategy,evidence,evidence_rate,0.021031825055314257,1.02125455260298,-0.008842330970470255,0.04932584531306662,0.9911966474666725,1.0505626158787214,0.01,1000,0
Voter,voter,strategy,identity_declaration,identity_declaration_rate,-0.03176473105297093,0.9687344684091914,-0.06457582446290282,-0.006532262129357626,0.937465028784777,0.9934890267149128,0.01,1000,0
Voter,voter,strategy,call_for_action,call_for_action_rate,0.015573380865645269,1.0156952779224702,-0.031946052895916996,0.054813602915881825,0.968558831613929,1.0563436969386826,0.01,1000,0
Voter,voter,content and targets,werewolf_accusations_made,werewolf_accusations_made_rate,-0.13692701240283975,0.8720338714663418,-0.1822958515474851,-0.08191166512693138,0.8333547546473768,0.9213533427323531,0.01,1000,0
Voter,voter,content and targets,deception_accusations_made,deception_accusations_made_rate,-0.04235197360108551,0.9585323431108673,-0.08287470315271633,-0.0013669455023223702,0.9204664715420013,0.9986339883421275,0.01,1000,0
Voter,voter,content and targets,werewolf_accusations_received,werewolf_accusations_received_rate,0.04040039977316081,1.041227598032795,0.0024564179550151406,0.08551556180550789,1.002459437421451,1.0892785123525244,0.01,1000,0
Voter,voter,content and targets,deception_accusations_received,deception_accusations_received_rate,0.005306134588877542,1.005320237053173,-0.02474581436892921,0.03326647945096483,0.975557853304031,1.0338259959216893,0.01,1000,0
Voter,voter,content and targets,claims_werewolf,claims_werewolf_rate,0.06102312626365626,1.0629234953519588,0.022474700811669045,0.08725675034394881,1.022729159619524,1.0911768037754432,0.01,1000,0
Voter,voter,content and targets,claims_tanner,claims_tanner_rate,0.027767565393905003,1.028156677453428,0.01088202357324429,0.04248064155832142,1.0109414481493684,1.0433958576603128,0.01,1000,0
Voter,voter,content and targets,claims_night_action_role,claims_night_action_role_rate,0.003981487973108205,1.0039894246260819,-0.02676960934064755,0.03765886335768591,0.9735855206974809,1.0383769440273372,0.01,1000,0
Candidate,candidate,strategy,accusation,accusation_rate,-0.06611338808237573,0.936024724225687,-0.16720104162803862,0.030753142034512244,0.8460295070892698,1.03123090489979,0.01,1000,0
Candidate,candidate,strategy,defense,defense_rate,0.03429600850341829,1.0348908978993743,-0.030177768668108052,0.10785022028486778,0.9702730340714932,1.113880896128149,0.01,1000,0
Candidate,candidate,strategy,interrogation,interrogation_rate,0.00889716167261623,1.0089368590595458,-0.08397130049446985,0.0915777144184481,0.9194576436961973,1.0959019407652628,0.01,1000,0
Candidate,candidate,strategy,evidence,evidence_rate,-0.10295937145823025,0.902163626329511,-0.18640483253702916,-0.004047974918141103,0.8299375412433813,0.9959602070884189,0.01,1000,0
Candidate,candidate,strategy,identity_declaration,identity_declaration_rate,0.008012105026776819,1.008044287833515,-0.1360525744429351,0.16949908845237763,0.872796744479825,1.18471126711189,0.01,1000,0
Candidate,candidate,strategy,call_for_action,call_for_action_rate,0.04010877277131159,1.0409239922221158,-0.05298063736708021,0.12520803238283387,0.9483983757941288,1.1333842091612232,0.01,1000,0
Candidate,candidate,content and targets,werewolf_accusations_made,werewolf_accusations_made_rate,-0.09451318517757581,0.9098157384648715,-0.2099220828124087,0.020523141355180262,0.810647406875567,1.02073518916544,0.01,1000,0
Candidate,candidate,content and targets,deception_accusations_made,deception_accusations_made_rate,-0.023884623693380264,0.9763983564955642,-0.14513503941908992,0.10146203145273214,0.8649054888895443,1.1067878944656606,0.01,1000,0
Candidate,candidate,content and targets,werewolf_accusations_received,werewolf_accusations_received_rate,0.4728812842266694,1.6046108790471711,0.34349068684012213,0.6149052347026506,1.4098603921664907,1.8494813246057982,0.01,1000,0
Candidate,candidate,content and targets,deception_accusations_received,deception_accusations_received_rate,0.14804999454771464,1.159570867134896,0.0423253520968978,0.27134340544307506,1.043233841859524,1.311725446707541,0.01,1000,0
Candidate,candidate,content and targets,claims_werewolf,claims_werewolf_rate,0.05788426472419569,1.0595923563999692,-0.04966959106256358,0.16456723669775136,0.9515437711327301,1.178882831075533,0.01,1000,0
Candidate,candidate,content and targets,claims_tanner,claims_tanner_rate,0.05132385697240564,1.0526637505809429,-0.024198893282614795,0.13189023912630354,0.9760915523972631,1.140983077094601,0.01,1000,0
Candidate,candidate,content and targets,claims_night_action_role,claims_night_action_role_rate,-0.043452107197723924,0.9574784093170315,-0.17699018714939527,0.11212155556642184,0.8377880055711949,1.1186488303731423,0.01,1000,0
