feature,total,rq1_total,matches_rq1
accusation,3474.0,3474.0,True
defense,3260.0,3260.0,True
interrogation,4084.0,4084.0,True
evidence,2221.0,2221.0,True
identity_declaration,1343.0,1343.0,True
call_for_action,1390.0,1390.0,True
werewolf_accusations_made,1198.0,1198.0,True
deception_accusations_made,629.0,629.0,True
werewolf_accusations_received,1189.0,1189.0,True
deception_accusations_received,629.0,629.0,True
claims_werewolf,160.0,160.0,True
claims_tanner,73.0,73.0,True
claims_night_action_role,842.0,842.0,True
