feature,human_beta,human_lo,human_hi,llm_2B_beta,llm_31B_beta,llm_4B_beta,same_sign_as_31B
accusation,-0.06611338808237573,-0.16720104162803862,0.030753142034512244,0.000763239528134,-0.0027722363141911,0.0184421467051555,True
defense,0.03429600850341829,-0.030177768668108052,0.10785022028486778,0.2863236990520378,0.0912223799467537,0.1597291124340248,True
interrogation,0.00889716167261623,-0.08397130049446985,0.0915777144184481,0.0492331762739792,-0.0321773043570308,-0.0280528664415047,False
evidence,-0.10295937145823025,-0.18640483253702916,-0.004047974918141103,0.0046775713996664,-0.0526454914339811,-0.0886139248753407,True
identity_declaration,0.008012105026776819,-0.1360525744429351,0.16949908845237763,-0.1099138706143026,-0.0423899817064583,-0.1372490932074218,False
call_for_action,0.04010877277131159,-0.05298063736708021,0.12520803238283387,-0.0395232265528398,-0.0270238378490531,-0.0373921624638771,False
werewolf_accusations_made,-0.09451318517757581,-0.2099220828124087,0.020523141355180262,0.1906935958032158,0.0457113845400454,0.1804491394050393,False
deception_accusations_made,-0.023884623693380264,-0.14513503941908992,0.10146203145273214,-0.0101910655663799,-0.0268218429077848,-0.2144024740970468,True
werewolf_accusations_received,0.4728812842266694,0.34349068684012213,0.6149052347026506,0.7473694468598389,0.4973746124203973,0.6238677164887594,True
deception_accusations_received,0.14804999454771464,0.0423253520968978,0.27134340544307506,0.0227297473191791,0.2008698599703808,0.2470821721881326,True
claims_werewolf,0.05788426472419569,-0.04966959106256358,0.16456723669775136,0.4914279270693212,0.1482410800171586,0.9679167901805288,True
claims_tanner,0.05132385697240564,-0.024198893282614795,0.13189023912630354,0.0561725201865945,0.0223052089885679,0.0388519651113795,True
claims_night_action_role,-0.043452107197723924,-0.17699018714939527,0.11212155556642184,-0.0631276261039886,-0.0169028516016407,0.0306647586532223,True
