feature_set,repeat,fold,selected_C,inner_mean_auc,n_train_pairs,n_test_pairs,n_test_games
Strategy,0,0,100.0,0.5534755903134875,2441,441,39
Strategy,0,1,1.0,0.5233769055827605,2495,387,38
Strategy,0,2,0.1,0.5184044733755816,2091,791,38
Strategy,0,3,100.0,0.5341805096677082,2123,759,36
Strategy,0,4,10.0,0.5235852546204365,2378,504,33
Strategy,1,0,0.0001,0.5098049975939988,2363,519,37
Strategy,1,1,1000.0,0.5359505093067363,2268,614,39
Strategy,1,2,10000.0,0.506960306015359,2275,607,37
Strategy,1,3,0.01,0.5212119146464108,2206,676,38
Strategy,1,4,1.0,0.5334360990083197,2416,466,33
Strategy,2,0,1.0,0.5538057527584438,2056,826,41
Strategy,2,1,0.001,0.5354562168895322,2171,711,47
Strategy,2,2,100.0,0.5363685949233267,2428,454,35
Strategy,2,3,100.0,0.524783576726919,2298,584,32
Strategy,2,4,1.0,0.5123830081645359,2575,307,29
Strategy,3,0,1000.0,0.5410843587970098,2276,606,34
Strategy,3,1,10.0,0.5036260041928128,2370,512,37
Strategy,3,2,1.0,0.5273184294986434,2399,483,40
Strategy,3,3,10000.0,0.5492096599783528,2312,570,36
Strategy,3,4,10.0,0.5357053786284701,2171,711,37
Strategy,4,0,10.0,0.5265071411006008,2301,581,38
Strategy,4,1,10.0,0.54390615434167,2346,536,38
Strategy,4,2,10.0,0.507383950610619,2170,712,40
Strategy,4,3,10.0,0.5029340370339775,2351,531,32
Strategy,4,4,1.0,0.5374254710372334,2360,522,36
Strategy Temporal,0,0,0.001,0.554803837682374,2441,441,39
Strategy Temporal,0,1,10.0,0.5449443955513266,2495,387,38
Strategy Temporal,0,2,0.1,0.5218245808610323,2091,791,38
Strategy Temporal,0,3,1.0,0.5446066299901776,2123,759,36
Strategy Temporal,0,4,0.01,0.5381176985684123,2378,504,33
Strategy Temporal,1,0,0.0001,0.5321933903545106,2363,519,37
Strategy Temporal,1,1,10.0,0.5544030963657778,2268,614,39
Strategy Temporal,1,2,100.0,0.512326236278449,2275,607,37
Strategy Temporal,1,3,0.01,0.5141732548754792,2206,676,38
Strategy Temporal,1,4,100.0,0.5491510317616354,2416,466,33
Strategy Temporal,2,0,0.1,0.5650553247681948,2056,826,41
Strategy Temporal,2,1,0.01,0.5377967691787918,2171,711,47
Strategy Temporal,2,2,100.0,0.5460806033447985,2428,454,35
Strategy Temporal,2,3,1000.0,0.5011890946104919,2298,584,32
Strategy Temporal,2,4,0.01,0.5291970527370481,2575,307,29
Strategy Temporal,3,0,10.0,0.5322837531257515,2276,606,34
Strategy Temporal,3,1,10.0,0.5371834435477004,2370,512,37
Strategy Temporal,3,2,0.01,0.5384557048437767,2399,483,40
Strategy Temporal,3,3,0.1,0.5427101045863925,2312,570,36
Strategy Temporal,3,4,100.0,0.5320156657774836,2171,711,37
Strategy Temporal,4,0,0.01,0.5463077111245805,2301,581,38
Strategy Temporal,4,1,100.0,0.5366003720126978,2346,536,38
Strategy Temporal,4,2,10.0,0.5190771377689168,2170,712,40
Strategy Temporal,4,3,0.1,0.5146397966507416,2351,531,32
Strategy Temporal,4,4,0.1,0.5306205227219895,2360,522,36
Combined,0,0,0.01,0.6465948567761365,2441,441,39
Combined,0,1,0.001,0.636582838453195,2495,387,38
Combined,0,2,0.01,0.6548871685470831,2091,791,38
Combined,0,3,0.001,0.6217577374729845,2123,759,36
Combined,0,4,0.01,0.6309366461950545,2378,504,33
Combined,1,0,0.001,0.613656198544544,2363,519,37
Combined,1,1,0.01,0.6534428174614431,2268,614,39
Combined,1,2,0.01,0.619988508891652,2275,607,37
Combined,1,3,0.01,0.6721750625797309,2206,676,38
Combined,1,4,0.01,0.6574771321164624,2416,466,33
Combined,2,0,0.01,0.6526574903658379,2056,826,41
Combined,2,1,0.01,0.6399590785444046,2171,711,47
Combined,2,2,0.01,0.6441304805800424,2428,454,35
Combined,2,3,0.001,0.6292444963357565,2298,584,32
Combined,2,4,1.0,0.639281405591491,2575,307,29
Combined,3,0,0.01,0.6616399975185017,2276,606,34
Combined,3,1,0.01,0.6501522297256087,2370,512,37
Combined,3,2,0.01,0.6280776542386485,2399,483,40
Combined,3,3,0.001,0.6349084493201426,2312,570,36
Combined,3,4,0.01,0.6353920783942635,2171,711,37
Combined,4,0,0.01,0.6529883663783572,2301,581,38
Combined,4,1,0.01,0.6390582982386254,2346,536,38
Combined,4,2,0.01,0.6475302020096958,2170,712,40
Combined,4,3,0.01,0.6173228959635654,2351,531,32
Combined,4,4,0.001,0.6460165975480258,2360,522,36
