game_id,n_village_aligned_votes,village_vote_counts,village_top_targets,village_top_target_names,village_top_share,village_vote_entropy,village_modal_correct
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game1,4,"{""Paul"": 1, ""Mitchell"": 2, ""Justin"": 1}",[4],"[""Mitchell""]",0.5,1.0397207708399179,False
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game2,4,"{""James"": 3, ""Mitchell"": 1}",[3],"[""James""]",0.75,0.5623351446188083,False
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game3,4,"{""Laura"": 1, ""Paul"": 1, ""James"": 1, ""Justin"": 1}","[0, 1, 2, 3]","[""Justin"", ""Laura"", ""Paul"", ""James""]",0.25,1.3862943611198906,False
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game4,5,"{""Laura"": 3, ""Paul"": 1, ""Justin"": 1}",[1],"[""Laura""]",0.6,0.9502705392332347,False
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game5,3,"{""Mitchell"": 2, ""Justin"": 1}",[4],"[""Mitchell""]",0.6666666666666666,0.6365141682948128,False
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game2,2,"{""Mitchell"": 2}",[1],"[""Mitchell""]",1.0,-0.0,True
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game3,2,"{""Justin"": 2}",[0],"[""Justin""]",1.0,-0.0,True
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game7,2,"{""Justin"": 2}",[0],"[""Justin""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game1,3,"{""Mitchell"": 3}",[3],"[""Mitchell""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game10,2,"{""Mitchell"": 2}",[3],"[""Mitchell""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game2,3,"{""James"": 2, ""Justin"": 1}",[2],"[""James""]",0.6666666666666666,0.6365141682948128,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game3,3,"{""James"": 1, ""Justin"": 2}",[0],"[""Justin""]",0.6666666666666666,0.6365141682948128,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game4,3,"{""Mitchell"": 2, ""James"": 1}",[3],"[""Mitchell""]",0.6666666666666666,0.6365141682948128,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game5,3,"{""Mitchell"": 3}",[3],"[""Mitchell""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game6,3,"{""Justin"": 3}",[0],"[""Justin""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game7,2,"{""James"": 2}",[2],"[""James""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game8,2,"{""Alvin"": 1, ""Justin"": 1}","[0, 1]","[""Justin"", ""Alvin""]",0.5,0.6931471805599453,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game9,3,"{""Mitchell"": 2, ""Justin"": 1}",[3],"[""Mitchell""]",0.6666666666666666,0.6365141682948128,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game1,4,"{""Caitlynn"": 4}",[3],"[""Caitlynn""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game2,5,"{""Dan"": 1, ""Mitchell"": 1, ""Caitlynn"": 1, ""Mike"": 1, ""Justin"": 1}","[0, 1, 2, 3, 4]","[""Justin"", ""Dan"", ""Mitchell"", ""Caitlynn"", ""Mike""]",0.2,1.6094379124341005,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game3,4,"{""Justin"": 4}",[0],"[""Justin""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game4,4,"{""Mike"": 4}",[4],"[""Mike""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game5,3,"{""Mitchell"": 1, ""Caitlynn"": 1, ""Justin"": 1}","[0, 2, 3]","[""Justin"", ""Mitchell"", ""Caitlynn""]",0.3333333333333333,1.0986122886681096,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game6,2,"{""Justin"": 2}",[0],"[""Justin""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game7,3,"{""Dan"": 1, ""Caitlynn"": 2}",[3],"[""Caitlynn""]",0.6666666666666666,0.6365141682948128,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game8,3,"{""Mike"": 1, ""Caitlynn"": 1, ""Justin"": 1}","[0, 3, 4]","[""Justin"", ""Caitlynn"", ""Mike""]",0.3333333333333333,1.0986122886681096,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game2,3,"{""Mike"": 2, ""Justin"": 1}",[1],"[""Mike""]",0.6666666666666666,0.6365141682948128,False
