n_players,composition,n_games
4,"Robber, Troublemaker, Werewolf, Werewolf",8
4,"Robber, Tanner, Troublemaker, Werewolf",8
4,"Robber, Seer, Troublemaker, Werewolf",7
4,"Robber, Villager, Villager, Werewolf",4
4,"Seer, Tanner, Troublemaker, Werewolf",4
4,"Drunk, Robber, Troublemaker, Werewolf",4
4,"Robber, Seer, Tanner, Werewolf",3
4,"Robber, Seer, Villager, Werewolf",3
4,"Drunk, Tanner, Werewolf, Werewolf",3
4,"Robber, Tanner, Werewolf, Werewolf",3
4,"Drunk, Robber, Tanner, Troublemaker",3
5,"Drunk, Insomniac, Minion, Troublemaker, Werewolf",3
3,"Insomniac, Werewolf, Werewolf",2
4,"Drunk, Seer, Troublemaker, Werewolf",2
4,"Robber, Seer, Villager, Villager",2
4,"Insomniac, Tanner, Troublemaker, Werewolf",2
4,"Insomniac, Seer, Tanner, Troublemaker",2
4,"Drunk, Seer, Werewolf, Werewolf",2
4,"Insomniac, Tanner, Werewolf, Werewolf",2
4,"Drunk, Robber, Seer, Tanner",2
4,"Robber, Seer, Werewolf, Werewolf",2
4,"Insomniac, Seer, Tanner, Werewolf",2
4,"Troublemaker, Villager, Werewolf, Werewolf",2
4,"Minion, Villager, Villager, Werewolf",2
5,"Seer, Troublemaker, Villager, Villager, Werewolf",2
5,"Robber, Seer, Troublemaker, Villager, Werewolf",2
5,"Robber, Seer, Troublemaker, Villager, Villager",2
5,"Robber, Seer, Villager, Villager, Werewolf",2
5,"Seer, Tanner, Troublemaker, Werewolf, Werewolf",2
5,"Robber, Seer, Villager, Werewolf, Werewolf",2
5,"Robber, Tanner, Troublemaker, Werewolf, Werewolf",2
5,"Robber, Seer, Tanner, Werewolf, Werewolf",2
5,"Tanner, Troublemaker, Villager, Werewolf, Werewolf",2
6,"Drunk, Minion, Robber, Tanner, Troublemaker, Werewolf",2
6,"Insomniac, Robber, Seer, Tanner, Werewolf, Werewolf",2
3,"Seer, Troublemaker, Villager",1
3,"Troublemaker, Villager, Werewolf",1
3,"Seer, Troublemaker, Werewolf",1
3,"Insomniac, Robber, Troublemaker",1
3,"Insomniac, Troublemaker, Werewolf",1
3,"Tanner, Werewolf, Werewolf",1
4,"Seer, Troublemaker, Werewolf, Werewolf",1
4,"Drunk, Troublemaker, Werewolf, Werewolf",1
4,"Hunter, Robber, Seer, Werewolf",1
4,"Drunk, Robber, Seer, Werewolf",1
4,"Robber, Villager, Werewolf, Werewolf",1
4,"Insomniac, Tanner, Villager, Werewolf",1
4,"Insomniac, Robber, Seer, Troublemaker",1
4,"Drunk, Robber, Tanner, Werewolf",1
4,"Drunk, Robber, Seer, Troublemaker",1
4,"Robber, Seer, Tanner, Troublemaker",1
4,"Hunter, Robber, Tanner, Troublemaker",1
4,"Drunk, Minion, Tanner, Troublemaker",1
4,"Insomniac, Robber, Werewolf, Werewolf",1
4,"Insomniac, Seer, Troublemaker, Werewolf",1
4,"Drunk, Insomniac, Troublemaker, Werewolf",1
4,"Robber, Troublemaker, Villager, Werewolf",1
4,"Seer, Villager, Villager, Werewolf",1
4,"Drunk, Insomniac, Robber, Werewolf",1
4,"Drunk, Hunter, Werewolf, Werewolf",1
4,"Hunter, Insomniac, Robber, Werewolf",1
4,"Troublemaker, Villager, Villager, Werewolf",1
4,"Minion, Robber, Troublemaker, Villager",1
4,"Doppelganger, Minion, Troublemaker, Werewolf",1
4,"Minion, Robber, Seer, Troublemaker",1
4,"Doppelganger, Drunk, Insomniac, Robber",1
4,"Mason, Minion, Seer, Troublemaker",1
4,"Drunk, Minion, Robber, Seer",1
4,"Doppelganger, Robber, Troublemaker, Werewolf",1
5,"Insomniac, Robber, Villager, Villager, Werewolf",1
5,"Insomniac, Seer, Villager, Werewolf, Werewolf",1
5,"Robber, Troublemaker, Villager, Villager, Werewolf",1
5,"Robber, Seer, Tanner, Troublemaker, Werewolf",1
5,"Drunk, Robber, Tanner, Villager, Werewolf",1
5,"Drunk, Seer, Troublemaker, Werewolf, Werewolf",1
5,"Drunk, Insomniac, Seer, Troublemaker, Werewolf",1
5,"Drunk, Insomniac, Robber, Seer, Werewolf",1
5,"Drunk, Minion, Robber, Seer, Troublemaker",1
5,"Drunk, Insomniac, Minion, Seer, Werewolf",1
5,"Hunter, Seer, Tanner, Troublemaker, Werewolf",1
5,"Minion, Seer, Tanner, Werewolf, Werewolf",1
5,"Minion, Tanner, Troublemaker, Werewolf, Werewolf",1
5,"Minion, Robber, Seer, Tanner, Werewolf",1
5,"Drunk, Seer, Tanner, Werewolf, Werewolf",1
5,"Insomniac, Seer, Tanner, Werewolf, Werewolf",1
5,"Insomniac, Robber, Tanner, Troublemaker, Werewolf",1
5,"Insomniac, Seer, Tanner, Troublemaker, Werewolf",1
5,"Insomniac, Seer, Villager, Villager, Werewolf",1
5,"Minion, Robber, Tanner, Troublemaker, Werewolf",1
5,"Insomniac, Robber, Seer, Tanner, Werewolf",1
5,"Insomniac, Mason, Tanner, Troublemaker, Werewolf",1
5,"Hunter, Mason, Tanner, Werewolf, Werewolf",1
5,"Hunter, Mason, Tanner, Troublemaker, Werewolf",1
5,"Insomniac, Mason, Mason, Tanner, Werewolf",1
5,"Insomniac, Tanner, Troublemaker, Villager, Werewolf",1
5,"Seer, Tanner, Troublemaker, Villager, Werewolf",1
5,"Insomniac, Robber, Troublemaker, Werewolf, Werewolf",1
5,"Hunter, Insomniac, Tanner, Troublemaker, Werewolf",1
5,"Hunter, Insomniac, Robber, Werewolf, Werewolf",1
5,"Hunter, Robber, Seer, Troublemaker, Werewolf",1
5,"Hunter, Insomniac, Robber, Tanner, Troublemaker",1
5,"Hunter, Insomniac, Seer, Troublemaker, Werewolf",1
5,"Hunter, Robber, Tanner, Troublemaker, Werewolf",1
5,"Moderator, Robber, Seer, Troublemaker, Werewolf",1
5,"Moderator, Robber, Villager, Villager, Werewolf",1
5,"Moderator, Robber, Troublemaker, Villager, Werewolf",1
6,"Hunter, Minion, Robber, Seer, Tanner, Werewolf",1
6,"Drunk, Minion, Robber, Seer, Tanner, Werewolf",1
6,"Drunk, Insomniac, Seer, Tanner, Werewolf, Werewolf",1
6,"Seer, Troublemaker, Villager, Villager, Werewolf, Werewolf",1
6,"Mason, Seer, Troublemaker, Villager, Werewolf, Werewolf",1
6,"Drunk, Robber, Seer, Tanner, Troublemaker, Werewolf",1
6,"Insomniac, Mason, Robber, Seer, Troublemaker, Werewolf",1
6,"Minion, Robber, Seer, Tanner, Troublemaker, Werewolf",1
6,"Drunk, Mason, Robber, Troublemaker, Werewolf, Werewolf",1
6,"Mason, Minion, Robber, Tanner, Werewolf, Werewolf",1
6,"Drunk, Mason, Mason, Minion, Robber, Werewolf",1
6,"Hunter, Insomniac, Robber, Seer, Tanner, Troublemaker",1
6,"Insomniac, Robber, Seer, Tanner, Troublemaker, Werewolf",1
6,"Doppelganger, Insomniac, Seer, Villager, Werewolf, Werewolf",1
6,"Hunter, Robber, Seer, Tanner, Troublemaker, Werewolf",1
6,"Doppelganger, Minion, Robber, Seer, Tanner, Troublemaker",1
6,"Doppelganger, Hunter, Minion, Robber, Tanner, Werewolf",1
6,"Hunter, Robber, Seer, Villager, Villager, Werewolf",1
6,"Drunk, Minion, Robber, Troublemaker, Werewolf, Werewolf",1
6,"Hunter, Robber, Seer, Troublemaker, Villager, Werewolf",1
6,"Drunk, Hunter, Robber, Seer, Troublemaker, Villager",1
