measure,group,n,total,mean,sd,min,q25,median,q75,p90,max
turns per game,all,191,25384,132.9,57.65,20,97.0,130.0,158.5,199.0,403
turns per game,Ego4D,40,5325,133.12,70.66,20,66.0,131.5,187.25,220.60000000000002,284
turns per game,Youtube,151,20059,132.84,53.96,23,102.0,129.0,156.5,189.0,403
player turns per game,all,191,24100,126.18,56.27,18,91.0,123.0,151.0,189.0,384
player turns per game,Ego4D,40,5255,131.38,70.22,20,64.5,131.0,186.5,219.4,281
player turns per game,Youtube,151,18845,124.8,52.14,18,97.0,120.0,146.5,180.0,384
words per game,all,191,189741,993.41,383.82,108,800.5,1014.0,1173.5,1361.0,3173
words per game,Ego4D,40,37576,939.4,510.54,108,421.0,1025.0,1357.0,1551.8000000000002,1909
words per game,Youtube,151,152165,1007.72,343.3,281,832.0,1014.0,1166.0,1283.0,3173
characters per game,all,191,979076,5126.05,1971.1,570,4116.5,5246.0,6026.0,7072.0,16063
characters per game,Ego4D,40,196844,4921.1,2689.78,570,2148.75,5411.5,7066.0,7966.800000000001,10405
characters per game,Youtube,151,782232,5180.34,1739.55,1453,4282.0,5246.0,5969.5,6557.0,16063
players per game,all,191,864,4.52,0.77,3,4.0,4.0,5.0,6.0,6
players per game,Ego4D,40,181,4.53,0.85,4,4.0,4.0,5.0,6.0,6
players per game,Youtube,151,683,4.52,0.76,3,4.0,4.0,5.0,6.0,6
words per turn,all,25384,189741,7.47,8.59,1,3.0,5.0,9.0,15.0,310
words per turn,Ego4D,5325,37576,7.06,7.3,1,2.0,5.0,9.0,15.0,94
words per turn,Youtube,20059,152165,7.59,8.9,1,3.0,5.0,9.0,16.0,310
