role,n_start,percent_start,n_end,percent_end,delta_n,delta_percentage_points,n_games_start,n_games_end
Werewolf,221,25.578703703703702,229,26.504629629629626,8,0.9259259259259245,163,165
Robber,118,13.657407407407407,120,13.88888888888889,2,0.2314814814814825,118,120
Troublemaker,115,13.310185185185187,120,13.88888888888889,5,0.5787037037037035,115,120
Seer,95,10.99537037037037,99,11.458333333333332,4,0.46296296296296224,95,99
Tanner,84,9.722222222222223,84,9.722222222222223,0,0.0,84,84
Villager,70,8.101851851851851,73,8.449074074074074,3,0.3472222222222224,48,51
Insomniac,48,5.555555555555555,49,5.671296296296297,1,0.11574074074074125,48,49
Drunk,45,5.208333333333334,13,1.5046296296296295,-32,-3.703703703703704,45,13
Minion,27,3.125,29,3.356481481481482,2,0.23148148148148182,27,29
Hunter,20,2.314814814814815,22,2.5462962962962963,2,0.23148148148148145,20,22
Mason,12,1.3888888888888888,11,1.2731481481481481,-1,-0.11574074074074073,10,9
Doppelganger,6,0.6944444444444444,5,0.5787037037037037,-1,-0.11574074074074073,6,5
Moderator,3,0.3472222222222222,3,0.3472222222222222,0,0.0,3,3
Center Card,0,0.0,6,0.6944444444444444,6,0.6944444444444444,0,5
Revealer,0,0.0,1,0.11574074074074073,1,0.11574074074074073,0,1
