role,n_start,n_end,n_lost,n_gained,p_mcnemar_raw,p_mcnemar_holm,significant_holm_05,delta_percentage_points,ci_low,ci_high,ci_excludes_zero
Drunk,45,13,45,13,3.011590962911926e-05,0.0004517386444367889,True,-3.703703703703704,-4.931297097855733,-2.60332002902758,True
Center Card,0,6,0,6,0.03125,0.4375,False,0.6944444444444444,0.11668611435239205,1.408492080568014,True
Troublemaker,115,120,18,23,0.5327092552361137,1.0,False,0.5787037037037035,0.0,1.1792452830188678,False
Werewolf,221,229,65,73,0.5514132796665477,1.0,False,0.9259259259259245,0.2328288707799775,1.6355140186915889,True
Seer,95,99,42,46,0.7493290032022805,1.0,False,0.46296296296296224,-0.11737434004733482,1.14288983327885,False
Villager,70,73,24,27,0.7797679305530743,1.0,False,0.3472222222222224,0.0,0.8092485549132944,False
Minion,27,29,9,11,0.8238029479980469,1.0,False,0.23148148148148182,-0.2222972972972973,0.6976744186046512,False
Hunter,20,22,10,12,0.8318119049072266,1.0,False,0.23148148148148145,0.0,0.5820721769499418,False
Robber,118,120,104,106,0.9450062419227652,1.0,False,0.2314814814814825,-0.574052812858783,1.0357030168687993,False
Mason,12,11,6,5,1.0,1.0,False,-0.11574074074074073,-0.35046728971962604,0.0,False
Insomniac,48,49,18,19,1.0,1.0,False,0.11574074074074125,-0.2344665885111369,0.48002639736507596,False
Doppelganger,6,5,5,4,1.0,1.0,False,-0.11574074074074073,-0.35335689045936386,0.0,False
Moderator,3,3,0,0,1.0,1.0,False,0.0,0.0,0.0,False
Revealer,0,1,0,1,1.0,1.0,False,0.11574074074074073,0.0,0.3550401020780166,False
Tanner,84,84,37,37,1.0,1.0,False,0.0,-0.46405059675389587,0.4635128631843277,False
