role,n_games_start,percent_games_start,n_games_end,percent_games_end,max_copies_in_a_game_start,max_copies_in_a_game_end,n_games_with_two_copies_start
Werewolf,163,85.34031413612566,165,86.38743455497382,2,2,58
Robber,118,61.78010471204188,120,62.82722513089005,1,1,0
Troublemaker,115,60.20942408376963,120,62.82722513089005,1,1,0
Seer,95,49.738219895287955,99,51.832460732984295,1,1,0
Tanner,84,43.97905759162304,84,43.97905759162304,1,1,0
Villager,48,25.130890052356023,51,26.701570680628272,2,2,22
Insomniac,48,25.130890052356023,49,25.654450261780106,1,1,0
Drunk,45,23.56020942408377,13,6.806282722513089,1,1,0
Minion,27,14.136125654450261,29,15.18324607329843,1,1,0
Hunter,20,10.471204188481675,22,11.518324607329843,1,1,0
Mason,10,5.2356020942408374,9,4.712041884816754,2,2,2
Doppelganger,6,3.141361256544503,5,2.6178010471204187,1,1,0
Moderator,3,1.5706806282722514,3,1.5706806282722514,1,1,0
Center Card,0,0.0,5,2.6178010471204187,0,2,0
Revealer,0,0.0,1,0.5235602094240838,0,1,0
