start_role,Center Card,Doppelganger,Drunk,Hunter,Insomniac,Mason,Minion,Moderator,Revealer,Robber,Seer,Tanner,Troublemaker,Villager,Werewolf
Center Card,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doppelganger,0,1,0,0,0,0,0,0,0,3,1,0,0,0,1
Drunk,5,0,0,2,2,0,3,0,1,7,6,2,6,2,9
Hunter,0,1,0,10,1,0,0,0,0,6,1,0,0,0,1
Insomniac,0,0,1,1,30,1,1,0,0,6,1,4,0,1,2
Mason,0,0,1,0,1,6,0,0,0,1,1,0,0,0,2
Minion,0,2,2,0,1,0,18,0,0,1,0,1,0,1,1
Moderator,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Revealer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robber,1,1,5,6,4,1,2,0,0,14,18,17,7,12,30
Seer,0,0,2,1,2,1,2,0,0,14,53,3,2,6,9
Tanner,0,0,1,1,6,0,1,0,0,9,4,47,3,0,12
Troublemaker,0,0,0,0,0,0,0,0,0,18,0,0,97,0,0
Villager,0,0,0,0,0,0,0,0,0,12,6,0,0,46,6
Werewolf,0,0,1,1,2,2,2,0,0,29,8,10,5,5,156
