speaker_end_role,Accusation,Call for Action,Defense,Evidence,Identity Declaration,Interrogation,No Strategy / Empty
Revealer,8.943177821387454,-1.082392497983368,-5.66795632176608,-0.24790524881186293,0.04624745885330661,11.586763377283706,-14.795041570449598
Doppelganger,-5.165944088245965,0.4521343562365807,3.496579057603059,-0.12002801096019944,4.308822053908721,-12.752537560482704,10.652528762031217
Mason,-3.592620147891381,-0.34039822565845235,-5.602869104895472,-0.26092269218598396,0.7101370709334942,1.2899656683537408,3.2731698328307957
Drunk,-0.8853586146198946,-3.7400777398694673,-7.119272916989594,-0.49285319737279387,0.0033815678551434303,-0.6177681597646689,6.037781454657562
Hunter,3.8681625121406675,2.4923166263277166,-0.21786446628536993,-1.901303901598145,0.7428181875734543,-2.0614301315956567,-2.6241903763283574
Minion,-0.1487412957149843,-0.14912829533171212,4.164648670456717,1.9593386590468143,-1.1944013819732984,0.5320266911123106,-1.6182398520583732
Insomniac,0.23013434312658276,1.0497814150601101,-0.5096954522008623,-1.4235574227249055,0.40450832841852424,0.44589381206631273,1.3301758208547483
Villager,-0.903234244922066,-1.1467706737817718,-1.0844601269761132,-1.6458313518629284,2.0385220777574977,-2.29018233811877,4.532206492457071
Tanner,-0.3270085140162724,0.32870998648868177,5.89066169065628,-0.4614145655820483,-1.4754916715814757,1.9866080977806,-4.1137527505738305
Seer,0.5492600261866922,0.9085792292677608,3.4022899758501417,0.8925081510455861,-0.901721179778197,-0.6449622899373288,-2.060425272041428
Robber,-0.5428732194097741,-0.1655298123977138,1.6264767409346828,1.1495199478393747,-1.2398895773406382,-0.3855663391844111,0.6107808237634131
Troublemaker,-1.6420283389289256,0.6703584966759397,0.23129932658451935,2.8728756632877346,-2.600800822447098,1.9299059033001704,-0.7945397603488829
Werewolf,-0.3829262390921411,0.7224171349656965,1.3901629270280917,-0.3204260301206574,-0.8421321121794296,0.9812832691866937,-0.43045360479435146
