speaker_end_role,Accusation,Call for Action,Defense,Evidence,Identity Declaration,Interrogation,No Strategy / Empty
Center Card,13,1,17,5,4,4,12
Revealer,11,2,3,4,3,13,14
Moderator,2,3,2,1,0,8,68
Doppelganger,10,6,16,9,11,4,57
Mason,38,17,22,29,24,60,162
Drunk,50,6,18,30,23,57,182
,63,29,45,30,31,69,182
Hunter,107,45,68,40,41,83,242
Minion,87,31,96,64,31,101,256
Insomniac,190,81,146,94,86,214,582
Villager,266,81,210,138,161,272,941
Tanner,328,129,405,190,112,418,921
Seer,426,174,428,270,153,440,1185
Robber,496,181,475,347,180,560,1576
Troublemaker,485,222,452,430,141,677,1617
Werewolf,927,391,863,548,358,1122,2847
