role,label,n_games,n_speakers,rate_per_100_turns,ci_low,ci_high
Werewolf,Accusation,163,224,14.586939417781275,13.323989072308397,15.862059742585851
Werewolf,Call for Action,163,224,6.152635719905586,5.204674754105761,7.226540417557067
Werewolf,Defense,163,224,13.579858379228954,11.905337967531066,15.469250259303733
Werewolf,Evidence,163,224,8.623131392604249,7.578717887628289,9.72631872900583
Werewolf,Identity Declaration,163,224,5.633359559402046,4.935288777178381,6.386852670912599
Werewolf,Interrogation,163,224,17.65538945712038,16.34753590125586,18.960209484350287
Troublemaker,Accusation,120,120,13.327837317944491,11.830902418559942,14.927424549135074
Troublemaker,Call for Action,120,120,6.100577081615828,4.95639311618954,7.301800380322306
Troublemaker,Defense,120,120,12.420994778785381,10.364215042176365,14.646353604786041
Troublemaker,Evidence,120,120,11.81643308601264,10.471166408618753,13.27328750948383
Troublemaker,Identity Declaration,120,120,3.8746908491343777,3.208526234054944,4.58101522092602
Troublemaker,Interrogation,120,120,18.604012091233855,16.98506300149164,20.278352004762304
Robber,Accusation,118,118,14.426992437463642,12.782963304273393,16.162770121510654
Robber,Call for Action,118,118,5.264688772542176,4.389121298859202,6.237820285298989
Robber,Defense,118,118,13.816172193135545,11.616195341259901,16.119645148835694
Robber,Evidence,118,118,10.093077370564282,8.695591988059126,11.571517490699433
Robber,Identity Declaration,118,118,5.2356020942408374,4.4388771420321165,6.0901817772951885
Robber,Interrogation,118,118,16.288539848749274,14.575719112465018,18.10653610585854
Seer,Accusation,99,99,15.519125683060109,13.589975244239143,17.56000219731132
Seer,Call for Action,99,99,6.33879781420765,5.1823349301332815,7.520969777123109
Seer,Defense,99,99,15.591985428051002,12.692964402820445,18.66406596774534
Seer,Evidence,99,99,9.836065573770492,8.394710936050016,11.372335543870697
Seer,Identity Declaration,99,99,5.573770491803279,4.59329636451725,6.65879741727199
Seer,Interrogation,99,99,16.029143897996356,13.924367549230714,18.225160530735486
Tanner,Accusation,81,81,14.642857142857142,12.80623748256168,16.675018317491677
Tanner,Call for Action,81,81,5.758928571428571,4.391672650916948,7.280454288157435
Tanner,Defense,81,81,18.080357142857142,14.92889531056359,21.458900375080045
Tanner,Evidence,81,81,8.482142857142858,7.125785010960198,9.93074404474118
Tanner,Identity Declaration,81,81,5.0,3.9956983049871013,6.120842280316843
Tanner,Interrogation,81,81,18.660714285714285,16.285950705391407,21.057704638524154
Villager,Accusation,51,73,14.066631411951349,11.281986531986533,17.00189001524839
Villager,Call for Action,51,73,4.283447911158118,3.2972393418523125,5.354669368431448
Villager,Defense,51,73,11.105235325224749,8.730998581131988,13.513513513513514
Villager,Evidence,51,73,7.2977260708619776,5.387326929554141,9.27907461479557
Villager,Identity Declaration,51,73,8.514013749338973,6.928697045337173,10.32345068137573
Villager,Interrogation,51,73,14.383923849814913,11.83548824046377,17.127115219242015
Insomniac,Accusation,49,49,15.2,12.537588054959656,17.76257553475372
Insomniac,Call for Action,49,49,6.48,4.506026824051087,8.702802179663617
Insomniac,Defense,49,49,11.68,8.294092505385038,15.645058016544972
Insomniac,Evidence,49,49,7.52,5.6412629640586935,9.767080594956543
Insomniac,Identity Declaration,49,49,6.88,5.108747976306868,8.904595031841103
Insomniac,Interrogation,49,49,17.12,14.109844108833249,20.543083639705884
