game_id,source,split,session_name,game_key,speaker,speaker_idx,speaker_start_role,speaker_end_role,num_turns,n_raw_empty_annotation_utterances,n_raw_no_strategy_utterances,n_multi_label_utterances,n_strategy_utterances,n_no_strategy_or_empty_utterances,n_accusation,n_call_for_action,n_defense,n_evidence,n_identity_declaration,n_interrogation,n_no_strategy_empty,n_strategy_labels,strategy_utterance_rate,no_strategy_or_empty_utterance_rate,multi_label_utterance_rate,rate_accusation_per_turn,rate_call_for_action_per_turn,rate_defense_per_turn,rate_evidence_per_turn,rate_identity_declaration_per_turn,rate_interrogation_per_turn
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,Ego4D,val,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game1,Brent,3.0,Seer,Werewolf,37,0,21,3,16,21,2,0,5,4,1,8,21,20,0.43243243243243246,0.5675675675675675,0.08108108108108109,0.05405405405405406,0.0,0.13513513513513514,0.10810810810810811,0.02702702702702703,0.21621621621621623
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,Ego4D,val,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game1,Erin,0.0,Werewolf,Robber,11,0,4,2,7,4,0,0,2,4,2,1,4,9,0.6363636363636364,0.36363636363636365,0.18181818181818182,0.0,0.0,0.18181818181818182,0.36363636363636365,0.18181818181818182,0.09090909090909091
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,Ego4D,val,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game1,Hailey,4.0,Troublemaker,Troublemaker,34,0,22,4,12,22,1,1,9,3,1,1,22,16,0.35294117647058826,0.6470588235294118,0.11764705882352941,0.029411764705882353,0.029411764705882353,0.2647058823529412,0.08823529411764706,0.029411764705882353,0.029411764705882353
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,Ego4D,val,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game1,Jack,2.0,Moderator,Moderator,38,0,28,0,10,28,2,3,2,1,0,2,28,10,0.2631578947368421,0.7368421052631579,0.0,0.05263157894736842,0.07894736842105263,0.05263157894736842,0.02631578947368421,0.0,0.05263157894736842
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,Ego4D,val,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game1,Sebastian,1.0,Robber,Seer,33,0,21,3,12,21,3,1,1,1,1,8,21,15,0.36363636363636365,0.6363636363636364,0.09090909090909091,0.09090909090909091,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.24242424242424243
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,Ego4D,test,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game2,Brent,3.0,Villager,Villager,40,0,17,9,23,17,14,3,7,1,2,5,17,32,0.575,0.425,0.225,0.35,0.075,0.175,0.025,0.05,0.125
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,Ego4D,test,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game2,Erin,0.0,Moderator,Moderator,18,0,17,0,1,17,0,0,0,0,0,1,17,1,0.05555555555555555,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,Ego4D,test,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game2,Hailey,4.0,Villager,Robber,42,0,26,7,16,26,2,3,7,1,2,8,26,23,0.38095238095238093,0.6190476190476191,0.16666666666666666,0.047619047619047616,0.07142857142857142,0.16666666666666666,0.023809523809523808,0.047619047619047616,0.19047619047619047
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,Ego4D,test,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game2,Jack,2.0,Werewolf,Werewolf,55,0,29,10,26,29,5,2,7,3,2,18,29,37,0.4727272727272727,0.5272727272727272,0.18181818181818182,0.09090909090909091,0.03636363636363636,0.12727272727272726,0.05454545454545454,0.03636363636363636,0.32727272727272727
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,Ego4D,test,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game2,Sebastian,1.0,Robber,Villager,33,0,19,5,14,19,2,2,8,7,1,0,19,20,0.42424242424242425,0.5757575757575758,0.15151515151515152,0.06060606060606061,0.06060606060606061,0.24242424242424243,0.21212121212121213,0.030303030303030304,0.0
