role_definition,label,diff_per_100_turns,ci_low,ci_high,excludes_zero,inconclusive_at_this_n,n_games_werewolf,n_speakers_werewolf
start,Accusation,-0.6961839007491744,-2.085675107058506,0.7425429888965237,False,True,159,215
start,Call for Action,-0.2891337400157372,-1.168915038697834,0.6124281895920786,False,True,159,215
start,Defense,-0.3230879479674673,-1.7482331150027295,1.1337291146709723,False,True,159,215
start,Evidence,-0.4711394213100064,-1.6041824852485016,0.696176906538112,False,True,159,215
start,Identity Declaration,-0.14008706847162866,-0.8537178754233584,0.5818996985213201,False,True,159,215
start,Interrogation,1.1709103584476495,-0.3171014199709886,2.664592892612892,False,True,159,215
end,Accusation,0.1007962307143,-1.302751753728065,1.5260503884598366,False,True,163,224
end,Call for Action,0.5002107776423061,-0.46625046231712697,1.4700529937199047,False,True,163,224
end,Defense,-0.03446032746850669,-1.5537459603386279,1.500116016351751,False,True,163,224
end,Evidence,-0.9092011709061438,-1.984409327567526,0.23315320242705595,False,True,163,224
end,Identity Declaration,0.03289766563761187,-0.6577202689939773,0.7477565397305439,False,True,163,224
end,Interrogation,0.8482301037716482,-0.6466151745558042,2.3675412345183724,False,True,163,224
