game_id,source,split,session_name,game_key,num_turns,num_players,n_raw_empty_annotation_utterances,n_raw_no_strategy_utterances,n_multi_label_utterances,n_strategy_utterances,n_no_strategy_or_empty_utterances,n_accusation,n_call_for_action,n_defense,n_evidence,n_identity_declaration,n_interrogation,n_no_strategy_empty,n_strategy_labels,strategy_utterance_rate,no_strategy_or_empty_utterance_rate,multi_label_utterance_rate,rate_accusation_per_turn,rate_call_for_action_per_turn,rate_defense_per_turn,rate_evidence_per_turn,rate_identity_declaration_per_turn,rate_interrogation_per_turn
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,Ego4D,val,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game1,153,5,0,96,12,57,96,8,5,19,13,5,20,96,70,0.37254901960784315,0.6274509803921569,0.0784313725490196,0.05228758169934641,0.032679738562091505,0.12418300653594772,0.08496732026143791,0.032679738562091505,0.13071895424836602
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,Ego4D,test,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game2,188,5,0,108,31,80,108,23,10,29,12,7,32,108,113,0.425531914893617,0.574468085106383,0.16489361702127658,0.12234042553191489,0.05319148936170213,0.15425531914893617,0.06382978723404255,0.03723404255319149,0.1702127659574468
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game4,278,6,0,167,16,111,167,43,21,16,13,9,26,167,128,0.39928057553956836,0.6007194244604317,0.05755395683453238,0.15467625899280577,0.07553956834532374,0.05755395683453238,0.046762589928057555,0.03237410071942446,0.09352517985611511
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game5,162,6,0,101,7,61,101,15,6,13,7,9,18,101,68,0.3765432098765432,0.6234567901234568,0.043209876543209874,0.09259259259259259,0.037037037037037035,0.08024691358024691,0.043209876543209874,0.05555555555555555,0.1111111111111111
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game6,184,6,0,67,24,117,67,54,18,19,11,14,27,67,143,0.6358695652173914,0.3641304347826087,0.13043478260869565,0.29347826086956524,0.09782608695652174,0.10326086956521739,0.059782608695652176,0.07608695652173914,0.14673913043478262
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game7,184,6,0,114,12,70,114,16,10,8,13,9,26,114,82,0.3804347826086957,0.6195652173913043,0.06521739130434782,0.08695652173913043,0.05434782608695652,0.043478260869565216,0.07065217391304347,0.04891304347826087,0.14130434782608695
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game8,138,6,0,61,24,77,61,20,11,22,23,12,15,61,103,0.5579710144927537,0.4420289855072464,0.17391304347826086,0.14492753623188406,0.07971014492753623,0.15942028985507245,0.16666666666666666,0.08695652173913043,0.10869565217391304
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game9,194,6,0,95,31,99,95,34,16,29,21,12,22,95,134,0.5103092783505154,0.4896907216494845,0.15979381443298968,0.17525773195876287,0.08247422680412371,0.14948453608247422,0.10824742268041238,0.061855670103092786,0.1134020618556701
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,Ego4D,train,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game10,197,4,0,118,4,79,118,19,1,6,12,12,33,118,83,0.4010152284263959,0.5989847715736041,0.02030456852791878,0.09644670050761421,0.005076142131979695,0.030456852791878174,0.06091370558375635,0.06091370558375635,0.16751269035532995
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,Ego4D,train,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game11,152,4,0,98,1,54,98,7,0,8,12,7,21,98,55,0.35526315789473684,0.6447368421052632,0.006578947368421052,0.046052631578947366,0.0,0.05263157894736842,0.07894736842105263,0.046052631578947366,0.13815789473684212
