dialogue_half,label,n_label_assignments,n_utterances,n_games,percent_within_half
early,Accusation,1417,1417,184,10.723475102164372
early,Call for Action,312,312,123,2.3611321325866506
early,Defense,1555,1555,179,11.767822006962312
early,Evidence,1216,1216,184,9.202361132132587
early,Identity Declaration,756,756,179,5.721204782806114
early,Interrogation,2215,2215,188,16.762524595126383
early,No Strategy / Empty,5743,5743,191,43.461480248221584
late,Accusation,2082,2082,188,15.440522100266984
late,Call for Action,1087,1087,175,8.061406110946306
late,Defense,1711,1711,183,12.689113022841887
late,Evidence,1013,1013,182,7.512607534856126
late,Identity Declaration,603,603,160,4.471966775437556
late,Interrogation,1887,1887,189,13.994363690299615
late,No Strategy / Empty,5101,5101,191,37.83002076535153
