role,label,n_games,n_speakers,rate_per_100_turns,ci_low,ci_high
Werewolf,Accusation,165,229,14.692676884966714,13.460059087776848,15.947467166979362
Werewolf,Call for Action,165,229,6.161944573463384,5.2296897816828976,7.220629390617627
Werewolf,Defense,165,229,13.593435516333798,11.904714354187114,15.498827262180802
Werewolf,Evidence,165,229,8.577179129896269,7.555942277951904,9.657070315212817
Werewolf,Identity Declaration,165,229,5.635547298343397,4.942542235373154,6.367813429808367
Werewolf,Interrogation,165,229,17.60334417092429,16.31514473703322,18.920199721465494
Troublemaker,Accusation,120,120,13.327837317944491,11.830902418559942,14.927424549135074
Troublemaker,Call for Action,120,120,6.100577081615828,4.95639311618954,7.301800380322306
Troublemaker,Defense,120,120,12.420994778785381,10.364215042176365,14.646353604786041
Troublemaker,Evidence,120,120,11.81643308601264,10.471166408618753,13.27328750948383
Troublemaker,Identity Declaration,120,120,3.8746908491343777,3.208526234054944,4.58101522092602
Troublemaker,Interrogation,120,120,18.604012091233855,16.98506300149164,20.278352004762304
Robber,Accusation,120,120,14.42169022209403,12.791604707726712,16.132656001084634
Robber,Call for Action,120,120,5.278338621286415,4.4088559084272365,6.239562873124415
Robber,Defense,120,120,13.96019613498702,11.775851671343474,16.25314400563406
Robber,Evidence,120,120,10.152869916354197,8.776115956016683,11.622218738587268
Robber,Identity Declaration,120,120,5.278338621286415,4.476759468070323,6.116506254937002
Robber,Interrogation,120,120,16.267666570522064,14.551631358436246,18.083694179177826
Seer,Accusation,99,99,15.519125683060109,13.589975244239143,17.56000219731132
Seer,Call for Action,99,99,6.33879781420765,5.1823349301332815,7.520969777123109
Seer,Defense,99,99,15.591985428051002,12.692964402820445,18.66406596774534
Seer,Evidence,99,99,9.836065573770492,8.394710936050016,11.372335543870697
Seer,Identity Declaration,99,99,5.573770491803279,4.59329636451725,6.65879741727199
Seer,Interrogation,99,99,16.029143897996356,13.924367549230714,18.225160530735486
Tanner,Accusation,82,83,14.621178555604786,12.79759382566586,16.641486613323405
Tanner,Call for Action,82,83,5.759858218874612,4.412758100210134,7.268550786713421
Tanner,Defense,82,83,18.0327868852459,14.913445052817874,21.365115107888737
Tanner,Evidence,82,83,8.506867523260967,7.157836652863915,9.957751474672092
Tanner,Identity Declaration,82,83,4.962339388568897,3.965641167502514,6.07142851284393
Tanner,Interrogation,82,83,18.697385910500664,16.354225320368947,21.080432851790267
Villager,Accusation,51,73,14.066631411951349,11.281986531986533,17.00189001524839
Villager,Call for Action,51,73,4.283447911158118,3.2972393418523125,5.354669368431448
Villager,Defense,51,73,11.105235325224749,8.730998581131988,13.513513513513514
Villager,Evidence,51,73,7.2977260708619776,5.387326929554141,9.27907461479557
Villager,Identity Declaration,51,73,8.514013749338973,6.928697045337173,10.32345068137573
Villager,Interrogation,51,73,14.383923849814913,11.83548824046377,17.127115219242015
Insomniac,Accusation,49,50,15.18784972022382,12.53065226461453,17.745151007357755
Insomniac,Call for Action,49,50,6.474820143884892,4.505877338282133,8.691986549990231
Insomniac,Defense,49,50,11.670663469224621,8.282390367582543,15.645058016544972
Insomniac,Evidence,49,50,7.5139888089528375,5.63782411735747,9.75636826290571
Insomniac,Identity Declaration,49,50,6.874500399680255,5.108747976306868,8.898826294733892
Insomniac,Interrogation,49,50,17.106314948041568,14.108453827404842,20.50604544506983
