speaker_start_role,Accusation,Call for Action,Defense,Evidence,Identity Declaration,Interrogation,No Strategy / Empty
Minion,11.83206106870229,5.152671755725191,16.793893129770993,11.641221374045802,6.488549618320611,15.648854961832063,45.80152671755725
Hunter,21.391304347826086,8.17391304347826,10.08695652173913,7.304347826086957,8.695652173913043,17.043478260869566,39.30434782608695
Drunk,12.161051766639277,4.519309778142974,13.557929334428923,7.723911257189811,5.834018077239113,17.502054231717338,48.06902218570255
Insomniac,13.706407137064073,6.001622060016221,12.814274128142742,6.407137064071371,6.4882400648824,14.841849148418493,49.87834549878345
Villager,15.590809628008753,4.485776805251642,10.99562363238512,4.704595185995624,7.932166301969365,15.426695842450766,50.054704595185996
Tanner,14.925373134328357,6.365232660228271,18.217734855136083,8.296751536435469,5.750658472344162,17.998244073748904,40.605794556628624
Seer,15.240543518178479,6.206390011017261,14.506059493206022,10.760190965846492,5.251560778553067,15.828130738156446,44.399559309585015
Robber,14.619700748129677,6.109725685785536,14.463840399002494,10.847880299251871,5.423940149625936,16.77057356608479,43.11097256857855
Troublemaker,14.24493291464459,5.966314587496432,12.532115329717385,12.21809877248073,3.6540108478447046,18.498429917213816,43.59120753639738
Werewolf,14.116116441697837,5.610668401366076,13.416815742397137,8.895755407383314,5.529354366563669,17.937876077410962,45.43828264758497
