role,n_games,n_speakers,n_utterances,n_strategy_utterances,n_no_strategy_or_empty_utterances,strategy_utterance_rate,no_strategy_or_empty_utterance_rate,strategy_utterance_percent,no_strategy_or_empty_utterance_percent
Werewolf,162,221,6149,3355,2794,0.5456171735241503,0.4543828264758497,54.56171735241503,45.43828264758497
Robber,117,117,3208,1825,1383,0.5688902743142145,0.43110972568578554,56.88902743142145,43.11097256857855
Troublemaker,115,115,3503,1976,1527,0.5640879246360263,0.43591207536397375,56.40879246360263,43.59120753639738
Seer,95,95,2723,1514,1209,0.5560044069041499,0.4439955930958502,55.600440690414985,44.399559309585015
Tanner,82,83,2278,1353,925,0.5939420544337137,0.4060579455662862,59.394205443371376,40.605794556628624
Villager,48,70,1828,913,915,0.49945295404814005,0.50054704595186,49.945295404814004,50.054704595185996
Insomniac,48,49,1233,618,615,0.5012165450121655,0.49878345498783455,50.121654501216554,49.87834549878345
Drunk,44,44,1217,632,585,0.5193097781429745,0.4806902218570255,51.93097781429745,48.06902218570255
Minion,26,26,524,284,240,0.5419847328244275,0.4580152671755725,54.19847328244275,45.80152671755725
,24,26,145,69,76,0.47586206896551725,0.5241379310344828,47.58620689655172,52.41379310344828
Hunter,20,20,575,349,226,0.6069565217391304,0.39304347826086955,60.69565217391304,39.30434782608695
Mason,10,12,469,244,225,0.5202558635394456,0.47974413646055436,52.02558635394456,47.97441364605544
Doppelganger,6,6,134,78,56,0.582089552238806,0.417910447761194,58.2089552238806,41.7910447761194
Moderator,3,3,84,16,68,0.19047619047619047,0.8095238095238095,19.047619047619047,80.95238095238095
