speaker_end_role,n_speakers,n_games,num_turns,n_strategy_utterances,n_no_strategy_or_empty_utterances,n_strategy_labels,n_accusation,n_call_for_action,n_defense,n_evidence,n_identity_declaration,n_interrogation,n_no_strategy_empty,strategy_utterance_rate,no_strategy_or_empty_utterance_rate,rate_accusation_per_turn,rate_call_for_action_per_turn,rate_defense_per_turn,rate_evidence_per_turn,rate_identity_declaration_per_turn,rate_interrogation_per_turn,rate_no_strategy_empty_per_turn
Werewolf,229,165,6459,3565,2894,4280,949,398,878,554,364,1137,2894,0.5519430252361046,0.44805697476389533,0.14692676884966713,0.06161944573463384,0.135934355163338,0.08577179129896269,0.05635547298343397,0.17603344170924293,0.44805697476389533
Troublemaker,120,120,3639,2022,1617,2407,485,222,452,430,141,677,1617,0.5556471558120363,0.4443528441879637,0.1332783731794449,0.06100577081615829,0.12420994778785381,0.11816433086012641,0.038746908491343775,0.18604012091233854,0.4443528441879637
Robber,120,120,3467,1882,1585,2266,500,183,484,352,183,564,1585,0.5428324199596193,0.4571675800403807,0.1442169022209403,0.052783386212864145,0.1396019613498702,0.10152869916354197,0.052783386212864145,0.16267666570522066,0.4571675800403807
Seer,99,99,2745,1560,1185,1891,426,174,428,270,153,440,1185,0.5683060109289617,0.43169398907103823,0.1551912568306011,0.0633879781420765,0.15591985428051003,0.09836065573770492,0.05573770491803279,0.16029143897996356,0.43169398907103823
Tanner,83,82,2257,1327,930,1593,330,130,407,192,112,422,930,0.587948604342047,0.412051395657953,0.14621178555604786,0.057598582188746125,0.18032786885245902,0.08506867523260966,0.04962339388568897,0.18697385910500663,0.412051395657953
Villager,73,51,1891,950,941,1128,266,81,210,138,161,272,941,0.5023796932839767,0.49762030671602325,0.1406663141195135,0.04283447911158118,0.1110523532522475,0.07297726070861978,0.08514013749338974,0.14383923849814914,0.49762030671602325
Insomniac,50,49,1251,668,583,811,190,81,146,94,86,214,583,0.533972821742606,0.4660271782573941,0.1518784972022382,0.06474820143884892,0.11670663469224621,0.07513988808952837,0.06874500399680256,0.17106314948041568,0.4660271782573941
Minion,28,28,601,345,256,430,89,33,100,66,33,109,256,0.5740432612312812,0.4259567387687188,0.1480865224625624,0.05490848585690516,0.16638935108153077,0.10981697171381032,0.05490848585690516,0.18136439267886856,0.4259567387687188
Hunter,21,21,568,326,242,384,107,45,68,40,41,83,242,0.573943661971831,0.426056338028169,0.18838028169014084,0.07922535211267606,0.11971830985915492,0.07042253521126761,0.0721830985915493,0.14612676056338028,0.426056338028169
Drunk,12,12,355,173,182,184,50,6,18,30,23,57,182,0.48732394366197185,0.5126760563380282,0.14084507042253522,0.016901408450704224,0.05070422535211268,0.08450704225352113,0.0647887323943662,0.16056338028169015,0.5126760563380282
Mason,11,9,347,176,171,194,38,17,22,30,24,63,171,0.5072046109510087,0.49279538904899134,0.10951008645533142,0.04899135446685879,0.06340057636887608,0.08645533141210375,0.069164265129683,0.18155619596541786,0.49279538904899134
,26,24,145,69,76,82,25,9,6,8,16,18,76,0.47586206896551725,0.5241379310344828,0.1724137931034483,0.06206896551724138,0.041379310344827586,0.05517241379310345,0.1103448275862069,0.12413793103448276,0.5241379310344828
Doppelganger,5,5,117,49,68,60,10,6,16,11,11,6,68,0.4188034188034188,0.5811965811965812,0.08547008547008547,0.05128205128205128,0.13675213675213677,0.09401709401709402,0.09401709401709402,0.05128205128205128,0.5811965811965812
Center Card,6,5,98,66,32,92,21,9,26,9,8,19,32,0.673469387755102,0.32653061224489793,0.21428571428571427,0.09183673469387756,0.2653061224489796,0.09183673469387756,0.08163265306122448,0.19387755102040816,0.32653061224489793
Moderator,3,3,84,16,68,16,2,3,2,1,0,8,68,0.19047619047619047,0.8095238095238095,0.023809523809523808,0.03571428571428571,0.023809523809523808,0.011904761904761904,0.0,0.09523809523809523,0.8095238095238095
Revealer,1,1,46,32,14,36,11,2,3,4,3,13,14,0.6956521739130435,0.30434782608695654,0.2391304347826087,0.043478260869565216,0.06521739130434782,0.08695652173913043,0.06521739130434782,0.2826086956521739,0.30434782608695654
