speaker_start_role,n_speakers,n_games,num_turns,n_strategy_utterances,n_no_strategy_or_empty_utterances,n_strategy_labels,n_accusation,n_call_for_action,n_defense,n_evidence,n_identity_declaration,n_interrogation,n_no_strategy_empty,strategy_utterance_rate,no_strategy_or_empty_utterance_rate,rate_accusation_per_turn,rate_call_for_action_per_turn,rate_defense_per_turn,rate_evidence_per_turn,rate_identity_declaration_per_turn,rate_interrogation_per_turn,rate_no_strategy_empty_per_turn
Werewolf,221,162,6149,3355,2794,4028,868,345,825,547,340,1103,2794,0.5456171735241503,0.4543828264758497,0.14116116441697837,0.05610668401366076,0.13416815742397137,0.08895755407383314,0.05529354366563669,0.1793787607741096,0.4543828264758497
Troublemaker,115,115,3503,1976,1527,2351,499,209,439,428,128,648,1527,0.5640879246360263,0.43591207536397375,0.1424493291464459,0.05966314587496432,0.12532115329717386,0.1221809877248073,0.03654010847844705,0.18498429917213816,0.43591207536397375
Robber,117,117,3208,1825,1383,2189,469,196,464,348,174,538,1383,0.5688902743142145,0.43110972568578554,0.14619700748129677,0.06109725685785536,0.14463840399002495,0.1084788029925187,0.05423940149625935,0.16770573566084787,0.43110972568578554
Seer,95,95,2723,1514,1209,1846,415,169,395,293,143,431,1209,0.5560044069041499,0.4439955930958502,0.1524054351817848,0.062063900110172605,0.14506059493206022,0.10760190965846493,0.05251560778553067,0.15828130738156446,0.4439955930958502
Tanner,83,82,2278,1353,925,1630,340,145,415,189,131,410,925,0.5939420544337137,0.4060579455662862,0.14925373134328357,0.0636523266022827,0.18217734855136083,0.08296751536435469,0.05750658472344162,0.17998244073748904,0.4060579455662862
Villager,70,48,1828,913,915,1081,285,82,201,86,145,282,915,0.49945295404814005,0.50054704595186,0.15590809628008753,0.044857768052516414,0.10995623632385121,0.047045951859956234,0.07932166301969365,0.15426695842450766,0.50054704595186
Insomniac,49,48,1233,618,615,743,169,74,158,79,80,183,615,0.5012165450121655,0.49878345498783455,0.13706407137064072,0.06001622060016221,0.1281427412814274,0.0640713706407137,0.064882400648824,0.14841849148418493,0.49878345498783455
Drunk,44,44,1217,632,585,746,148,55,165,94,71,213,585,0.5193097781429745,0.4806902218570255,0.12161051766639278,0.04519309778142974,0.13557929334428923,0.07723911257189811,0.05834018077239113,0.17502054231717337,0.4806902218570255
Hunter,20,20,575,349,226,418,123,47,58,42,50,98,226,0.6069565217391304,0.39304347826086955,0.21391304347826087,0.0817391304347826,0.10086956521739131,0.07304347826086957,0.08695652173913043,0.17043478260869566,0.39304347826086955
Minion,26,26,524,284,240,354,62,27,88,61,34,82,240,0.5419847328244275,0.4580152671755725,0.1183206106870229,0.05152671755725191,0.16793893129770993,0.11641221374045801,0.0648854961832061,0.15648854961832062,0.4580152671755725
Mason,12,10,469,244,225,267,74,33,28,30,29,73,225,0.5202558635394456,0.47974413646055436,0.15778251599147122,0.07036247334754797,0.05970149253731343,0.06396588486140725,0.06183368869936034,0.15565031982942432,0.47974413646055436
,26,24,145,69,76,82,25,9,6,8,16,18,76,0.47586206896551725,0.5241379310344828,0.1724137931034483,0.06206896551724138,0.041379310344827586,0.05517241379310345,0.1103448275862069,0.12413793103448276,0.5241379310344828
Doppelganger,6,6,134,78,56,103,20,5,22,23,18,15,56,0.582089552238806,0.417910447761194,0.14925373134328357,0.03731343283582089,0.16417910447761194,0.17164179104477612,0.13432835820895522,0.11194029850746269,0.417910447761194
Moderator,3,3,84,16,68,16,2,3,2,1,0,8,68,0.19047619047619047,0.8095238095238095,0.023809523809523808,0.03571428571428571,0.023809523809523808,0.011904761904761904,0.0,0.09523809523809523,0.8095238095238095
