marker,model,provisional_category,possible_categories,category_scores,dominance_share,exact_tie,total_occurrences,n_justifications_with_marker,pct_justifications_with_marker,occurrences_per_100_words
and,Gemma 4 31B,Expansion,Expansion | Contingency | Comparison | Temporal,Expansion: 2905 | Contingency: 68 | Comparison: 22 | Temporal: 5,0.9683333333333334,False,2262,738,96.59685863874346,3.9236093042618516
as,Gemma 4 31B,Temporal,Temporal | Contingency | Comparison | Expansion,Temporal: 522 | Contingency: 214 | Comparison: 5 | Expansion: 2,0.702557200538358,False,696,431,56.41361256544503,1.207264401311339
with,Gemma 4 31B,Contingency,Contingency | Expansion,Contingency: 3 | Expansion: 2,0.6,False,372,303,39.659685863874344,0.6452620075974398
if,Gemma 4 31B,Contingency,Contingency | Comparison | Expansion,Contingency: 1174 | Comparison: 48 | Expansion: 1,0.9599345870809485,False,293,255,33.37696335078534,0.5082305597474458
while,Gemma 4 31B,Comparison,Comparison | Temporal | Expansion,Comparison: 516 | Temporal: 202 | Expansion: 63,0.6606914212548015,False,212,210,27.486910994764397,0.36772996131897107
or,Gemma 4 31B,Expansion,Expansion | Contingency | Comparison,Expansion: 95 | Contingency: 2 | Comparison: 1,0.9693877551020408,False,192,174,22.774869109947645,0.33303845553416245
then,Gemma 4 31B,Temporal,Temporal | Expansion | Contingency | Comparison,Temporal: 317 | Expansion: 14 | Contingency: 6 | Comparison: 3,0.9323529411764706,False,178,153,20.026178010471206,0.30875440148479644
but,Gemma 4 31B,Comparison,Comparison | Expansion | Temporal | Contingency,Comparison: 3215 | Expansion: 90 | Temporal: 2 | Contingency: 1,0.9718863361547763,False,172,163,21.335078534031414,0.2983469497493539
since,Gemma 4 31B,Contingency,Contingency | Temporal,Contingency: 96 | Temporal: 88,0.5217391304347826,False,160,159,20.81151832460733,0.2775320462784687
later,Gemma 4 31B,Temporal,Temporal | Expansion,Temporal: 90 | Expansion: 1,0.989010989010989,False,140,137,17.93193717277487,0.24284054049366013
also,Gemma 4 31B,Expansion,Expansion | Temporal,Expansion: 1745 | Temporal: 1,0.9994272623138603,False,83,78,10.209424083769633,0.14396974900695564
however,Gemma 4 31B,Comparison,Comparison | Expansion,Comparison: 483 | Expansion: 2,0.9958762886597938,False,65,65,8.507853403141361,0.11274739380062791
although,Gemma 4 31B,Comparison,Comparison | Expansion,Comparison: 327 | Expansion: 1,0.9969512195121951,False,54,54,7.068062827225131,0.09366706561898319
after,Gemma 4 31B,Temporal,Temporal | Comparison,Temporal: 575 | Comparison: 2,0.9965337954939342,False,38,37,4.842931937172775,0.06591386099113632
finally,Gemma 4 31B,Expansion,Expansion | Temporal,Expansion: 20 | Temporal: 12,0.625,False,35,35,4.5811518324607325,0.060710135123415034
when,Gemma 4 31B,Temporal,Temporal | Contingency | Comparison | Expansion,Temporal: 793 | Contingency: 182 | Comparison: 12 | Expansion: 2,0.8018200202224469,False,26,26,3.4031413612565444,0.045098957520251164
without,Gemma 4 31B,Contingency,Contingency | Expansion,Contingency: 2 | Expansion: 1,0.6666666666666666,False,24,24,3.1413612565445024,0.041629806941770306
rather,Gemma 4 31B,Expansion,Expansion | Comparison,Expansion: 13 | Comparison: 4,0.7647058823529411,False,12,12,1.5706806282722512,0.020814903470885153
still,Gemma 4 31B,Comparison,Comparison | Temporal,Comparison: 187 | Temporal: 3,0.9842105263157894,False,9,9,1.1780104712041886,0.015611177603163865
instead,Gemma 4 31B,Expansion,Expansion | Comparison,Expansion: 109 | Comparison: 3,0.9732142857142857,False,7,7,0.9162303664921465,0.012142027024683007
previously,Gemma 4 31B,Temporal,Temporal | Comparison,Temporal: 47 | Comparison: 2,0.9591836734693877,False,6,6,0.7853403141361256,0.010407451735442576
indeed,Gemma 4 31B,Expansion,Expansion | Contingency | Comparison,Expansion: 99 | Contingency: 4 | Comparison: 1,0.9519230769230769,False,4,4,0.5235602094240838,0.006938301156961718
ultimately,Gemma 4 31B,Temporal,Temporal | Expansion,Temporal: 14 | Expansion: 4,0.7777777777777778,False,4,4,0.5235602094240838,0.006938301156961718
unless,Gemma 4 31B,Expansion,Expansion | Contingency,Expansion: 94 | Contingency: 1,0.9894736842105263,False,3,3,0.3926701570680628,0.005203725867721288
instead of,Gemma 4 31B,Comparison,Comparison | Expansion,Comparison: 1 | Expansion: 1,0.5,True,3,3,0.3926701570680628,0.005203725867721288
yet,Gemma 4 31B,Comparison,Comparison | Expansion,Comparison: 98 | Expansion: 3,0.9702970297029703,False,3,3,0.3926701570680628,0.005203725867721288
earlier,Gemma 4 31B,Temporal,Temporal | Comparison,Temporal: 14 | Comparison: 1,0.9333333333333333,False,2,2,0.2617801047120419,0.003469150578480859
once,Gemma 4 31B,Temporal,Temporal | Contingency,Temporal: 80 | Contingency: 4,0.9523809523809523,False,1,1,0.13089005235602094,0.0017345752892404295
until,Gemma 4 31B,Temporal,Temporal | Contingency | Expansion,Temporal: 141 | Contingency: 18 | Expansion: 3,0.8703703703703703,False,1,1,0.13089005235602094,0.0017345752892404295
