game_id,run_1,run_2,run_3,greedy_t0,n_unique_votes,all_same,agreement_type,vote_pattern
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,Erin,Brent,Erin,Brent,2,False,two_vs_one,Erin | Brent | Erin
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,Jack,Jack,Jack,Jack,1,True,unanimous,Jack | Jack | Jack
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,Elliot,Elliot,Elliot,Elliot,1,True,unanimous,Elliot | Elliot | Elliot
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,Sian,Sian,Sian,Sian,1,True,unanimous,Sian | Sian | Sian
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,Elliot,Elliot,Elliot,Elliot,1,True,unanimous,Elliot | Elliot | Elliot
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,Sukeshi,Sukeshi,Sukeshi,Sukeshi,1,True,unanimous,Sukeshi | Sukeshi | Sukeshi
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,Sian,Sian,Sian,Sian,1,True,unanimous,Sian | Sian | Sian
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,Sian,James,James,Sian,2,False,two_vs_one,Sian | James | James
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,No Werewolf,Hunter,Zack,Hunter,3,False,all_different,No Werewolf | Hunter | Zack
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,Zack,Sean,No Werewolf,Zack,3,False,all_different,Zack | Sean | No Werewolf
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,No Werewolf,No Werewolf,No Werewolf,No Werewolf,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,Hunter,Sean,Sean,Sean,2,False,two_vs_one,Hunter | Sean | Sean
