game_id,run_1,run_2,run_3,greedy_t0,n_unique_votes,all_same,agreement_type,vote_pattern
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game1,Alana,Caitlynn,Mike,Alana,3,False,all_different,Alana | Caitlynn | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game4,Alysha,Mitchell,Justin,Justin,3,False,all_different,Alysha | Mitchell | Justin
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game3,James,Laura,No Werewolf,No Werewolf,3,False,all_different,James | Laura | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game2,Justin,James,No Werewolf,No Werewolf,3,False,all_different,Justin | James | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game1,Justin,James,Paul,Paul,3,False,all_different,Justin | James | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game1,Justin,Mitchell,No Werewolf,No Werewolf,3,False,all_different,Justin | Mitchell | No Werewolf
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game7,Justin,Mitchell,No Werewolf,No Werewolf,3,False,all_different,Justin | Mitchell | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#55##January#26th#2019 / Game3,Justin,No Werewolf,Caitlynn,Justin,3,False,all_different,Justin | No Werewolf | Caitlynn
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game5,Justin,Paul,James,Paul,3,False,all_different,Justin | Paul | James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game3,Mitchell,Justin,Paul,Justin,3,False,all_different,Mitchell | Justin | Paul
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,No Werewolf,Hunter,Zack,Hunter,3,False,all_different,No Werewolf | Hunter | Zack
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game4,Paul,Laura,James,Paul,3,False,all_different,Paul | Laura | James
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,Zack,Sean,No Werewolf,Zack,3,False,all_different,Zack | Sean | No Werewolf
Youtube / One#Night#Ultimate#Werewolf#531#Classic#ONUW / Game1,Brett,Katie,Katie,Katie,2,False,two_vs_one,Brett | Katie | Katie
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game2,Caitlynn,Caitlynn,Mike,Caitlynn,2,False,two_vs_one,Caitlynn | Caitlynn | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game7,Caitlynn,No Werewolf,No Werewolf,No Werewolf,2,False,two_vs_one,Caitlynn | No Werewolf | No Werewolf
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game1,Daniel,Jessica,Daniel,Kaelan,2,False,two_vs_one,Daniel | Jessica | Daniel
Youtube / One#Night#Ultimate#Werewolf#GAME#NIGHT!! / Game2,Eric,Shane,Eric,Shane,2,False,two_vs_one,Eric | Shane | Eric
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,Erin,Brent,Erin,Brent,2,False,two_vs_one,Erin | Brent | Erin
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,Hunter,Sean,Sean,Sean,2,False,two_vs_one,Hunter | Sean | Sean
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game4,Jacob,No Werewolf,No Werewolf,Jacob,2,False,two_vs_one,Jacob | No Werewolf | No Werewolf
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game1,James,Elliot,James,Elliot,2,False,two_vs_one,James | Elliot | James
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game4,Jessica,Daniel,Daniel,Daniel,2,False,two_vs_one,Jessica | Daniel | Daniel
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game7,Jessica,Jessica,Daniel,Jessica,2,False,two_vs_one,Jessica | Jessica | Daniel
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game12,Jessica,Jessica,Kaelan,Jessica,2,False,two_vs_one,Jessica | Jessica | Kaelan
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game11,Jessica,Kevin,Kevin,Jessica,2,False,two_vs_one,Jessica | Kevin | Kevin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game1,Jordan2,Jordan2,Haak,Jordan2,2,False,two_vs_one,Jordan2 | Jordan2 | Haak
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game3,Justin,Justin,James,James,2,False,two_vs_one,Justin | Justin | James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game6,Justin,Justin,Mitchell,Mitchell,2,False,two_vs_one,Justin | Justin | Mitchell
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game1,Justin,Justin,Mitchell,Mitchell,2,False,two_vs_one,Justin | Justin | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game2,Justin,Mitchell,Justin,Justin,2,False,two_vs_one,Justin | Mitchell | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game8,Justin,No Werewolf,No Werewolf,No Werewolf,2,False,two_vs_one,Justin | No Werewolf | No Werewolf
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game1,Justin,Paul,Paul,Justin,2,False,two_vs_one,Justin | Paul | Paul
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game6,Justin,Tyler,Justin,Paul,2,False,two_vs_one,Justin | Tyler | Justin
Youtube / One#Night#Ultimate#Werewolf#493#Even#More#Classic#Werewolf / Game1,Katie,No Werewolf,No Werewolf,No Werewolf,2,False,two_vs_one,Katie | No Werewolf | No Werewolf
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game5,Kevin,Kevin,Daniel,Daniel,2,False,two_vs_one,Kevin | Kevin | Daniel
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game3,Laura,James,Laura,James,2,False,two_vs_one,Laura | James | Laura
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game4,Laura,Laura,No Werewolf,James,2,False,two_vs_one,Laura | Laura | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game2,Meghan,Mike,Mike,Mike,2,False,two_vs_one,Meghan | Mike | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game2,Meryl,Meryl,Jordan2,Meryl,2,False,two_vs_one,Meryl | Meryl | Jordan2
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#39##April#21st#2018 / Game3,Mike,Justin,Mike,Justin,2,False,two_vs_one,Mike | Justin | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game2,Mike,Mike,Caitlynn,Mike,2,False,two_vs_one,Mike | Mike | Caitlynn
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game4,Mike,Mike,Eric,Mike,2,False,two_vs_one,Mike | Mike | Eric
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game4,Mike,Mike,Mitchell,Mike,2,False,two_vs_one,Mike | Mike | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game6,Mike,Mike,No Werewolf,No Werewolf,2,False,two_vs_one,Mike | Mike | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game3,Mike,Mitchell,Mike,Mitchell,2,False,two_vs_one,Mike | Mitchell | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game1,Mike,Mitchell,Mitchell,Mitchell,2,False,two_vs_one,Mike | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game6,Mike,Mitchell,Mitchell,Mitchell,2,False,two_vs_one,Mike | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game2,Mike,Paul,Paul,Paul,2,False,two_vs_one,Mike | Paul | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game4,Mitchell,Caitlynn,Caitlynn,Caitlynn,2,False,two_vs_one,Mitchell | Caitlynn | Caitlynn
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game11,Mitchell,Justin,Justin,Justin,2,False,two_vs_one,Mitchell | Justin | Justin
