game_id,actual_human_available,actual_human_vote_type,actual_human_targets,actual_human_target_names,actual_human_win
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game1,True,player,"[2, 4]","[""Paul"", ""Mitchell""]",False
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game2,True,player,[3],"[""James""]",False
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game3,True,player,[0],"[""Justin""]",False
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game4,True,player,[1],"[""Laura""]",False
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game5,True,player,[4],"[""Mitchell""]",False
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game2,True,player,"[1, 0]","[""Mitchell"", ""Justin""]",True
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game3,True,player,"[2, 0]","[""Paul"", ""Justin""]",True
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game7,True,player,[0],"[""Justin""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game1,False,,[],[],
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game10,True,player,[3],"[""Mitchell""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game2,True,player,[2],"[""James""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game3,True,player,[0],"[""Justin""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game4,True,player,"[3, 2]","[""Mitchell"", ""James""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game5,True,player,[3],"[""Mitchell""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game6,True,player,[0],"[""Justin""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game7,True,player,[2],"[""James""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game8,True,player,[0],"[""Justin""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game9,True,player,"[3, 0]","[""Mitchell"", ""Justin""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game1,True,player,[3],"[""Caitlynn""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game2,True,circle,[],[],True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game3,True,player,[0],"[""Justin""]",True
