game_id,run_1,run_2,run_3,agreement_type,n_unique_votes,vote_pattern,stochastic_majority_vote,has_stochastic_majority,n_unique_stochastic_votes,stochastic_majority_correct
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,Erin,Brent,Erin,two_vs_one,2,Erin | Brent | Erin,Erin,True,2,False
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,Jack,Jack,Jack,unanimous,1,Jack | Jack | Jack,Jack,True,1,True
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,Elliot,Elliot,Elliot,unanimous,1,Elliot | Elliot | Elliot,Elliot,True,1,False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,Sian,Sian,Sian,unanimous,1,Sian | Sian | Sian,Sian,True,1,False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,Elliot,Elliot,Elliot,unanimous,1,Elliot | Elliot | Elliot,Elliot,True,1,True
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,Sukeshi,Sukeshi,Sukeshi,unanimous,1,Sukeshi | Sukeshi | Sukeshi,Sukeshi,True,1,False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,Sian,Sian,Sian,unanimous,1,Sian | Sian | Sian,Sian,True,1,False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,Sian,James,James,two_vs_one,2,Sian | James | James,James,True,2,False
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,No Werewolf,Hunter,Zack,all_different,3,No Werewolf | Hunter | Zack,,False,3,
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,Zack,Sean,No Werewolf,all_different,3,Zack | Sean | No Werewolf,,False,3,
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,True
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,Hunter,Sean,Sean,two_vs_one,2,Hunter | Sean | Sean,Sean,True,2,True
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,Zack,Zack,Hunter,two_vs_one,2,Zack | Zack | Hunter,Zack,True,2,True
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game9,Zack,Zack,Sean,two_vs_one,2,Zack | Zack | Sean,Zack,True,2,True
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game10,Clint,Clint,Clint,unanimous,1,Clint | Clint | Clint,Clint,True,1,False
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,Clint,Clint,Clint,unanimous,1,Clint | Clint | Clint,Clint,True,1,True
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game7,Erin,Erin,Erin,unanimous,1,Erin | Erin | Erin,Erin,True,1,False
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game8,Tyler,Tyler,Tyler,unanimous,1,Tyler | Tyler | Tyler,Tyler,True,1,True
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game9,Tyler,Tyler,Tyler,unanimous,1,Tyler | Tyler | Tyler,Tyler,True,1,True
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game1,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,False
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game2,Sean,Sean,Sean,unanimous,1,Sean | Sean | Sean,Sean,True,1,False
