game_id,run_1,run_2,run_3,greedy_t0
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,Erin,Brent,Erin,Brent
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,Jack,Jack,Jack,Jack
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,Elliot,Elliot,Elliot,Elliot
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,Sian,Sian,Sian,Sian
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,Elliot,Elliot,Elliot,Elliot
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,Sukeshi,Sukeshi,Sukeshi,Sukeshi
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,Sian,Sian,Sian,Sian
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,Sian,James,James,Sian
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,No Werewolf,Hunter,Zack,Hunter
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,Zack,Sean,No Werewolf,Zack
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,No Werewolf,No Werewolf,No Werewolf,No Werewolf
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,Hunter,Sean,Sean,Sean
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,Zack,Zack,Hunter,Zack
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game9,Zack,Zack,Sean,Zack
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game10,Clint,Clint,Clint,Clint
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,Clint,Clint,Clint,Clint
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game7,Erin,Erin,Erin,Clint
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game8,Tyler,Tyler,Tyler,Tyler
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game9,Tyler,Tyler,Tyler,Tyler
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game1,No Werewolf,No Werewolf,No Werewolf,No Werewolf
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game2,Sean,Sean,Sean,Sean
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game3,No Werewolf,No Werewolf,No Werewolf,No Werewolf
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game4,Jacob,No Werewolf,No Werewolf,Jacob
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game5,Sean,Sean,Sean,Sean
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game1,Daniel,Jessica,Daniel,Kaelan
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game2,No Werewolf,No Werewolf,No Werewolf,No Werewolf
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game3,No Werewolf,Daniel,No Werewolf,No Werewolf
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game4,Jessica,Daniel,Daniel,Daniel
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game5,Kevin,Kevin,Daniel,Daniel
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game6,Kevin,Kevin,Kevin,Kaelan
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game10,No Werewolf,No Werewolf,No Werewolf,No Werewolf
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game11,Jessica,Kevin,Kevin,Jessica
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game12,Jessica,Jessica,Kaelan,Jessica
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game7,Jessica,Jessica,Daniel,Jessica
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game8,No Werewolf,No Werewolf,No Werewolf,Kevin
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game9,Daniel,Daniel,Daniel,Daniel
Ego4D / 64076f60-f3fc-4ee6-93e1-3489d8ec7b12 / Game3,Brent,Brent,Brent,Brent
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game1,James,Elliot,James,Elliot
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game2,Sukeshi,Sukeshi,Sukeshi,Ashley
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game3,James,James,James,James
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game1,Mitchell,Mitchell,Justin,Justin
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game2,James,James,James,James
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game3,James,Laura,No Werewolf,No Werewolf
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game4,Paul,Laura,James,Paul
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game5,Mitchell,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game1,Mitchell,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game10,Justin,Justin,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game2,Mitchell,Mitchell,James,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game3,Justin,Justin,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game4,James,James,James,James
