game_id,source,session_name,game_key,player_names,start_roles,end_roles,has_werewolf,correct_vote_type,correct_player_names,n_valid_stochastic,stoch_vote_distribution,p_correct,stoch_entropy,at_least_one_correct,stoch_majority_vote,has_strict_majority,stoch_majority_correct,greedy_vote,greedy_correct,greedy_in_stoch_support
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,Ego4D,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game1,"[""Erin"", ""Sebastian"", ""Jack"", ""Brent"", ""Hailey""]","[""Werewolf"", ""Robber"", ""Moderator"", ""Seer"", ""Troublemaker""]","[""Robber"", ""Seer"", ""Moderator"", ""Werewolf"", ""Troublemaker""]",True,player,"[""Brent""]",3,"{""Brent"": 0.6666666666666666, ""Erin"": 0.3333333333333333}",0.6666666666666666,0.6365141682948128,True,Brent,True,True,,,
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,Ego4D,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game2,"[""Erin"", ""Sebastian"", ""Jack"", ""Brent"", ""Hailey""]","[""Moderator"", ""Robber"", ""Werewolf"", ""Villager"", ""Villager""]","[""Moderator"", ""Villager"", ""Werewolf"", ""Villager"", ""Robber""]",True,player,"[""Jack""]",3,"{""Jack"": 1.0}",1.0,-0.0,True,Jack,True,True,,,
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game4,"[""Elliot"", ""Ashley"", ""James"", ""Chris"", ""Sukeshi"", ""Sian""]","[""Robber"", ""Werewolf"", ""Insomniac"", ""Seer"", ""Werewolf"", ""Tanner""]","[""Tanner"", ""Werewolf"", ""Insomniac"", ""Seer"", ""Werewolf"", ""Robber""]",True,player,"[""Ashley"", ""Sukeshi""]",3,"{""Sian"": 0.3333333333333333, ""Elliot"": 0.6666666666666666}",0.0,0.6365141682948128,False,Elliot,True,False,,,
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game5,"[""Elliot"", ""Ashley"", ""James"", ""Chris"", ""Sukeshi"", ""Sian""]","[""Seer"", ""Werewolf"", ""Doppelganger"", ""Werewolf"", ""Insomniac"", ""Villager""]","[""Seer"", ""Werewolf"", ""Doppelganger"", ""Werewolf"", ""Insomniac"", ""Villager""]",True,player,"[""Ashley"", ""Chris""]",3,"{""James"": 0.3333333333333333, ""Sian"": 0.6666666666666666}",0.0,0.6365141682948128,False,Sian,True,False,,,
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game6,"[""Elliot"", ""Ashley"", ""James"", ""Chris"", ""Sukeshi"", ""Sian""]","[""Werewolf"", ""Seer"", ""Troublemaker"", ""Hunter"", ""Robber"", ""Tanner""]","[""Werewolf"", ""Robber"", ""Troublemaker"", ""Seer"", ""Hunter"", ""Tanner""]",True,player,"[""Elliot""]",3,"{""Elliot"": 1.0}",1.0,-0.0,True,Elliot,True,True,,,
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game7,"[""Elliot"", ""Ashley"", ""James"", ""Chris"", ""Sukeshi"", ""Sian""]","[""Robber"", ""Minion"", ""Doppelganger"", ""Troublemaker"", ""Tanner"", ""Seer""]","[""Tanner"", ""Doppelganger"", ""Seer"", ""Troublemaker"", ""Robber"", ""Minion""]",False,circle,[],3,"{""Sukeshi"": 0.6666666666666666, ""Sian"": 0.3333333333333333}",0.0,0.6365141682948128,False,Sukeshi,True,False,,,
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game8,"[""Elliot"", ""Ashley"", ""James"", ""Chris"", ""Sukeshi"", ""Sian""]","[""Werewolf"", ""Robber"", ""Doppelganger"", ""Hunter"", ""Minion"", ""Tanner""]","[""Werewolf"", ""Hunter"", ""Robber"", ""Doppelganger"", ""Minion"", ""Tanner""]",True,player,"[""Elliot""]",3,"{""Sian"": 1.0}",0.0,-0.0,False,Sian,True,False,,,
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game9,"[""Elliot"", ""Ashley"", ""James"", ""Chris"", ""Sukeshi"", ""Sian""]","[""Villager"", ""Hunter"", ""Robber"", ""Werewolf"", ""Villager"", ""Seer""]","[""Villager"", ""Hunter"", ""Villager"", ""Werewolf"", ""Robber"", ""Seer""]",True,player,"[""Chris""]",3,"{""Elliot"": 0.3333333333333333, ""James"": 0.6666666666666666}",0.0,0.6365141682948128,False,James,True,False,,,
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game10,"[""Zack"", ""Sean"", ""Hunter"", ""Jacob""]","[""Werewolf"", ""Villager"", ""Troublemaker"", ""Werewolf""]","[""Villager"", ""Werewolf"", ""Troublemaker"", ""Werewolf""]",True,player,"[""Sean"", ""Jacob""]",3,"{""Jacob"": 0.6666666666666666, ""Hunter"": 0.3333333333333333}",0.6666666666666666,0.6365141682948128,True,Jacob,True,True,,,
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game11,"[""Zack"", ""Sean"", ""Hunter"", ""Jacob""]","[""Insomniac"", ""Werewolf"", ""Troublemaker"", ""Drunk""]","[""Drunk"", ""Werewolf"", ""Troublemaker"", ""Villager""]",True,player,"[""Sean""]",3,"{""Sean"": 0.6666666666666666, ""Zack"": 0.3333333333333333}",0.6666666666666666,0.6365141682948128,True,Sean,True,True,,,
