game_id,actual_human_available,actual_human_vote_type,actual_human_targets,actual_human_target_names,actual_human_win,n_village_aligned_votes,village_vote_counts,village_top_targets,village_top_target_names,village_top_share,village_vote_entropy,village_modal_correct,llm_vote_entropy,llm_top_share,agreement_type,stochastic_majority_vote,has_stochastic_majority,stochastic_majority_correct,greedy_vote,greedy_correct,human_llm_outcome_bucket
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game1,True,player,"[2, 4]","[""Paul"", ""Mitchell""]",False,4,"{""Paul"": 1, ""Mitchell"": 2, ""Justin"": 1}",[4],"[""Mitchell""]",0.5,1.0397207708399179,False,-0.0,1.0,unanimous,Mitchell,True,False,Mitchell,False,human_lose_llm_lose
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game2,True,player,[3],"[""James""]",False,4,"{""James"": 3, ""Mitchell"": 1}",[3],"[""James""]",0.75,0.5623351446188083,False,1.0986122886681096,0.3333333333333333,all_different,,False,,Mitchell,False,missing_or_no_majority
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game3,True,player,[0],"[""Justin""]",False,4,"{""Laura"": 1, ""Paul"": 1, ""James"": 1, ""Justin"": 1}","[1, 2, 3, 0]","[""Laura"", ""Paul"", ""James"", ""Justin""]",0.25,1.3862943611198906,False,1.0986122886681096,0.3333333333333333,all_different,,False,,Mitchell,True,missing_or_no_majority
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game4,True,player,[1],"[""Laura""]",False,5,"{""Laura"": 3, ""Paul"": 1, ""Justin"": 1}",[1],"[""Laura""]",0.6,0.9502705392332347,False,-0.0,1.0,unanimous,No Werewolf,True,True,Laura,False,human_lose_llm_win
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game5,True,player,[4],"[""Mitchell""]",False,3,"{""Mitchell"": 2, ""Justin"": 1}",[4],"[""Mitchell""]",0.6666666666666666,0.6365141682948128,False,0.6365141682948128,0.6666666666666666,two_vs_one,Laura,True,True,Mitchell,False,human_lose_llm_win
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game2,True,player,"[1, 0]","[""Mitchell"", ""Justin""]",True,2,"{""Mitchell"": 2}",[1],"[""Mitchell""]",1.0,-0.0,True,-0.0,1.0,unanimous,Mitchell,True,True,Mitchell,True,human_win_llm_win
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game3,True,player,"[2, 0]","[""Paul"", ""Justin""]",True,2,"{""Justin"": 2}",[0],"[""Justin""]",1.0,-0.0,True,0.6365141682948128,0.6666666666666666,two_vs_one,Tyler,True,True,Justin,True,human_win_llm_win
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game7,True,player,[0],"[""Justin""]",True,2,"{""Justin"": 2}",[0],"[""Justin""]",1.0,-0.0,True,0.6365141682948128,0.6666666666666666,two_vs_one,Paul,True,False,No Werewolf,False,human_win_llm_lose
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game1,False,,[],[],,3,"{""Mitchell"": 3}",[3],"[""Mitchell""]",1.0,-0.0,True,-0.0,1.0,unanimous,Mitchell,True,True,Mitchell,True,missing_or_no_majority
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game10,True,player,[3],"[""Mitchell""]",True,2,"{""Mitchell"": 2}",[3],"[""Mitchell""]",1.0,-0.0,True,0.6365141682948128,0.6666666666666666,two_vs_one,Justin,True,False,Mitchell,True,human_win_llm_lose
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game2,True,player,[2],"[""James""]",False,3,"{""James"": 2, ""Justin"": 1}",[2],"[""James""]",0.6666666666666666,0.6365141682948128,False,0.6365141682948128,0.6666666666666666,two_vs_one,Mitchell,True,False,No Werewolf,False,human_lose_llm_lose
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game3,True,player,[0],"[""Justin""]",False,3,"{""James"": 1, ""Justin"": 2}",[0],"[""Justin""]",0.6666666666666666,0.6365141682948128,False,0.6365141682948128,0.6666666666666666,two_vs_one,Justin,True,False,Alvin,False,human_lose_llm_lose
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game4,True,player,"[3, 2]","[""Mitchell"", ""James""]",True,3,"{""Mitchell"": 2, ""James"": 1}",[3],"[""Mitchell""]",0.6666666666666666,0.6365141682948128,True,0.6365141682948128,0.6666666666666666,two_vs_one,James,True,False,James,False,human_win_llm_lose
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game5,True,player,[3],"[""Mitchell""]",True,3,"{""Mitchell"": 3}",[3],"[""Mitchell""]",1.0,-0.0,True,-0.0,1.0,unanimous,Mitchell,True,True,Mitchell,True,human_win_llm_win
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game6,True,player,[0],"[""Justin""]",True,3,"{""Justin"": 3}",[0],"[""Justin""]",1.0,-0.0,True,-0.0,1.0,unanimous,Justin,True,True,Justin,True,human_win_llm_win
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game7,True,player,[2],"[""James""]",True,2,"{""James"": 2}",[2],"[""James""]",1.0,-0.0,True,-0.0,1.0,unanimous,James,True,True,James,True,human_win_llm_win
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game8,True,player,[0],"[""Justin""]",False,2,"{""Alvin"": 1, ""Justin"": 1}","[1, 0]","[""Alvin"", ""Justin""]",0.5,0.6931471805599453,True,1.0986122886681096,0.3333333333333333,all_different,,False,,No Werewolf,False,missing_or_no_majority
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game9,True,player,"[3, 0]","[""Mitchell"", ""Justin""]",True,3,"{""Mitchell"": 2, ""Justin"": 1}",[3],"[""Mitchell""]",0.6666666666666666,0.6365141682948128,True,-0.0,1.0,unanimous,Mitchell,True,True,Mitchell,True,human_win_llm_win
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game1,True,player,[3],"[""Caitlynn""]",True,4,"{""Caitlynn"": 4}",[3],"[""Caitlynn""]",1.0,-0.0,True,-0.0,1.0,unanimous,Caitlynn,True,True,Caitlynn,True,human_win_llm_win
