model,decoding_group,marker,n_runs,justifications_per_run,mean_total_occurrences_per_run,std_total_occurrences_per_run,mean_occurrences_per_justification,std_occurrences_per_justification,mean_occurrences_per_100_words,std_occurrences_per_100_words,mean_justifications_with_item_per_run,std_justifications_with_item_per_run,mean_pct_justifications_with_item,std_pct_justifications_with_item
Gemma 4 4B,Stochastic,and,3,191.0,451.6666666666667,8.326663997864523,2.364746945898778,0.04359509946525922,2.8858428483514182,0.045040596553971975,179.33333333333334,3.785938897200181,93.89179755671903,1.982166961884911
Gemma 4 4B,Stochastic,for,3,191.0,147.0,11.532562594670797,0.7696335078534031,0.06037990887262198,0.9391170532679318,0.07098525126491369,114.33333333333333,9.073771725877469,59.860383944153575,4.750665825066739
Gemma 4 4B,Stochastic,while,3,191.0,121.66666666666667,10.263202878893766,0.6369982547993019,0.05373404648635483,0.7773117924402629,0.0640183927819918,116.33333333333333,11.15048578911849,60.90750436300175,5.837950674931153
Gemma 4 4B,Stochastic,as,3,191.0,91.0,3.605551275463989,0.4764397905759162,0.018877231808712005,0.5814188568016386,0.021918883620273527,75.33333333333333,4.93288286231625,39.44153577661431,2.5826611844587624
Gemma 4 4B,Stochastic,given,3,191.0,60.0,8.717797887081348,0.31413612565445026,0.045642920874771446,0.38327278177771823,0.054608311520249884,59.666666666666664,8.144527815247079,31.239092495636996,4.264150688611035
Gemma 4 4B,Stochastic,or,3,191.0,55.666666666666664,9.073771725877467,0.2914485165794066,0.04750665825066735,0.3555779919108069,0.0569370535275754,49.333333333333336,6.506407098647711,25.828970331588135,3.4064958631663407
Gemma 4 4B,Stochastic,with,3,191.0,54.0,2.0,0.28272251308900526,0.010471204188481645,0.3450206183677345,0.0122303312530081,49.666666666666664,2.5166114784235836,26.00349040139616,1.317597632682504
Gemma 4 4B,Stochastic,but,3,191.0,32.333333333333336,5.8594652770823155,0.1692844677137871,0.03067782867582364,0.2066573563980314,0.03802058976983714,31.0,5.291502622129181,16.230366492146597,2.7704202210100433
Gemma 4 4B,Stochastic,however,3,191.0,29.666666666666668,7.637626158259734,0.15532286212914484,0.039987571509213254,0.18958125809280144,0.04888959591077282,29.666666666666668,7.637626158259734,15.532286212914485,3.998757150921326
Gemma 4 4B,Stochastic,also,3,191.0,27.0,3.605551275463989,0.14136125654450263,0.018877231808711977,0.17254729663213927,0.02333361008066233,27.0,3.605551275463989,14.136125654450261,1.8877231808711983
Gemma 4 4B,Stochastic,later,3,191.0,25.0,2.0,0.13089005235602094,0.010471204188481678,0.15976445554498442,0.013265982910055247,25.0,2.0,13.089005235602095,1.0471204188481675
Gemma 4 4B,Stochastic,despite,3,191.0,23.0,4.58257569495584,0.12041884816753927,0.023992542905527957,0.14698342258324884,0.029492601407075793,22.666666666666668,4.163331998932265,11.867364746945901,2.1797549732629657
Gemma 4 4B,Stochastic,since,3,191.0,20.333333333333332,5.033222956847166,0.10645724258289703,0.026351952653650083,0.12998477793542043,0.03254001891241975,20.333333333333332,5.033222956847166,10.645724258289704,2.635195265365009
Gemma 4 4B,Stochastic,although,3,191.0,20.0,2.6457513110645907,0.10471204188481675,0.013852101105050215,0.12782229904538528,0.01724597977074267,20.0,2.6457513110645907,10.471204188481677,1.3852101105050216
Gemma 4 4B,Stochastic,furthermore,3,191.0,20.0,4.358898943540674,0.10471204188481675,0.022821460437385723,0.12774832414884127,0.0275139783281649,20.0,4.358898943540674,10.471204188481677,2.282146043738572
Gemma 4 4B,Stochastic,because,3,191.0,19.333333333333332,0.5773502691896263,0.10122164048865619,0.003022776278479721,0.12352501310652843,0.0033805544294631877,19.333333333333332,0.5773502691896263,10.122164048865619,0.3022776278479715
Gemma 4 4B,Stochastic,therefore,3,191.0,17.666666666666668,4.041451884327381,0.0924956369982548,0.02115943394935801,0.11293426836602259,0.026182476715904617,17.666666666666668,4.041451884327381,9.24956369982548,2.115943394935801
Gemma 4 4B,Stochastic,if,3,191.0,15.0,3.4641016151377544,0.07853403141361257,0.01813665767087829,0.09588375879662471,0.022433183330410975,14.0,3.4641016151377544,7.329842931937173,1.8136657670878298
Gemma 4 4B,Stochastic,then,3,191.0,14.666666666666666,2.516611478423583,0.07678883071553229,0.013175976326825047,0.09374533549696447,0.016355992233609663,13.666666666666666,2.0816659994661326,7.155322862129144,1.0898774866314829
Gemma 4 4B,Stochastic,specifically,3,191.0,12.0,1.0,0.06282722513089005,0.005235602094240839,0.07668008594425021,0.006482785432128924,12.0,1.0,6.282722513089006,0.5235602094240838
Gemma 4 4B,Greedy,and,1,191.0,422.0,,2.2094240837696337,,2.7143500353766,,176.0,,92.14659685863874,
Gemma 4 4B,Greedy,for,1,191.0,138.0,,0.7225130890052356,,0.8876310542226796,,111.0,,58.1151832460733,
Gemma 4 4B,Greedy,while,1,191.0,107.0,,0.5602094240837696,,0.6882356724770052,,105.0,,54.973821989528794,
Gemma 4 4B,Greedy,as,1,191.0,89.0,,0.46596858638743455,,0.5724577088827426,,74.0,,38.7434554973822,
Gemma 4 4B,Greedy,given,1,191.0,71.0,,0.3717277486910995,,0.4566797452884801,,71.0,,37.17277486910995,
Gemma 4 4B,Greedy,or,1,191.0,60.0,,0.31413612565445026,,0.3859265453142085,,55.0,,28.79581151832461,
Gemma 4 4B,Greedy,with,1,191.0,45.0,,0.2356020942408377,,0.2894449089856564,,42.0,,21.98952879581152,
Gemma 4 4B,Greedy,but,1,191.0,35.0,,0.18324607329842932,,0.22512381809995496,,35.0,,18.32460732984293,
Gemma 4 4B,Greedy,therefore,1,191.0,34.0,,0.17801047120418848,,0.21869170901138482,,34.0,,17.801047120418847,
Gemma 4 4B,Greedy,however,1,191.0,31.0,,0.16230366492146597,,0.1993953817456744,,31.0,,16.230366492146597,
Gemma 4 4B,Greedy,also,1,191.0,30.0,,0.15706806282722513,,0.19296327265710425,,30.0,,15.706806282722512,
Gemma 4 4B,Greedy,later,1,191.0,28.0,,0.14659685863874344,,0.180099054479964,,28.0,,14.659685863874346,
Gemma 4 4B,Greedy,since,1,191.0,25.0,,0.13089005235602094,,0.16080272721425357,,25.0,,13.089005235602095,
Gemma 4 4B,Greedy,if,1,191.0,25.0,,0.13089005235602094,,0.16080272721425357,,22.0,,11.518324607329843,
Gemma 4 4B,Greedy,furthermore,1,191.0,20.0,,0.10471204188481675,,0.12864218177140285,,20.0,,10.471204188481675,
Gemma 4 4B,Greedy,despite,1,191.0,19.0,,0.09947643979057591,,0.1222100726828327,,19.0,,9.947643979057592,
Gemma 4 4B,Greedy,then,1,191.0,17.0,,0.08900523560209424,,0.10934585450569241,,16.0,,8.37696335078534,
Gemma 4 4B,Greedy,although,1,191.0,16.0,,0.08376963350785341,,0.10291374541712227,,16.0,,8.37696335078534,
Gemma 4 4B,Greedy,specifically,1,191.0,13.0,,0.06806282722513089,,0.08361741815141185,,13.0,,6.806282722513089,
Gemma 4 4B,Greedy,because,1,191.0,11.0,,0.05759162303664921,,0.07075319997427157,,11.0,,5.7591623036649215,
