game_id,run_1,run_2,run_3,greedy_t0,n_unique_votes,all_same,agreement_type,vote_pattern
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,Elliot,Ashley,James,James,3,False,all_different,Elliot | Ashley | James
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game2,Jessica,Kevin,Kaelan,No Werewolf,3,False,all_different,Jessica | Kevin | Kaelan
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game8,Jessica,Kevin,No Werewolf,No Werewolf,3,False,all_different,Jessica | Kevin | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game7,Justin,Caitlynn,No Werewolf,Justin,3,False,all_different,Justin | Caitlynn | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game1,Justin,Julie,No Werewolf,Mike,3,False,all_different,Justin | Julie | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game4,Justin,Mike,No Werewolf,No Werewolf,3,False,all_different,Justin | Mike | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game6,Justin,Mitchell,Mike,Mike,3,False,all_different,Justin | Mitchell | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game1,Justin,Paul,Mitchell,Justin,3,False,all_different,Justin | Paul | Mitchell
Youtube / One#Night#Ultimate#Werewolf#493#Even#More#Classic#Werewolf / Game1,Katie,Pete,Brett,Katie,3,False,all_different,Katie | Pete | Brett
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game8,Mike,Mitchell,James,James,3,False,all_different,Mike | Mitchell | James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game3,Mike,No Werewolf,Alana,No Werewolf,3,False,all_different,Mike | No Werewolf | Alana
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game3,Mitchell,Justin,Paul,Justin,3,False,all_different,Mitchell | Justin | Paul
Youtube / One#Night#Ultimate#Werewolf#382#Game#100!! / Game1,No Werewolf,Dylan,Dustin,Dustin,3,False,all_different,No Werewolf | Dylan | Dustin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game2,No Werewolf,Mitchell,Justin,No Werewolf,3,False,all_different,No Werewolf | Mitchell | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game8,Paul,No Werewolf,Mitchell,Mitchell,3,False,all_different,Paul | No Werewolf | Mitchell
Youtube / One#Night#Ultimate#Werewolf#492#More#Classic#Werewolf / Game1,Pete,No Werewolf,Brett,No Werewolf,3,False,all_different,Pete | No Werewolf | Brett
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game3,Sukeshi,James,Chris,James,3,False,all_different,Sukeshi | James | Chris
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game1,Alana,Caitlynn,Caitlynn,No Werewolf,2,False,two_vs_one,Alana | Caitlynn | Caitlynn
Youtube / One#Night#Ultimate#Werewolf#2#The#Drunk / Game1,Audrey,Audrey,Dylan,Audrey,2,False,two_vs_one,Audrey | Audrey | Dylan
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game2,Caitlynn,Caitlynn,Mitchell,Caitlynn,2,False,two_vs_one,Caitlynn | Caitlynn | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game1,Caitlynn,Justin,Caitlynn,Justin,2,False,two_vs_one,Caitlynn | Justin | Caitlynn
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game4,Caitlynn,No Werewolf,Caitlynn,Caitlynn,2,False,two_vs_one,Caitlynn | No Werewolf | Caitlynn
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,Clint,Clint,Tyler,Clint,2,False,two_vs_one,Clint | Clint | Tyler
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game8,Dan,Dan,Justin,Dan,2,False,two_vs_one,Dan | Dan | Justin
