game_id,run_1,run_2,run_3,greedy_t0,stochastic_majority_vote,has_stochastic_majority,stochastic_majority_correct,agreement_type,greedy_vote,greedy_in_stochastic_vote_set,greedy_matches_stochastic_majority,greedy_correct
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,Erin,Erin,Erin,Erin,Erin,True,False,unanimous,Erin,True,True,False
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,No Werewolf,No Werewolf,Sebastian,No Werewolf,No Werewolf,True,False,two_vs_one,No Werewolf,True,True,False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,Sukeshi,Sukeshi,Ashley,Elliot,Sukeshi,True,True,two_vs_one,Elliot,False,False,False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,Chris,Chris,Chris,Chris,Chris,True,True,unanimous,Chris,True,True,True
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,Elliot,Elliot,James,Elliot,Elliot,True,True,two_vs_one,Elliot,True,True,True
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,Sian,Sukeshi,Sukeshi,Sukeshi,Sukeshi,True,False,two_vs_one,Sukeshi,True,True,False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,Sian,No Werewolf,Sian,Sian,Sian,True,False,two_vs_one,Sian,True,True,False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,Elliot,Ashley,James,James,,False,,all_different,James,True,False,False
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,Sean,Sean,Sean,Sean,Sean,True,True,unanimous,Sean,True,True,True
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,Hunter,Hunter,Hunter,Jacob,Hunter,True,False,unanimous,Jacob,False,False,False
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,Hunter,Hunter,Hunter,Hunter,Hunter,True,False,unanimous,Hunter,True,True,False
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,Sean,Sean,Zack,Sean,Sean,True,True,two_vs_one,Sean,True,True,True
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,Zack,Zack,Zack,Zack,Zack,True,True,unanimous,Zack,True,True,True
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game9,Sean,Zack,Sean,Zack,Sean,True,False,two_vs_one,Zack,True,False,True
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game10,Tyler,Tyler,Tyler,Tyler,Tyler,True,True,unanimous,Tyler,True,True,True
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,Clint,Clint,Tyler,Clint,Clint,True,True,two_vs_one,Clint,True,True,True
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game7,No Werewolf,Erin,No Werewolf,Erin,No Werewolf,True,False,two_vs_one,Erin,True,False,False
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game8,Tyler,Erin,Erin,Erin,Erin,True,False,two_vs_one,Erin,True,True,False
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game9,Tyler,Tyler,Tyler,Clint,Tyler,True,True,unanimous,Clint,False,False,False
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game1,Hunter,Hunter,No Werewolf,No Werewolf,Hunter,True,True,two_vs_one,No Werewolf,True,False,False
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game2,Hunter,Hunter,Hunter,Hunter,Hunter,True,False,unanimous,Hunter,True,True,False
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game3,No Werewolf,No Werewolf,Sean,Sean,No Werewolf,True,False,two_vs_one,Sean,True,False,False
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game4,Jacob,Zack,Jacob,No Werewolf,Jacob,True,True,two_vs_one,No Werewolf,False,False,False
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game5,Jacob,Jacob,Jacob,Jacob,Jacob,True,True,unanimous,Jacob,True,True,True
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game1,No Werewolf,No Werewolf,Jessica,Jessica,No Werewolf,True,False,two_vs_one,Jessica,True,False,False
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game2,Jessica,Kevin,Kaelan,No Werewolf,,False,,all_different,No Werewolf,False,False,True
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game3,Jessica,Jessica,Jessica,Jessica,Jessica,True,True,unanimous,Jessica,True,True,True
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game4,Daniel,Daniel,Daniel,Daniel,Daniel,True,False,unanimous,Daniel,True,True,False
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game5,Daniel,Daniel,Daniel,Daniel,Daniel,True,False,unanimous,Daniel,True,True,False
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game6,No Werewolf,No Werewolf,No Werewolf,No Werewolf,No Werewolf,True,True,unanimous,No Werewolf,True,True,True
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game10,Daniel,No Werewolf,No Werewolf,No Werewolf,No Werewolf,True,False,two_vs_one,No Werewolf,True,True,False
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game11,Kaelan,Kaelan,Kaelan,Kaelan,Kaelan,True,False,unanimous,Kaelan,True,True,False
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game12,No Werewolf,No Werewolf,No Werewolf,No Werewolf,No Werewolf,True,True,unanimous,No Werewolf,True,True,True
