game_id,game_name,source,session_name,game_key,processed_txt_path,num_players,num_turns,num_unparsed_lines,num_dropped_lines,player_names,start_roles,end_roles,has_werewolf,n_werewolves,correct_player_indices,correct_player_names,correct_vote_type,voting_outcome,human_vote_available,human_vote_type,human_target_indices,human_target_names,human_vote_counts,n_missing_human_votes,warning
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game1,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9_Game1,Youtube,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game1,data/processed/lai2023/onuw_transcripts_ready/Youtube/Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9_Game1.txt,5,112,0,0,"[""Justin"", ""Laura"", ""Paul"", ""James"", ""Mitchell""]","[""Werewolf"", ""Villager"", ""Villager"", ""Robber"", ""Insomniac""]","[""Werewolf"", ""Villager"", ""Robber"", ""Villager"", ""Insomniac""]",True,1,[0],"[""Justin""]",player,"[2, 2, 4, 4, 0]",True,player,"[2, 4]","[""Paul"", ""Mitchell""]","{""2"": 2, ""4"": 2, ""0"": 1}",0,[]
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game2,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9_Game2,Youtube,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game2,data/processed/lai2023/onuw_transcripts_ready/Youtube/Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9_Game2.txt,5,157,0,0,"[""Justin"", ""Laura"", ""Paul"", ""James"", ""Mitchell""]","[""Troublemaker"", ""Werewolf"", ""Villager"", ""Villager"", ""Seer""]","[""Troublemaker"", ""Werewolf"", ""Seer"", ""Villager"", ""Villager""]",True,1,[1],"[""Laura""]",player,"[3, 3, 3, 4, 3]",True,player,[3],"[""James""]","{""3"": 4, ""4"": 1}",0,[]
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game3,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9_Game3,Youtube,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game3,data/processed/lai2023/onuw_transcripts_ready/Youtube/Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9_Game3.txt,5,79,0,0,"[""Justin"", ""Laura"", ""Paul"", ""James"", ""Mitchell""]","[""Troublemaker"", ""Seer"", ""Werewolf"", ""Villager"", ""Robber""]","[""Troublemaker"", ""Villager"", ""Robber"", ""Seer"", ""Werewolf""]",True,1,[4],"[""Mitchell""]",player,"[1, 2, 3, 0, 0]",True,player,[0],"[""Justin""]","{""1"": 1, ""2"": 1, ""3"": 1, ""0"": 2}",0,[]
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game4,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9_Game4,Youtube,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game4,data/processed/lai2023/onuw_transcripts_ready/Youtube/Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9_Game4.txt,5,148,0,0,"[""Justin"", ""Laura"", ""Paul"", ""James"", ""Mitchell""]","[""Troublemaker"", ""Villager"", ""Robber"", ""Seer"", ""Villager""]","[""Troublemaker"", ""Villager"", ""Villager"", ""Seer"", ""Robber""]",False,0,[],[],circle,"[1, 2, 1, 1, 0]",True,player,[1],"[""Laura""]","{""1"": 3, ""2"": 1, ""0"": 1}",0,"[""No 'Werewolf' role in end roles""]"
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game5,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9_Game5,Youtube,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game5,data/processed/lai2023/onuw_transcripts_ready/Youtube/Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9_Game5.txt,5,85,0,0,"[""Justin"", ""Laura"", ""Paul"", ""James"", ""Mitchell""]","[""Insomniac"", ""Werewolf"", ""Werewolf"", ""Seer"", ""Villager""]","[""Insomniac"", ""Werewolf"", ""Werewolf"", ""Seer"", ""Villager""]",True,2,"[1, 2]","[""Laura"", ""Paul""]",player,"[4, 4, 4, 4, 0]",True,player,[4],"[""Mitchell""]","{""4"": 4, ""0"": 1}",0,[]
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game2,One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF_Game2,Youtube,One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF,Game2,data/processed/lai2023/onuw_transcripts_ready/Youtube/One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF_Game2.txt,4,131,0,0,"[""Justin"", ""Mitchell"", ""Paul"", ""Tyler""]","[""Troublemaker"", ""Werewolf"", ""Werewolf"", ""Seer""]","[""Troublemaker"", ""Werewolf"", ""Werewolf"", ""Seer""]",True,2,"[1, 2]","[""Mitchell"", ""Paul""]",player,"[1, 0, 0, 1]",True,player,"[1, 0]","[""Mitchell"", ""Justin""]","{""1"": 2, ""0"": 2}",0,[]
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game3,One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF_Game3,Youtube,One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF,Game3,data/processed/lai2023/onuw_transcripts_ready/Youtube/One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF_Game3.txt,4,111,0,0,"[""Justin"", ""Mitchell"", ""Paul"", ""Tyler""]","[""Werewolf"", ""Drunk"", ""Troublemaker"", ""Werewolf""]","[""Werewolf"", ""Seer"", ""Troublemaker"", ""Werewolf""]",True,2,"[0, 3]","[""Justin"", ""Tyler""]",player,"[2, 0, 0, 2]",True,player,"[2, 0]","[""Paul"", ""Justin""]","{""2"": 2, ""0"": 2}",0,[]
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game7,One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF_Game7,Youtube,One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF,Game7,data/processed/lai2023/onuw_transcripts_ready/Youtube/One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF_Game7.txt,4,112,0,0,"[""Justin"", ""Mitchell"", ""Paul"", ""Tyler""]","[""Werewolf"", ""Drunk"", ""Troublemaker"", ""Seer""]","[""Werewolf"", ""Tanner"", ""Troublemaker"", ""Drunk""]",True,1,[0],"[""Justin""]",player,"[2, 0, 0, 0]",True,player,[0],"[""Justin""]","{""2"": 1, ""0"": 3}",0,[]
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game1,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1_Game1,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game1,data/processed/lai2023/onuw_transcripts_ready/Youtube/ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1_Game1.txt,4,61,0,0,"[""Justin"", ""Alvin"", ""James"", ""Mitchell""]","[""Robber"", ""Villager"", ""Villager"", ""Werewolf""]","[""Villager"", ""Villager"", ""Robber"", ""Werewolf""]",True,1,[3],"[""Mitchell""]",player,"[3, 3, 3, ""N/A""]",True,player,[3],"[""Mitchell""]","{""3"": 3}",1,[]
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game10,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1_Game10,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game10,data/processed/lai2023/onuw_transcripts_ready/Youtube/ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1_Game10.txt,4,403,0,0,"[""Justin"", ""Alvin"", ""James"", ""Mitchell""]","[""Werewolf"", ""Seer"", ""Tanner"", ""Robber""]","[""Robber"", ""Seer"", ""Tanner"", ""Werewolf""]",True,1,[3],"[""Mitchell""]",player,"[3, 3, 3, 0]",True,player,[3],"[""Mitchell""]","{""3"": 3, ""0"": 1}",0,[]
