game_id,run_1,run_2,run_3,at_least_one_stochastic_correct,all_stochastic_correct
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,False,False,False,False,False
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,False,False,False,False,False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,True,True,True,True,True
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,True,True,True,True,True
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,True,True,False,True,False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,False,False,False,False,False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,False,False,False,False,False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,False,False,False,False,False
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,True,True,True,True,True
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,False,False,False,False,False
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,False,False,False,False,False
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,True,True,False,True,False
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,True,True,True,True,True
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game9,False,True,False,True,False
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game10,True,True,True,True,True
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,True,True,True,True,True
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game7,False,False,False,False,False
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game8,True,False,False,True,False
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game9,True,True,True,True,True
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game1,True,True,False,True,False
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game2,False,False,False,False,False
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game3,False,False,False,False,False
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game4,True,False,True,True,False
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game5,True,True,True,True,True
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game1,False,False,False,False,False
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game2,False,False,False,False,False
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game3,True,True,True,True,True
