source,session,game,player,roles_claimed,n_distinct_roles_claimed_self,is_in_role_conflict,n_conflicting_claimants,conflicting_roles,is_self_contradiction
Ego4D,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game1,Brent,"[""Seer""]",1,False,0,[],False
Ego4D,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game1,Erin,"[""Werewolf""]",1,False,0,[],False
Ego4D,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game1,Hailey,"[""Troublemaker""]",1,False,0,[],False
Ego4D,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game1,Sebastian,"[""Robber""]",1,False,0,[],False
Ego4D,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game2,Brent,"[""Villager""]",1,True,2,"[""Villager""]",False
Ego4D,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game2,Hailey,"[""Villager""]",1,True,2,"[""Villager""]",False
Ego4D,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game2,Jack,"[""Troublemaker"", ""Villager""]",2,True,2,"[""Villager""]",False
Ego4D,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game2,Sebastian,"[""Robber""]",1,False,0,[],False
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game4,Ashley,"[""Werewolf""]",1,False,0,[],False
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game4,Chris,"[""Seer""]",1,False,0,[],False
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game4,Elliot,"[""Hunter"", ""Robber""]",2,False,0,[],True
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game4,James,"[""Insomniac""]",1,False,0,[],False
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game5,Elliot,"[""Seer"", ""Tanner""]",2,False,0,[],True
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game5,James,"[""Doppelg\u00e4nger"", ""Insomniac""]",2,True,1,"[""Insomniac""]",True
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game5,Sukeshi,"[""Insomniac""]",1,True,1,"[""Insomniac""]",False
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game6,Ashley,"[""Seer""]",1,True,1,"[""Seer""]",False
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game6,Chris,"[""Hunter""]",1,True,2,"[""Hunter""]",False
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game6,Elliot,"[""Doppelganger"", ""Insomniac""]",2,False,0,[],True
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game6,James,"[""Troublemaker""]",1,False,0,[],False
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game6,Sian,"[""Hunter""]",1,True,2,"[""Hunter""]",False
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game6,Sukeshi,"[""Hunter"", ""Robber"", ""Seer""]",3,True,3,"[""Hunter"", ""Seer""]",True
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game7,Chris,"[""Troublemaker""]",1,False,0,[],False
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game7,James,"[""Doppelganger"", ""Robber"", ""Seer""]",3,True,2,"[""Seer""]",True
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game7,Sian,"[""Seer""]",1,True,2,"[""Seer""]",False
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game7,Sukeshi,"[""Seer"", ""Werewolf""]",2,True,2,"[""Seer""]",True
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game8,Ashley,"[""Robber""]",1,False,0,[],False
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game8,Chris,"[""Doppelganger"", ""Hunter""]",2,True,1,"[""Doppelganger""]",True
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game8,Elliot,"[""Troublemaker""]",1,False,0,[],False
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game8,James,"[""Doppelganger""]",1,True,1,"[""Doppelganger""]",False
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game8,Sukeshi,"[""Seer""]",1,False,0,[],False
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game9,Chris,"[""Villager""]",1,True,2,"[""Villager""]",False
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game9,Elliot,"[""Villager""]",1,True,2,"[""Villager""]",False
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game9,James,"[""Robber""]",1,False,0,[],False
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game9,Sian,"[""Seer""]",1,False,0,[],False
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game9,Sukeshi,"[""Villager""]",1,True,2,"[""Villager""]",False
Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game10,Hunter,"[""Troublemaker""]",1,False,0,[],False
Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game10,Jacob,"[""Drunk""]",1,False,0,[],False
Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game10,Sean,"[""Tanner"", ""Villager""]",2,False,0,[],True
Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game10,Zack,"[""Seer""]",1,False,0,[],False
Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game11,Jacob,"[""Drunk""]",1,True,1,"[""Drunk""]",False
