source,session,game,role,players,line_numbers,n_players
Ego4D,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game2,Villager,"[""Brent"", ""Hailey"", ""Jack""]","[62, 64, 74, 80, 138]",3
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game5,Insomniac,"[""James"", ""Sukeshi""]","[67, 76]",2
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game6,Hunter,"[""Chris"", ""Sian"", ""Sukeshi""]","[45, 46, 61, 66, 86, 101, 128]",3
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game6,Seer,"[""Ashley"", ""Sukeshi""]","[52, 88]",2
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game7,Seer,"[""James"", ""Sian"", ""Sukeshi""]","[27, 35, 65, 82, 88]",3
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game8,Doppelganger,"[""Chris"", ""James""]","[45, 70, 74, 128, 135]",2
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game9,Villager,"[""Chris"", ""Elliot"", ""Sukeshi""]","[21, 22, 59, 62, 64, 67, 71, 75, 80, 94]",3
Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game11,Drunk,"[""Jacob"", ""Zack""]","[12, 14, 16, 18, 111, 126]",2
Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game6,Villager,"[""Hunter"", ""Sean""]","[69, 94]",2
Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game8,Troublemaker,"[""Hunter"", ""Sean"", ""Zack""]","[55, 56, 59, 63]",3
Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game9,Villager,"[""Hunter"", ""Jacob"", ""Sean""]","[30, 34, 83, 86, 106, 126]",3
Ego4D,2ba4023c-a8bf-43ad-ad5a-80ba222ce990,Game7,Insomniac,"[""Margaret"", ""Tyler""]","[49, 86]",2
Ego4D,2ba4023c-a8bf-43ad-ad5a-80ba222ce990,Game7,Robber,"[""Margaret"", ""Tyler""]","[49, 52]",2
Ego4D,2ba4023c-a8bf-43ad-ad5a-80ba222ce990,Game8,Insomniac,"[""Clint"", ""Tyler""]","[34, 60, 66]",2
Ego4D,324bccd2-adff-4e9a-8ff4-03491e144ac3,Game1,Robber,"[""Hunter"", ""Sean""]","[98, 140, 145]",2
Ego4D,324bccd2-adff-4e9a-8ff4-03491e144ac3,Game1,Troublemaker,"[""Hunter"", ""Zack""]","[115, 140]",2
Ego4D,324bccd2-adff-4e9a-8ff4-03491e144ac3,Game5,Villager,"[""Jacob"", ""Zack""]","[91, 144, 148, 172]",2
Ego4D,324bccd2-adff-4e9a-8ff4-03491e144ac3,Game5,Werewolf,"[""Jacob"", ""Zack""]","[37, 78, 181]",2
Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,Game1,Robber,"[""Kaelan"", ""Kevin""]","[7, 9, 49]",2
Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,Game1,Troublemaker,"[""Kaelan"", ""Kevin""]","[2, 4, 9]",2
Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,Game2,Minion,"[""Jessica"", ""Kaelan""]","[10, 12, 18, 25, 26, 40, 43]",2
Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,Game3,Minion,"[""Danieal"", ""Kevin""]","[19, 21, 41, 43]",2
Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,Game3,Troublemaker,"[""Jessica"", ""Kaelan""]","[2, 4, 11]",2
Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,Game4,Robber,"[""Danieal"", ""Jessica""]","[5, 9, 15]",2
Ego4D,62c4bc58-3776-4791-ac30-4c9ca5619503,Game8,Drunk,"[""Danieal"", ""Kaelan""]","[4, 5, 7, 36]",2
Ego4D,64076f60-f3fc-4ee6-93e1-3489d8ec7b12,Game3,Robber,"[""Hailey"", ""Jack""]","[37, 92]",2
Ego4D,64076f60-f3fc-4ee6-93e1-3489d8ec7b12,Game3,Troublemaker,"[""Erin"", ""Jack""]","[43, 99, 116]",2
Ego4D,698f6bbe-4347-4a06-bd5d-3482f5e4fbbe,Game1,Robber,"[""Elliot"", ""James""]","[111, 160, 224]",2
Ego4D,698f6bbe-4347-4a06-bd5d-3482f5e4fbbe,Game2,Hunter,"[""James"", ""Sian""]","[35, 107, 114, 116, 240]",2
Ego4D,698f6bbe-4347-4a06-bd5d-3482f5e4fbbe,Game2,Villager,"[""Chris"", ""Elliot""]","[29, 40, 86, 147]",2
Ego4D,698f6bbe-4347-4a06-bd5d-3482f5e4fbbe,Game3,Hunter,"[""Chris"", ""Elliot""]","[52, 56, 69]",2
Youtube,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game1,Insomniac,"[""Justin"", ""Mitchell""]","[12, 82, 107]",2
Youtube,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game1,Villager,"[""Laura"", ""Paul""]","[11, 13, 39]",2
Youtube,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game2,Villager,"[""James"", ""Justin"", ""Laura""]","[55, 56, 134, 154]",3
Youtube,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game4,Seer,"[""James"", ""Justin""]","[28, 68]",2
Youtube,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game4,Villager,"[""Laura"", ""Mitchell"", ""Paul""]","[27, 45, 112, 113, 122, 132]",3
Youtube,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game5,Villager,"[""Mitchell"", ""Paul""]","[6, 7, 58]",2
Youtube,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game5,Werewolf,"[""Justin"", ""Laura"", ""Mitchell""]","[53, 59, 71]",3
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game10,Robber,"[""James"", ""Justin"", ""Mitchell""]","[315, 322, 332, 339, 340, 342, 349]",3
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game10,Seer,"[""Alvin"", ""Justin"", ""Mitchell""]","[40, 41, 313, 322]",3
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game2,Villager,"[""Alvin"", ""James"", ""Mitchell""]","[21, 22, 30, 54, 55]",3
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game3,Villager,"[""James"", ""Justin"", ""Mitchell""]","[28, 30, 38, 80]",3
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game4,Villager,"[""Alvin"", ""James"", ""Mitchell""]","[23, 25, 27, 50, 69, 72, 78, 79, 80]",3
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game6,Villager,"[""James"", ""Mitchell""]","[22, 96]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game7,Robber,"[""Alvin"", ""Mitchell""]","[27, 28]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game8,Robber,"[""Alvin"", ""Justin""]","[28, 75, 89, 92, 94]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game8,Villager,"[""James"", ""Justin""]","[19, 77]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game9,Seer,"[""Justin"", ""Mitchell""]","[36, 37]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game1,Robber,"[""Dan"", ""Justin""]","[15, 26]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game3,Villager,"[""Caitlynn"", ""Dan""]","[40, 57]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game4,Villager,"[""Justin"", ""Mitchell""]","[24, 42, 66, 70]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game5,Villager,"[""Mike"", ""Mitchell""]","[14, 15]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game6,Werewolf,"[""Dan"", ""Justin""]","[102, 114]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game7,Seer,"[""Dan"", ""Justin""]","[109, 110]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game7,Villager,"[""Dan"", ""Mike""]","[47, 50, 100]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game8,Robber,"[""Justin"", ""Mitchell""]","[44, 97]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game2,Villager,"[""James"", ""Justin"", ""Mike""]","[32, 47, 52, 96]",3
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game4,Villager,"[""James"", ""Justin"", ""Mike""]","[39, 105, 106, 107]",3
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game6,Tanner,"[""Justin"", ""Mitchell""]","[93, 123]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game6,Troublemaker,"[""James"", ""Justin""]","[35, 38, 39, 40, 87, 88, 98]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game7,Tanner,"[""James"", ""Mitchell""]","[22, 23, 43, 50, 58, 71]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game10,Seer,"[""Justin"", ""Mike""]","[40, 45, 65, 82]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game11,Insomniac,"[""Caitlynn"", ""Mitchell""]","[14, 46, 92]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game11,Minion,"[""Caitlynn"", ""Mitchell""]","[14, 40, 48, 54, 86]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game3,Seer,"[""James"", ""Mike"", ""Mitchell""]","[8, 9, 10]",3
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game4,Seer,"[""Justin"", ""Mike""]","[35, 49]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game9,Drunk,"[""Caitlynn"", ""James""]","[31, 33, 49, 115]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5,Game2,Werewolf,"[""Justin"", ""Mitchell""]","[33, 72, 75, 77, 78, 80, 82, 85, 88, 91, 94]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through,Game1,Hunter,"[""Jordan"", ""Sarah""]","[106, 109, 119]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through,Game1,Seer,"[""Meryl"", ""Sarah""]","[22, 56]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through,Game2,Minion,"[""Jordan"", ""Sarah""]","[14, 68]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through,Game2,Robber,"[""Jordan"", ""Sarah""]","[24, 27, 29, 35, 54, 55, 57]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through,Game2,Seer,"[""Jordan"", ""Robin""]","[15, 17, 25, 39, 70, 78]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#1##July#5th#2016,Game2,Drunk,"[""Justin"", ""Mitchell""]","[11, 24, 58]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#1##July#5th#2016,Game2,Insomniac,"[""Alban"", ""Julie""]","[32, 36]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#1##July#5th#2016,Game2,Revealer,"[""Justin"", ""Mike""]","[29, 60]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017,Game2,Robber,"[""Mike"", ""Mitchell""]","[29, 90, 105, 113]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017,Game2,Troublemaker,"[""Julie"", ""Justin"", ""Mitchell""]","[14, 63, 70, 111]",3
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018,Game1,Seer,"[""Alysha"", ""Paul""]","[89, 96]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018,Game1,Troublemaker,"[""Alysha"", ""Justin""]","[37, 60, 96]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018,Game2,Drunk,"[""Mike"", ""Paul""]","[61, 126, 169, 171, 176]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018,Game2,Seer,"[""Alysha"", ""Justin"", ""Mike""]","[34, 53, 55, 125, 126]",3
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018,Game3,Troublemaker,"[""Justin"", ""Mike""]","[49, 50, 66, 94]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018,Game4,Seer,"[""James"", ""Mike""]","[38, 45, 101]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#39##April#21st#2018,Game3,Seer,"[""Justin"", ""Mike""]","[62, 69, 70, 126]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016,Game1,Drunk,"[""Justin"", ""Mitchell""]","[29, 68, 70, 72, 76, 148]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016,Game1,Robber,"[""Justin"", ""Paul""]","[43, 136]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016,Game2,Drunk,"[""Justin"", ""Mitchell""]","[25, 33]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016,Game3,Drunk,"[""Justin"", ""Paul""]","[20, 94, 96]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018,Game4,Troublemaker,"[""Justin"", ""Paul""]","[8, 9]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018,Game2,Tanner,"[""Justin"", ""Mitchell""]","[51, 57]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#5##October#29th#2016,Game1,Seer,"[""Chris"", ""Mike""]","[27, 51, 64, 95]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#5##October#29th#2016,Game1,Werewolf,"[""Chris"", ""Mike""]","[75, 80, 95]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016,Game1,Werewolf,"[""Caitlynn"", ""Mike""]","[49, 56]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019,Game1,Robber,"[""Justin"", ""Paul""]","[52, 93]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019,Game1,Seer,"[""James"", ""Paul""]","[165, 178]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019,Game3,Werewolf,"[""James"", ""Justin"", ""Mitchell""]","[111, 120, 123, 132, 145]",3
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019,Game5,Werewolf,"[""James"", ""Justin""]","[71, 79, 110]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016,Game1,Troublemaker,"[""Alana"", ""Mitchell""]","[16, 17]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016,Game3,Tanner,"[""Mike"", ""Mitchell""]","[83, 89, 98, 108, 139]",2
