source,session,game,player,is_self_contradiction,claim_line_numbers,claim_sets
Ego4D,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game1,Erin,False,"[64, 67]","[[""Werewolf""], [""Werewolf""]]"
Ego4D,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game2,Brent,False,"[62, 74]","[[""Villager""], [""Villager""]]"
Ego4D,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game2,Hailey,False,"[64, 138]","[[""Villager""], [""Villager""]]"
Ego4D,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game2,Jack,False,"[75, 80]","[[""Troublemaker""], [""Troublemaker"", ""Villager""]]"
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game4,Ashley,False,"[136, 140]","[[""Werewolf""], [""Werewolf""]]"
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game4,Elliot,True,"[68, 196]","[[""Hunter""], [""Robber""]]"
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game4,James,False,"[33, 36]","[[""Insomniac""], [""Insomniac""]]"
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game5,Elliot,True,"[99, 150]","[[""Seer""], [""Tanner""]]"
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game5,James,True,"[74, 76, 78, 129]","[[""Doppelg\u00e4nger""], [""Insomniac""], [""Doppelg\u00e4nger""], [""Doppelg\u00e4nger""]]"
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game6,Chris,False,"[46, 61, 66, 128]","[[""Hunter""], [""Hunter""], [""Hunter""], [""Hunter""]]"
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game6,Elliot,True,"[25, 28, 157]","[[""Doppelganger"", ""Insomniac""], [""Insomniac""], [""Doppelganger""]]"
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game6,Sian,False,"[45, 86]","[[""Hunter""], [""Hunter""]]"
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game6,Sukeshi,True,"[83, 88, 101]","[[""Robber""], [""Robber"", ""Seer""], [""Hunter""]]"
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game7,Chris,False,"[54, 101]","[[""Troublemaker""], [""Troublemaker""]]"
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game7,James,True,"[65, 73, 82]","[[""Doppelganger"", ""Robber"", ""Seer""], [""Doppelganger""], [""Seer""]]"
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game7,Sukeshi,True,"[27, 35, 48]","[[""Seer""], [""Seer""], [""Werewolf""]]"
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game8,Ashley,False,"[24, 44, 63]","[[""Robber""], [""Robber""], [""Robber""]]"
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game8,Chris,True,"[36, 45, 70, 74]","[[""Hunter""], [""Doppelganger""], [""Doppelganger""], [""Doppelganger""]]"
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game8,James,False,"[128, 135]","[[""Doppelganger""], [""Doppelganger""]]"
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game8,Sukeshi,False,"[77, 92]","[[""Seer""], [""Seer""]]"
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game9,Chris,False,"[22, 75]","[[""Villager""], [""Villager""]]"
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game9,Elliot,False,"[59, 71, 94]","[[""Villager""], [""Villager""], [""Villager""]]"
Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game9,Sukeshi,False,"[21, 62, 64, 67, 80]","[[""Villager""], [""Villager""], [""Villager""], [""Villager""], [""Villager""]]"
