feature,coef
candidate_Call for Action,0.14011373930954998
voter_No Strategy,0.1221782532374215
candidate_Defense,0.11399303546413478
candidate_No Strategy,0.11041047005044821
candidate_Identity Declaration,0.10343168643524918
voter_Interrogation,0.09537299250768254
voter_Accusation,0.08633373255803231
voter_Evidence,0.07764269184748342
candidate_Interrogation,0.06519647658210175
voter_Defense,0.02534728080463442
voter_Call for Action,0.015007984684628576
voter_Identity Declaration,-0.020572069862835378
candidate_Accusation,-0.0533603844387875
candidate_Evidence,-0.0945256498068826
