feature,coef
candidate_werewolf_count,0.34038865776431465
candidate_Call for Action,0.14145235572310227
candidate_deception_count,0.12041389141202871
candidate_n_distinct_roles_claimed_self,0.08492463796949767
voter_No Strategy,0.08071260894932598
voter_Evidence,0.07462451036134765
candidate_claims_werewolf,0.06561258776360816
voter_Interrogation,0.0649253772200733
candidate_No Strategy,0.06276008511246416
voter_Defense,0.05534211592259186
voter_claims_werewolf,0.04434816396718253
candidate_Interrogation,0.02632619819852585
voter_Call for Action,0.01964820763030188
candidate_Defense,0.0181525092762671
voter_claims_info_role,0.01648931972362766
voter_n_distinct_roles_claimed_self,-0.012987003037219695
candidate_Identity Declaration,-0.015768750577250093
voter_Identity Declaration,-0.01638845835668432
voter_deception_count,-0.021189953414968016
voter_Accusation,-0.030388429949235827
candidate_Accusation,-0.050710235146666005
candidate_Evidence,-0.057247807831192654
candidate_claims_info_role,-0.06411469727275819
voter_werewolf_count,-0.07997414948230329
