feature,coef
candidate_late_Call for Action,0.8460448583385488
candidate_early_Interrogation,0.374611420210091
candidate_early_No Strategy,0.33549012085491414
candidate_early_Defense,0.2933138540757883
voter_late_Interrogation,0.25693893076572816
candidate_early_Identity Declaration,0.21880759340542244
candidate_late_Defense,0.2111223437231286
voter_late_Evidence,0.19746749004689543
voter_early_Accusation,0.19142234452508688
voter_early_Interrogation,0.1618978343194682
candidate_late_Identity Declaration,0.153631795664952
voter_late_No Strategy,0.11216625150456422
voter_late_Accusation,0.11056290470210546
voter_early_No Strategy,0.09983443973573149
voter_early_Call for Action,0.061869497225371585
voter_early_Defense,0.02016344771708676
voter_early_Evidence,-0.0037272015207432826
voter_late_Call for Action,-0.0308478893394418
voter_late_Defense,-0.03482948274753468
candidate_late_Interrogation,-0.10898394121063583
candidate_early_Accusation,-0.1154835742948254
candidate_late_No Strategy,-0.12560607374885152
candidate_early_Call for Action,-0.1393958462506867
voter_early_Identity Declaration,-0.1421923846914213
voter_late_Identity Declaration,-0.15015237506046097
candidate_late_Accusation,-0.2863326479314829
candidate_late_Evidence,-0.31591800453029295
candidate_early_Evidence,-0.4749825427820144
