entry_id,marker,structure,n_components,components,n_orthographic_variants,n_relation_senses,has_relation_information,declared_discontinuous,usable,exclusion_reason
1,once,contiguous,1,,3,7,True,False,True,
2,although,contiguous,1,,2,8,True,False,True,
3,though,contiguous,1,,2,23,True,False,True,
4,but,contiguous,1,,2,18,True,False,True,
5,because,contiguous,1,,2,5,True,False,True,
6,nevertheless,contiguous,1,,2,6,True,False,True,
7,before,contiguous,1,,2,5,True,False,True,
8,for example,contiguous,1,,2,2,True,False,True,
9,until,contiguous,1,,2,8,True,False,True,
10,if,contiguous,1,,3,25,True,False,True,
11,previously,contiguous,1,,2,2,True,False,True,
12,when,contiguous,1,,3,24,True,False,True,
13,and,contiguous,1,,2,16,True,False,True,
14,so,contiguous,1,,2,5,True,False,True,
15,then,contiguous,1,,2,13,True,False,True,
16,while,contiguous,1,,2,14,True,False,True,
17,as long as,contiguous,1,,2,5,True,False,True,
18,however,contiguous,1,,2,10,True,False,True,
19,also,contiguous,1,,2,5,True,False,True,
20,after,contiguous,1,,2,4,True,False,True,
21,separately,contiguous,1,,2,3,True,False,True,
22,still,contiguous,1,,2,11,True,False,True,
23,so that,contiguous,1,,1,1,True,False,True,
24,or,contiguous,1,,2,9,True,False,True,
25,moreover,contiguous,1,,2,2,True,False,True,
26,in addition,contiguous,1,,2,1,True,False,True,
27,instead,contiguous,1,,2,4,True,False,True,
28,on the other hand,contiguous,1,,2,5,True,False,True,
29,as,contiguous,1,,2,15,True,False,True,
30,for instance,contiguous,1,,2,2,True,False,True,
31,nonetheless,contiguous,1,,2,4,True,False,True,
32,unless,contiguous,1,,2,2,True,False,True,
33,meanwhile,contiguous,1,,2,7,True,False,True,
34,yet,contiguous,1,,2,16,True,False,True,
35,since,contiguous,1,,2,6,True,False,True,
36,rather,contiguous,1,,2,5,True,False,True,
37,in fact,contiguous,1,,2,9,True,False,True,
38,indeed,contiguous,1,,2,10,True,False,True,
39,later,contiguous,1,,2,2,True,False,True,
40,ultimately,contiguous,1,,2,4,True,False,True,
41,as a result,contiguous,1,,2,1,True,False,True,
42,either or,discontinuous,2,either ... or,2,3,True,True,True,
43,therefore,contiguous,1,,2,1,True,False,True,
44,in turn,contiguous,1,,1,5,True,False,True,
