marker,provisional_category,possible_categories,category_scores,dominance_share,exact_tie,is_discontinuous,total_occurrences,n_justifications_with_marker,pct_justifications_with_marker,occurrences_per_100_words
and,Expansion,Expansion | Contingency | Comparison | Temporal,Expansion: 2905 | Contingency: 68 | Comparison: 22 | Temporal: 5,0.9683333333333334,False,False,5601,2146,93.63001745200698,3.2995970497443268
as,Temporal,Temporal | Contingency | Comparison | Expansion,Temporal: 522 | Contingency: 214 | Comparison: 5 | Expansion: 2,0.702557200538358,False,False,1277,923,40.27050610820244,0.7522916323020006
while,Comparison,Comparison | Temporal | Expansion,Comparison: 516 | Temporal: 202 | Expansion: 63,0.6606914212548015,False,False,891,871,38.00174520069808,0.5248957277847162
with,Contingency,Contingency | Expansion,Contingency: 3 | Expansion: 2,0.6,False,False,834,727,31.719022687609076,0.49131653981195655
since,Contingency,Contingency | Temporal,Contingency: 96 | Temporal: 88,0.5217391304347826,False,False,676,674,29.406631762652705,0.39823738718571056
or,Expansion,Expansion | Contingency | Comparison,Expansion: 95 | Contingency: 2 | Comparison: 1,0.9693877551020408,False,False,675,581,25.349040139616054,0.39764827862478497
if,Contingency,Contingency | Comparison | Expansion,Contingency: 1174 | Comparison: 48 | Expansion: 1,0.9599345870809485,False,False,486,430,18.760907504363,0.28630676060984517
but,Comparison,Comparison | Expansion | Temporal | Contingency,Comparison: 3215 | Expansion: 90 | Temporal: 2 | Contingency: 1,0.9718863361547763,False,False,367,351,15.31413612565445,0.2162028418596979
however,Comparison,Comparison | Expansion,Comparison: 483 | Expansion: 2,0.9958762886597938,False,False,291,290,12.652705061082024,0.17143059122935175
later,Temporal,Temporal | Expansion,Temporal: 90 | Expansion: 1,0.989010989010989,False,False,290,287,12.521815008726003,0.17084148266842614
then,Temporal,Temporal | Expansion | Contingency | Comparison,Temporal: 317 | Expansion: 14 | Contingency: 6 | Comparison: 3,0.9323529411764706,False,False,248,219,9.55497382198953,0.14609892310955064
also,Expansion,Expansion | Temporal,Expansion: 1745 | Temporal: 1,0.9994272623138603,False,False,245,240,10.471204188481675,0.14433159742677382
although,Comparison,Comparison | Expansion,Comparison: 327 | Expansion: 1,0.9969512195121951,False,False,242,242,10.55846422338569,0.142564271743997
after,Temporal,Temporal | Comparison,Temporal: 575 | Comparison: 2,0.9965337954939342,False,False,62,61,2.661431064572426,0.03652473077738766
when,Temporal,Temporal | Contingency | Comparison | Expansion,Temporal: 793 | Contingency: 182 | Comparison: 12 | Expansion: 2,0.8018200202224469,False,False,56,56,2.443280977312391,0.03299007941183401
ultimately,Temporal,Temporal | Expansion,Temporal: 14 | Expansion: 4,0.7777777777777778,False,False,55,55,2.399650959860384,0.03240097085090841
rather,Expansion,Expansion | Comparison,Expansion: 13 | Comparison: 4,0.7647058823529411,False,False,50,50,2.181500872600349,0.029455428046280367
finally,Expansion,Expansion | Temporal,Expansion: 20 | Temporal: 12,0.625,False,False,41,41,1.7888307155322862,0.024153450997949903
without,Contingency,Contingency | Expansion,Contingency: 2 | Expansion: 1,0.6666666666666666,False,False,36,36,1.5706806282722514,0.021207908193321866
indeed,Expansion,Expansion | Contingency | Comparison,Expansion: 99 | Contingency: 4 | Comparison: 1,0.9519230769230769,False,False,31,31,1.3525305410122164,0.01826236538869383
still,Comparison,Comparison | Temporal,Comparison: 187 | Temporal: 3,0.9842105263157894,False,False,22,22,0.9598603839441536,0.012960388340363362
previously,Temporal,Temporal | Comparison,Temporal: 47 | Comparison: 2,0.9591836734693877,False,False,13,13,0.5671902268760908,0.007658411292032896
yet,Comparison,Comparison | Expansion,Comparison: 98 | Expansion: 3,0.9702970297029703,False,False,13,13,0.5671902268760908,0.007658411292032896
earlier,Temporal,Temporal | Comparison,Temporal: 14 | Comparison: 1,0.9333333333333333,False,False,12,12,0.5235602094240838,0.007069302731107289
nor,Expansion,Expansion | Comparison,Expansion: 30 | Comparison: 1,0.967741935483871,False,False,12,12,0.5235602094240838,0.007069302731107289
instead,Expansion,Expansion | Comparison,Expansion: 109 | Comparison: 3,0.9732142857142857,False,False,7,7,0.3054101221640489,0.004123759926479251
instead of,Comparison,Comparison | Expansion,Comparison: 1 | Expansion: 1,0.5,True,False,3,3,0.13089005235602094,0.0017673256827768222
unless,Expansion,Expansion | Contingency,Expansion: 94 | Contingency: 1,0.9894736842105263,False,False,3,3,0.13089005235602094,0.0017673256827768222
meanwhile,Temporal,Temporal | Expansion | Comparison,Temporal: 94 | Expansion: 70 | Comparison: 29,0.48704663212435234,False,False,2,2,0.08726003490401396,0.0011782171218512147
in turn,Temporal,Temporal | Expansion | Contingency,Temporal: 19 | Expansion: 8 | Contingency: 3,0.6333333333333333,False,False,2,2,0.08726003490401396,0.0011782171218512147
as long as,Contingency,Contingency | Temporal,Contingency: 16 | Temporal: 8,0.6666666666666666,False,False,2,2,0.08726003490401396,0.0011782171218512147
until,Temporal,Temporal | Contingency | Expansion,Temporal: 141 | Contingency: 18 | Expansion: 3,0.8703703703703703,False,False,2,2,0.08726003490401396,0.0011782171218512147
once,Temporal,Temporal | Contingency,Temporal: 80 | Contingency: 4,0.9523809523809523,False,False,2,2,0.08726003490401396,0.0011782171218512147
in fact,Expansion,Expansion | Comparison,Expansion: 76 | Comparison: 6,0.926829268292683,False,False,1,1,0.04363001745200698,0.0005891085609256074
at the same time,Comparison,Comparison | Expansion | Temporal,Comparison: 1 | Expansion: 1 | Temporal: 1,0.3333333333333333,True,False,0,0,0.0,0.0
after all,Contingency,Contingency | Expansion,Contingency: 1 | Expansion: 1,0.5,True,False,0,0,0.0,0.0
by the way,Comparison,Comparison | Expansion,Comparison: 1 | Expansion: 1,0.5,True,False,0,0,0.0,0.0
lest,Contingency,Contingency | Expansion,Contingency: 1 | Expansion: 1,0.5,True,False,0,0,0.0,0.0
much as,Comparison,Comparison | Expansion,Comparison: 3 | Expansion: 3,0.5,True,False,0,0,0.0,0.0
in the end,Expansion,Expansion | Comparison | Contingency | Temporal,Expansion: 5 | Comparison: 2 | Contingency: 1 | Temporal: 1,0.5555555555555556,False,False,0,0,0.0,0.0
as though,Comparison,Comparison | Expansion,Comparison: 3 | Expansion: 2,0.6,False,False,0,0,0.0,0.0
neither nor,Expansion,Expansion | Comparison,Expansion: 2 | Comparison: 1,0.6666666666666666,False,True,0,0,0.0,0.0
now that,Contingency,Contingency | Temporal,Contingency: 15 | Temporal: 7,0.6818181818181818,False,False,0,0,0.0,0.0
as if,Expansion,Expansion | Comparison,Expansion: 11 | Comparison: 5,0.6875,False,False,0,0,0.0,0.0
next,Temporal,Temporal | Expansion,Temporal: 6 | Expansion: 1,0.8571428571428571,False,False,0,0,0.0,0.0
meantime,Temporal,Temporal | Expansion,Temporal: 13 | Expansion: 2,0.8666666666666667,False,False,0,0,0.0,0.0
besides,Expansion,Expansion | Comparison,Expansion: 18 | Comparison: 1,0.9473684210526315,False,False,0,0,0.0,0.0
nonetheless,Comparison,Comparison | Expansion,Comparison: 26 | Expansion: 1,0.9629629629629629,False,False,0,0,0.0,0.0
on the other hand,Comparison,Comparison | Expansion,Comparison: 36 | Expansion: 1,0.972972972972973,False,False,0,0,0.0,0.0
