marker,provisional_category,possible_categories,category_scores,dominance_share,exact_tie,total_occurrences,n_justifications_with_marker,pct_justifications_with_marker,occurrences_per_100_words
and,Expansion,Expansion | Contingency | Comparison | Temporal,Expansion: 2905 | Contingency: 68 | Comparison: 22 | Temporal: 5,0.9683333333333334,False,5591,2142,93.45549738219896,3.3000241997839725
as,Temporal,Temporal | Contingency | Comparison | Expansion,Temporal: 522 | Contingency: 214 | Comparison: 5 | Expansion: 2,0.702557200538358,False,1273,919,40.095986038394415,0.7513737804194236
while,Comparison,Comparison | Temporal | Expansion,Comparison: 516 | Temporal: 202 | Expansion: 63,0.6606914212548015,False,890,870,37.95811518324607,0.525312383796769
with,Contingency,Contingency | Expansion,Contingency: 3 | Expansion: 2,0.6,False,830,725,31.63176265270506,0.4898980657879981
since,Contingency,Contingency | Temporal,Contingency: 96 | Temporal: 88,0.5217391304347826,False,676,674,29.406631762652705,0.3990013162321527
or,Expansion,Expansion | Contingency | Comparison,Expansion: 95 | Contingency: 2 | Comparison: 1,0.9693877551020408,False,673,579,25.26178010471204,0.3972306003317141
if,Contingency,Contingency | Comparison | Expansion,Contingency: 1174 | Comparison: 48 | Expansion: 1,0.9599345870809485,False,486,430,18.760907504363,0.28685597587104467
but,Comparison,Comparison | Expansion | Temporal | Contingency,Comparison: 3215 | Expansion: 90 | Temporal: 2 | Contingency: 1,0.9718863361547763,False,367,351,15.31413612565445,0.2166175784869823
however,Comparison,Comparison | Expansion,Comparison: 483 | Expansion: 2,0.9958762886597938,False,291,290,12.652705061082024,0.1717594423425391
later,Temporal,Temporal | Expansion,Temporal: 90 | Expansion: 1,0.989010989010989,False,290,287,12.521815008726003,0.17116920370905958
then,Temporal,Temporal | Expansion | Contingency | Comparison,Temporal: 317 | Expansion: 14 | Contingency: 6 | Comparison: 3,0.9323529411764706,False,248,219,9.55497382198953,0.14637918110291992
also,Expansion,Expansion | Temporal,Expansion: 1745 | Temporal: 1,0.9994272623138603,False,245,240,10.471204188481675,0.14460846520248136
although,Comparison,Comparison | Expansion,Comparison: 327 | Expansion: 1,0.9969512195121951,False,242,242,10.55846422338569,0.14283774930204282
after,Temporal,Temporal | Comparison,Temporal: 575 | Comparison: 2,0.9965337954939342,False,62,61,2.661431064572426,0.03659479527572998
when,Temporal,Temporal | Contingency | Comparison | Expansion,Temporal: 793 | Contingency: 182 | Comparison: 12 | Expansion: 2,0.8018200202224469,False,56,56,2.443280977312391,0.03305336347485288
ultimately,Temporal,Temporal | Expansion,Temporal: 14 | Expansion: 4,0.7777777777777778,False,54,54,2.356020942408377,0.03187288620789385
rather,Expansion,Expansion | Comparison,Expansion: 13 | Comparison: 4,0.7647058823529411,False,50,50,2.181500872600349,0.02951193167397579
finally,Expansion,Expansion | Temporal,Expansion: 20 | Temporal: 12,0.625,False,41,41,1.7888307155322862,0.024199783972660146
without,Contingency,Contingency | Expansion,Contingency: 2 | Expansion: 1,0.6666666666666666,False,36,36,1.5706806282722514,0.021248590805262566
indeed,Expansion,Expansion | Contingency | Comparison,Expansion: 99 | Contingency: 4 | Comparison: 1,0.9519230769230769,False,31,31,1.3525305410122164,0.01829739763786499
still,Comparison,Comparison | Temporal,Comparison: 187 | Temporal: 3,0.9842105263157894,False,22,22,0.9598603839441536,0.012985249936549348
previously,Temporal,Temporal | Comparison,Temporal: 47 | Comparison: 2,0.9591836734693877,False,13,13,0.5671902268760908,0.007673102235233705
yet,Comparison,Comparison | Expansion,Comparison: 98 | Expansion: 3,0.9702970297029703,False,13,13,0.5671902268760908,0.007673102235233705
earlier,Temporal,Temporal | Comparison,Temporal: 14 | Comparison: 1,0.9333333333333333,False,12,12,0.5235602094240838,0.007082863601754189
nor,Expansion,Expansion | Comparison,Expansion: 30 | Comparison: 1,0.967741935483871,False,12,12,0.5235602094240838,0.007082863601754189
instead,Expansion,Expansion | Comparison,Expansion: 109 | Comparison: 3,0.9732142857142857,False,7,7,0.3054101221640489,0.00413167043435661
instead of,Comparison,Comparison | Expansion,Comparison: 1 | Expansion: 1,0.5,True,3,3,0.13089005235602094,0.0017707159004385473
unless,Expansion,Expansion | Contingency,Expansion: 94 | Contingency: 1,0.9894736842105263,False,3,3,0.13089005235602094,0.0017707159004385473
meanwhile,Temporal,Temporal | Expansion | Comparison,Temporal: 94 | Expansion: 70 | Comparison: 29,0.48704663212435234,False,2,2,0.08726003490401396,0.0011804772669590316
in turn,Temporal,Temporal | Expansion | Contingency,Temporal: 19 | Expansion: 8 | Contingency: 3,0.6333333333333333,False,2,2,0.08726003490401396,0.0011804772669590316
as long as,Contingency,Contingency | Temporal,Contingency: 16 | Temporal: 8,0.6666666666666666,False,2,2,0.08726003490401396,0.0011804772669590316
until,Temporal,Temporal | Contingency | Expansion,Temporal: 141 | Contingency: 18 | Expansion: 3,0.8703703703703703,False,2,2,0.08726003490401396,0.0011804772669590316
once,Temporal,Temporal | Contingency,Temporal: 80 | Contingency: 4,0.9523809523809523,False,2,2,0.08726003490401396,0.0011804772669590316
in fact,Expansion,Expansion | Comparison,Expansion: 76 | Comparison: 6,0.926829268292683,False,1,1,0.04363001745200698,0.0005902386334795158
at the same time,Comparison,Comparison | Expansion | Temporal,Comparison: 1 | Expansion: 1 | Temporal: 1,0.3333333333333333,True,0,0,0.0,0.0
after all,Contingency,Contingency | Expansion,Contingency: 1 | Expansion: 1,0.5,True,0,0,0.0,0.0
by the way,Comparison,Comparison | Expansion,Comparison: 1 | Expansion: 1,0.5,True,0,0,0.0,0.0
lest,Contingency,Contingency | Expansion,Contingency: 1 | Expansion: 1,0.5,True,0,0,0.0,0.0
much as,Comparison,Comparison | Expansion,Comparison: 3 | Expansion: 3,0.5,True,0,0,0.0,0.0
in the end,Expansion,Expansion | Comparison | Contingency | Temporal,Expansion: 5 | Comparison: 2 | Contingency: 1 | Temporal: 1,0.5555555555555556,False,0,0,0.0,0.0
as though,Comparison,Comparison | Expansion,Comparison: 3 | Expansion: 2,0.6,False,0,0,0.0,0.0
now that,Contingency,Contingency | Temporal,Contingency: 15 | Temporal: 7,0.6818181818181818,False,0,0,0.0,0.0
as if,Expansion,Expansion | Comparison,Expansion: 11 | Comparison: 5,0.6875,False,0,0,0.0,0.0
next,Temporal,Temporal | Expansion,Temporal: 6 | Expansion: 1,0.8571428571428571,False,0,0,0.0,0.0
meantime,Temporal,Temporal | Expansion,Temporal: 13 | Expansion: 2,0.8666666666666667,False,0,0,0.0,0.0
besides,Expansion,Expansion | Comparison,Expansion: 18 | Comparison: 1,0.9473684210526315,False,0,0,0.0,0.0
nonetheless,Comparison,Comparison | Expansion,Comparison: 26 | Expansion: 1,0.9629629629629629,False,0,0,0.0,0.0
on the other hand,Comparison,Comparison | Expansion,Comparison: 36 | Expansion: 1,0.972972972972973,False,0,0,0.0,0.0
